abbreviation	candidate_features	candidate_genes	feature_normalization	name	negative_examples	original_features	original_genes	path	positive_examples	unknown_examples
biogpshuman_cleaned	86	16383	z-score	BioGPS Human Cell Type and Tissue Gene Expression Profiles - Cleaned	70	84	16383	datasets/candidate_features/biogpshuman_cleaned.txt.gz	250	16063
biogpsmouse_cleaned	76	15443	z-score	BioGPS Mouse Cell Type and Tissue Gene Expression Profiles - Cleaned	69	74	15443	datasets/candidate_features/biogpsmouse_cleaned.txt.gz	244	15130
biogrid	1191	15270	none	BioGRID Protein-Protein Interactions	67	15270	15270	datasets/candidate_features/biogrid.txt.gz	239	14964
brainatlasadulthuman_cleaned	416	17979	z-score	Allen Brain Atlas Adult Human Brain Tissue Gene Expression Profiles - Cleaned	67	414	17979	datasets/candidate_features/brainatlasadulthuman_cleaned.txt.gz	220	17692
brainatlasadultmouse_cleaned	2234	14248	z-score	Allen Brain Atlas Adult Mouse Brain Tissue Gene Expression Profiles - Cleaned	63	2232	14248	datasets/candidate_features/brainatlasadultmouse_cleaned.txt.gz	224	13961
clinvar	3	2458	none	ClinVar SNP-Phenotype Associations	23	3291	2458	datasets/candidate_features/clinvar.txt.gz	120	2315
cmap	5066	12148	none	CMAP Signatures of Differentially Expressed Genes for Small Molecules	67	6100	12148	datasets/candidate_features/cmap.txt.gz	233	11848
ctdchemical	2222	11125	none	CTD Gene-Chemical Interactions	71	9516	11125	datasets/candidate_features/ctdchemical.txt.gz	250	10804
ctddisease_cleaned	2926	21582	none	CTD Gene-Disease Associations - Cleaned	72	6325	21582	datasets/candidate_features/ctddisease_cleaned.txt.gz	259	21251
dbgap_cleaned	51	5668	none	dbGAP Gene-Trait Associations - Cleaned	32	510	5668	datasets/candidate_features/dbgap_cleaned.txt.gz	115	5521
depod	13	293	none	DEPOD Substrates of Phosphatases	6	112	293	datasets/candidate_features/depod.txt.gz	13	274
dip	32	2709	none	DIP Protein-Protein Interactions	27	2709	2709	datasets/candidate_features/dip.txt.gz	113	2569
encodehm	432	22382	none	ENCODE Histone Modification Site Profiles	72	435	22382	datasets/candidate_features/encodehm.txt.gz	258	22052
encodetf	1591	22845	none	ENCODE Transcription Factor Binding Site Profiles	72	1679	22845	datasets/candidate_features/encodetf.txt.gz	258	22515
epigenomicsdnamethylation_cleaned	26	13835	z-score	Roadmap Epigenomics Cell and Tissue DNA Methylation Profiles - Cleaned	51	24	13835	datasets/candidate_features/epigenomicsdnamethylation_cleaned.txt.gz	176	13608
epigenomicshm	295	21032	none	Roadmap Epigenomics Histone Modification Site Profiles	69	383	21032	datasets/candidate_features/epigenomicshm.txt.gz	244	20719
epigenomicsmrna_cleaned	59	12824	z-score	Roadmap Epigenomics Cell and Tissue Gene Expression Profiles - Cleaned	43	57	12824	datasets/candidate_features/epigenomicsmrna_cleaned.txt.gz	121	12660
gad	1189	10705	none	GAD Gene-Disease Associations	69	12778	10705	datasets/candidate_features/gad.txt.gz	249	10387
gadhighlevel_cleaned	19	8016	none	GAD High Level Gene-Disease Associations - Cleaned	69	18	8016	datasets/candidate_features/gadhighlevel_cleaned.txt.gz	245	7702
genesigdb	1363	19723	none	GeneSigDB Published Gene Signatures	72	3515	19723	datasets/candidate_features/genesigdb.txt.gz	259	19392
gobp	2435	15717	none	GO Biological Process Annotations	70	13212	15717	datasets/candidate_features/gobp.txt.gz	258	15389
gocc	207	16757	none	GO Cellular Component Annotations	70	1547	16757	datasets/candidate_features/gocc.txt.gz	258	16429
gomf	366	15777	none	GO Molecular Function Annotations	70	4162	15777	datasets/candidate_features/gomf.txt.gz	257	15450
gtexeqtl	2	7898	none	GTEx eQTL	29	7815	7898	datasets/candidate_features/gtexeqtl.txt.gz	78	7791
gtextissue_cleaned	31	26005	z-score	GTEx Tissue Gene Expression Profiles - Cleaned	72	29	26005	datasets/candidate_features/gtextissue_cleaned.txt.gz	256	25677
guidetopharmchemical	189	899	none	Guide to Pharmacology Chemical Ligands of Receptors	32	4894	899	datasets/candidate_features/guidetopharmchemical.txt.gz	177	690
guidetopharmprotein	5	187	none	Guide to Pharmacology Protein Ligands of Receptors	5	211	187	datasets/candidate_features/guidetopharmprotein.txt.gz	41	141
gwascatalog_cleaned	30	4356	none	GWAS Catalog SNP-Phenotype Associations - Cleaned	30	1007	4356	datasets/candidate_features/gwascatalog_cleaned.txt.gz	97	4229
gwasdbdisease_cleaned	252	11805	none	GWASdb SNP-Disease Associations - Cleaned	54	585	11805	datasets/candidate_features/gwasdbdisease_cleaned.txt.gz	199	11552
