abbreviation	name	path
biogpshuman_cleaned	BioGPS Human Cell Type and Tissue Gene Expression Profiles - Cleaned	C:/Users/ar988996/Documents/Harmonizome/datasets/biogpshuman/gene_attribute_matrix_cleaned.txt.gz
biogpsmouse_cleaned	BioGPS Mouse Cell Type and Tissue Gene Expression Profiles - Cleaned	C:/Users/ar988996/Documents/Harmonizome/datasets/biogpsmouse/gene_attribute_matrix_cleaned.txt.gz
biogrid	BioGRID Protein-Protein Interactions	C:/Users/ar988996/Documents/Harmonizome/datasets/biogrid/gene_attribute_matrix.txt.gz
brainatlasadulthuman_cleaned	Allen Brain Atlas Adult Human Brain Tissue Gene Expression Profiles - Cleaned	C:/Users/ar988996/Documents/Harmonizome/datasets/brainatlasadulthuman/gene_attribute_matrix_cleaned.txt.gz
brainatlasadultmouse_cleaned	Allen Brain Atlas Adult Mouse Brain Tissue Gene Expression Profiles - Cleaned	C:/Users/ar988996/Documents/Harmonizome/datasets/brainatlasadultmouse/gene_attribute_matrix_cleaned.txt.gz
clinvar	ClinVar SNP-Phenotype Associations	C:/Users/ar988996/Documents/Harmonizome/datasets/clinvar/gene_attribute_matrix.txt.gz
cmap	CMAP Signatures of Differentially Expressed Genes for Small Molecules	C:/Users/ar988996/Documents/Harmonizome/datasets/cmap/gene_attribute_matrix.txt.gz
ctdchemical	CTD Gene-Chemical Interactions	C:/Users/ar988996/Documents/Harmonizome/datasets/ctdchemical/gene_attribute_matrix.txt.gz
ctddisease_cleaned	CTD Gene-Disease Associations - Cleaned	C:/Users/ar988996/Documents/Harmonizome/datasets/ctddisease/gene_attribute_matrix_cleaned.txt.gz
dbgap_cleaned	dbGAP Gene-Trait Associations - Cleaned	C:/Users/ar988996/Documents/Harmonizome/datasets/dbgap/gene_attribute_matrix_cleaned.txt.gz
depod	DEPOD Substrates of Phosphatases	C:/Users/ar988996/Documents/Harmonizome/datasets/depod/gene_attribute_matrix.txt.gz
dip	DIP Protein-Protein Interactions	C:/Users/ar988996/Documents/Harmonizome/datasets/dip/gene_attribute_matrix.txt.gz
encodehm	ENCODE Histone Modification Site Profiles	C:/Users/ar988996/Documents/Harmonizome/datasets/encodehm/gene_attribute_matrix.txt.gz
encodetf	ENCODE Transcription Factor Binding Site Profiles	C:/Users/ar988996/Documents/Harmonizome/datasets/encodetf/gene_attribute_matrix.txt.gz
epigenomicsdnamethylation_cleaned	Roadmap Epigenomics Cell and Tissue DNA Methylation Profiles - Cleaned	C:/Users/ar988996/Documents/Harmonizome/datasets/epigenomicsdnamethylation/gene_attribute_matrix_cleaned.txt.gz
epigenomicshm	Roadmap Epigenomics Histone Modification Site Profiles	C:/Users/ar988996/Documents/Harmonizome/datasets/epigenomicshm/gene_attribute_matrix.txt.gz
epigenomicsmrna_cleaned	Roadmap Epigenomics Cell and Tissue Gene Expression Profiles - Cleaned	C:/Users/ar988996/Documents/Harmonizome/datasets/epigenomicsmrna/gene_attribute_matrix_cleaned.txt.gz
gad	GAD Gene-Disease Associations	C:/Users/ar988996/Documents/Harmonizome/datasets/gad/gene_attribute_matrix.txt.gz
gadhighlevel_cleaned	GAD High Level Gene-Disease Associations - Cleaned	C:/Users/ar988996/Documents/Harmonizome/datasets/gadhighlevel/gene_attribute_matrix_cleaned.txt.gz
genesigdb	GeneSigDB Published Gene Signatures	C:/Users/ar988996/Documents/Harmonizome/datasets/genesigdb/gene_attribute_matrix.txt.gz
gobp	GO Biological Process Annotations	C:/Users/ar988996/Documents/Harmonizome/datasets/gobp/gene_attribute_matrix.txt.gz
gocc	GO Cellular Component Annotations	C:/Users/ar988996/Documents/Harmonizome/datasets/gocc/gene_attribute_matrix.txt.gz
gomf	GO Molecular Function Annotations	C:/Users/ar988996/Documents/Harmonizome/datasets/gomf/gene_attribute_matrix.txt.gz
gtexeqtl	GTEx eQTL	C:/Users/ar988996/Documents/Harmonizome/datasets/gtexeqtl/gene_attribute_matrix.txt.gz
gtextissue_cleaned	GTEx Tissue Gene Expression Profiles - Cleaned	C:/Users/ar988996/Documents/Harmonizome/datasets/gtextissue/gene_attribute_matrix_cleaned.txt.gz
guidetopharmchemical	Guide to Pharmacology Chemical Ligands of Receptors	C:/Users/ar988996/Documents/Harmonizome/datasets/guidetopharmchemical/gene_attribute_matrix.txt.gz
guidetopharmprotein	Guide to Pharmacology Protein Ligands of Receptors	C:/Users/ar988996/Documents/Harmonizome/datasets/guidetopharmprotein/gene_attribute_matrix.txt.gz
gwascatalog_cleaned	GWAS Catalog SNP-Phenotype Associations - Cleaned	C:/Users/ar988996/Documents/Harmonizome/datasets/gwascatalog/gene_attribute_matrix_cleaned.txt.gz
gwasdbdisease_cleaned	GWASdb SNP-Disease Associations - Cleaned	C:/Users/ar988996/Documents/Harmonizome/datasets/gwasdbdisease/gene_attribute_matrix_cleaned.txt.gz
gwasdbphenotype_cleaned	GWASdb SNP-Phenotype Associations - Cleaned	C:/Users/ar988996/Documents/Harmonizome/datasets/gwasdbphenotype/gene_attribute_matrix_cleaned.txt.gz
hpacelllines_cleaned	HPA Cell Line Gene Expression Profiles - Cleaned	C:/Users/ar988996/Documents/Harmonizome/datasets/hpacelllines/gene_attribute_matrix_cleaned.txt.gz
hpatissuesmrna_cleaned	HPA Tissue Gene Expression Profiles - Cleaned	C:/Users/ar988996/Documents/Harmonizome/datasets/hpatissuesmrna/gene_attribute_matrix_cleaned.txt.gz
hpatissuesprotein_cleaned	HPA Tissue Protein Expression Profiles - Cleaned	C:/Users/ar988996/Documents/Harmonizome/datasets/hpatissuesprotein/gene_attribute_matrix_cleaned.txt.gz
hpm_cleaned	HPM Cell Type and Tissue Protein Expression Profiles - Cleaned	C:/Users/ar988996/Documents/Harmonizome/datasets/hpm/gene_attribute_matrix_cleaned.txt.gz
hpo	HPO Gene-Disease Associations	C:/Users/ar988996/Documents/Harmonizome/datasets/hpo/gene_attribute_matrix.txt.gz
