abbreviation	candidate_features	candidate_genes	feature_normalization	feature_similarity_metric	feature_similarity_threshold	name	negative_examples	nonredundant_features	nonredundant_genes	original_features	original_genes	path	positive_examples	unknown_examples
biogpshuman_cleaned	86	16383	z-score	spearman	0.707107	BioGPS Human Cell Type and Tissue Gene Expression Profiles - Cleaned	70	2	16383	84	16383	datasets/nonredundant_features/biogpshuman_cleaned.txt.gz	250	16063
biogpsmouse_cleaned	76	15443	z-score	spearman	0.707107	BioGPS Mouse Cell Type and Tissue Gene Expression Profiles - Cleaned	69	2	15443	74	15443	datasets/nonredundant_features/biogpsmouse_cleaned.txt.gz	244	15130
biogrid	1191	15270	none	cosine	0.707107	BioGRID Protein-Protein Interactions	67	1162	15270	15270	15270	datasets/nonredundant_features/biogrid.txt.gz	239	14964
brainatlasadulthuman_cleaned	416	17979	z-score	spearman	0.707107	Allen Brain Atlas Adult Human Brain Tissue Gene Expression Profiles - Cleaned	67	2	17979	414	17979	datasets/nonredundant_features/brainatlasadulthuman_cleaned.txt.gz	220	17692
brainatlasadultmouse_cleaned	2234	14248	z-score	spearman	0.707107	Allen Brain Atlas Adult Mouse Brain Tissue Gene Expression Profiles - Cleaned	63	2	14248	2232	14248	datasets/nonredundant_features/brainatlasadultmouse_cleaned.txt.gz	224	13961
clinvar	3	2458	none	cosine	0.707107	ClinVar SNP-Phenotype Associations	23	2	2458	3291	2458	datasets/nonredundant_features/clinvar.txt.gz	120	2315
cmap	5066	12148	none	cosine	0.707107	CMAP Signatures of Differentially Expressed Genes for Small Molecules	67	5065	12148	6100	12148	datasets/nonredundant_features/cmap.txt.gz	233	11848
ctdchemical	2222	11125	none	cosine	0.707107	CTD Gene-Chemical Interactions	71	2038	11125	9516	11125	datasets/nonredundant_features/ctdchemical.txt.gz	250	10804
ctddisease_cleaned	2926	21582	none	cosine	0.707107	CTD Gene-Disease Associations - Cleaned	72	2107	21582	6325	21582	datasets/nonredundant_features/ctddisease_cleaned.txt.gz	259	21251
dbgap_cleaned	51	5668	none	cosine	0.707107	dbGAP Gene-Trait Associations - Cleaned	32	49	5668	510	5668	datasets/nonredundant_features/dbgap_cleaned.txt.gz	115	5521
depod	13	293	none	cosine	0.707107	DEPOD Substrates of Phosphatases	6	9	293	112	293	datasets/nonredundant_features/depod.txt.gz	13	274
dip	32	2709	none	cosine	0.707107	DIP Protein-Protein Interactions	27	24	2709	2709	2709	datasets/nonredundant_features/dip.txt.gz	113	2569
encodehm	432	22382	none	cosine	0.707107	ENCODE Histone Modification Site Profiles	72	86	22382	435	22382	datasets/nonredundant_features/encodehm.txt.gz	258	22052
encodetf	1591	22845	none	cosine	0.707107	ENCODE Transcription Factor Binding Site Profiles	72	697	22845	1679	22845	datasets/nonredundant_features/encodetf.txt.gz	258	22515
epigenomicsdnamethylation_cleaned	26	13835	z-score	spearman	0.707107	Roadmap Epigenomics Cell and Tissue DNA Methylation Profiles - Cleaned	51	4	13835	24	13835	datasets/nonredundant_features/epigenomicsdnamethylation_cleaned.txt.gz	176	13608
epigenomicshm	295	21032	none	cosine	0.707107	Roadmap Epigenomics Histone Modification Site Profiles	69	244	21032	383	21032	datasets/nonredundant_features/epigenomicshm.txt.gz	244	20719
epigenomicsmrna_cleaned	59	12824	z-score	spearman	0.707107	Roadmap Epigenomics Cell and Tissue Gene Expression Profiles - Cleaned	43	6	12824	57	12824	datasets/nonredundant_features/epigenomicsmrna_cleaned.txt.gz	121	12660
