hsa-miR-548w|1	hsa-miR-548c-5p|0.999893	hsa-miR-548ak|0.999758	hsa-miR-548d-5p|0.999685	hsa-miR-548b-5p|0.999579	hsa-miR-548h|0.999695	hsa-miR-548y|0.998448	hsa-miR-548a-5p|0.997789	hsa-miR-548j|0.997854	hsa-miR-548ab|0.997028	hsa-miR-548i|0.997062	hsa-miR-559|0.99468
hsa-miR-520e|1	hsa-miR-302a|0.998045	hsa-miR-302b|0.998029	hsa-miR-302d|0.998031	hsa-miR-520a-3p|0.998999	hsa-miR-302c|0.997936	hsa-miR-520d-3p|0.998813	hsa-miR-373|0.998317	hsa-miR-520c-3p|0.997957	hsa-miR-520b|0.997931	hsa-miR-372|0.997381	hsa-miR-302e|0.996561
hsa-let-7a|1	hsa-let-7e|0.999941	hsa-let-7c|0.999833	hsa-miR-98|0.9996	hsa-let-7g|0.999365	hsa-let-7b|0.999447	hsa-let-7f|0.999326	hsa-let-7i|0.998988	hsa-let-7d|0.998272	hsa-miR-4500|0.996374	hsa-miR-4458|0.994136
hsa-miR-378|1	hsa-miR-378i|0.999972	hsa-miR-378c|0.99993	hsa-miR-378d|0.99992	hsa-miR-378e|0.999593	hsa-miR-422a|0.999466	hsa-miR-378h|0.999268	hsa-miR-378f|0.996349	hsa-miR-378b|0.996046
hsa-miR-20b|1	hsa-miR-106a|0.999366	hsa-miR-17|0.999366	hsa-miR-20a|0.999818	hsa-miR-93|0.999188	hsa-miR-106b|0.999028	hsa-miR-519d|0.996457
hsa-miR-301b|1	hsa-miR-301a|0.999806	hsa-miR-454|0.996695	hsa-miR-3666|0.995669	hsa-miR-130b|0.994114	hsa-miR-130a|0.99411	hsa-miR-4295|0.995062
hsa-miR-92a|1	hsa-miR-92b|0.999554	hsa-miR-25|0.998235	hsa-miR-363|0.997616	hsa-miR-367|0.996528	hsa-miR-32|0.996597
hsa-miR-15a|1	hsa-miR-15b|0.999292	hsa-miR-424|0.997535	hsa-miR-16|0.995868	hsa-miR-195|0.995837	hsa-miR-497|0.997442
hsa-miR-320a|1	hsa-miR-320c|0.999905	hsa-miR-320d|0.999852	hsa-miR-320b|0.999837	hsa-miR-4429|0.999428
hsa-miR-518d-5p|1	hsa-miR-520c-5p|1	hsa-miR-526a|1	hsa-miR-519b-5p|0.998717	hsa-miR-519c-5p|0.998717
hsa-miR-518b|1	hsa-miR-518f|0.999215	hsa-miR-518a-3p|0.999213	hsa-miR-518c|0.999074	hsa-miR-518d-3p|0.999187
hsa-miR-181a|1	hsa-miR-181b|0.999771	hsa-miR-181c|0.999393	hsa-miR-181d|0.999307	hsa-miR-4262|0.996464
hsa-miR-30a|1	hsa-miR-30d|0.99982	hsa-miR-30c|0.997619	hsa-miR-30b|0.997603	hsa-miR-30e|0.998979
hsa-miR-4665-5p|1	hsa-miR-1275|0.995543	hsa-miR-4525|0.822045	hsa-miR-625|0.772462	hsa-miR-4723-5p|0.73401
hsa-miR-548x|1	hsa-miR-548ae|0.999982	hsa-miR-548aj|0.999951	hsa-miR-548am|0.999418
hsa-miR-3689a-5p|1	hsa-miR-3689b|1	hsa-miR-3689e|1	hsa-miR-3689f|0.998723
hsa-miR-26b|1	hsa-miR-26a|0.999615	hsa-miR-1297|0.999037	hsa-miR-4465|0.99765
hsa-miR-449b|1	hsa-miR-449a|0.999946	hsa-miR-34c-5p|0.998017	hsa-miR-34a|0.997131
hsa-miR-1260b|1	hsa-miR-1260|0.999907	hsa-miR-1280|0.794834	hsa-miR-1224-3p|0.730131
hsa-miR-1587|1	hsa-miR-4741|0.742622	hsa-miR-4675|0.740362	hsa-miR-4656|0.717657
hsa-miR-148a|1	hsa-miR-148b|0.999899	hsa-miR-152|0.999821
hsa-miR-519b-3p|1	hsa-miR-519a|0.999829	hsa-miR-519c-3p|0.999786
hsa-miR-29c|1	hsa-miR-29a|0.999813	hsa-miR-29b|0.99951
hsa-miR-200b|1	hsa-miR-200c|0.99986	hsa-miR-429|0.999102
hsa-miR-548f|1	hsa-miR-548e|0.999503	hsa-miR-548a-3p|0.999388
hsa-miR-23b|1	hsa-miR-23a|0.999683	hsa-miR-23c|0.998248
hsa-miR-548z|1	hsa-miR-548ac|0.999492	hsa-miR-548d-3p|0.997833
hsa-miR-199a-3p|1	hsa-miR-199b-3p|1	hsa-miR-3129-5p|0.997232
hsa-miR-509-3-5p|1	hsa-miR-509-5p|0.998901	hsa-miR-4418|0.996514
hsa-miR-18a|1	hsa-miR-18b|0.999921	hsa-miR-4735-3p|0.99548
hsa-miR-4306|1	hsa-miR-185|0.999562	hsa-miR-4644|0.995716
hsa-miR-4296|1	hsa-miR-4265|0.997798	hsa-miR-4322|0.996543
hsa-miR-3616-5p|1	hsa-miR-3647-5p|0.997435	hsa-miR-573|0.996899
hsa-miR-100|1	hsa-miR-99b|0.997534	hsa-miR-99a|0.996562
hsa-miR-1|1	hsa-miR-206|0.999321	hsa-miR-613|0.994324
hsa-miR-3180-3p|1	hsa-miR-3180|0.999718	hsa-miR-3196|0.993885
hsa-miR-125b|1	hsa-miR-125a-5p|0.998008	hsa-miR-4319|0.995388
hsa-miR-4662b|1	hsa-miR-4647|0.997182	hsa-miR-4426|0.99592
hsa-miR-28-5p|1	hsa-miR-708|0.997556	hsa-miR-3139|0.995232
hsa-miR-4419b|1	hsa-miR-3929|0.997271	hsa-miR-4478|0.994968
hsa-miR-4498|1	hsa-miR-4492|0.995987	hsa-miR-762|0.995652
hsa-miR-3155|1	hsa-miR-3155b|0.999726	hsa-miR-484|0.99186
hsa-miR-761|1	hsa-miR-214|0.995508	hsa-miR-3619-5p|0.99517
hsa-miR-3187-5p|1	hsa-miR-1285|0.994571	hsa-miR-612|0.993382
hsa-miR-1321|1	hsa-miR-4739|0.993621	hsa-miR-4756-5p|0.993063
hsa-miR-769-3p|1	hsa-miR-450b-3p|0.995294	hsa-miR-638|0.722029
hsa-miR-3150a-3p|1	hsa-miR-3175|0.752944	hsa-miR-939|0.735873
mean|1	stdv|0.946933
hsa-miR-518a-5p|1	hsa-miR-527|1
hsa-miR-4520a-5p|1	hsa-miR-4520b-5p|1
hsa-miR-133a|1	hsa-miR-133b|0.999977
hsa-miR-520h|1	hsa-miR-520g|0.999965
hsa-miR-103a|1	hsa-miR-107|0.999959
hsa-miR-501-3p|1	hsa-miR-502-3p|0.999952
hsa-miR-33a|1	hsa-miR-33b|0.999932
hsa-miR-192|1	hsa-miR-215|0.999927
hsa-miR-376a|1	hsa-miR-376b|0.999908
hsa-miR-4659a-5p|1	hsa-miR-4659b-5p|0.999903
hsa-miR-151-5p|1	hsa-miR-151b|0.999901
hsa-miR-4659a-3p|1	hsa-miR-4659b-3p|0.999901
hsa-miR-4447|1	hsa-miR-4472|0.9999
hsa-miR-27a|1	hsa-miR-27b|0.999846
hsa-miR-135b|1	hsa-miR-135a|0.999837
hsa-miR-1268|1	hsa-miR-1268b|0.999822
hsa-miR-19a|1	hsa-miR-19b|0.999802
hsa-miR-514b-3p|1	hsa-miR-514|0.999799
hsa-miR-517a|1	hsa-miR-517c|0.999795
hsa-miR-193a-3p|1	hsa-miR-193b|0.999707
hsa-miR-3150b-5p|1	hsa-miR-3150a-5p|0.999685
hsa-miR-3689c|1	hsa-miR-3689a-3p|0.999684
hsa-miR-1255b|1	hsa-miR-1255a|0.999651
hsa-miR-146a|1	hsa-miR-146b-5p|0.999641
hsa-miR-499a-3p|1	hsa-miR-499-3p|0.999631
hsa-miR-211|1	hsa-miR-204|0.999482
hsa-miR-199b-5p|1	hsa-miR-199a-5p|0.999481
hsa-miR-10b|1	hsa-miR-10a|0.999457
hsa-miR-141|1	hsa-miR-200a|0.999442
hsa-miR-551a|1	hsa-miR-551b|0.999424
hsa-miR-1913|1	hsa-miR-324-3p|0.999343
hsa-miR-196a|1	hsa-miR-196b|0.999235
hsa-miR-208b|1	hsa-miR-208a|0.999234
hsa-miR-524-3p|1	hsa-miR-525-3p|0.998939
hsa-miR-190b|1	hsa-miR-190|0.998735
hsa-miR-4507|1	hsa-miR-3940-5p|0.998724
hsa-miR-374a|1	hsa-miR-374b|0.998657
hsa-miR-1269|1	hsa-miR-1269b|0.998459
hsa-miR-143|1	hsa-miR-4770|0.998294
hsa-miR-524-5p|1	hsa-miR-520d-5p|0.998024
hsa-miR-4464|1	hsa-miR-4748|0.997949
hsa-miR-557|1	hsa-miR-507|0.997907
hsa-miR-3913-5p|1	hsa-miR-3122|0.997849
hsa-miR-3622a-3p|1	hsa-miR-3622b-3p|0.997784
hsa-miR-3167|1	hsa-miR-876-5p|0.997721
hsa-miR-655|1	hsa-miR-374c|0.997689
hsa-miR-4430|1	hsa-miR-3652|0.997671
hsa-miR-548ag|1	hsa-miR-548ai|0.997655
hsa-miR-221|1	hsa-miR-222|0.997613
hsa-miR-4801|1	hsa-miR-4731-3p|0.997545
hsa-miR-300|1	hsa-miR-381|0.997522
hsa-miR-4518|1	hsa-miR-1266|0.997467
hsa-miR-329|1	hsa-miR-362-3p|0.997437
hsa-miR-212|1	hsa-miR-132|0.997426
hsa-miR-4782-3p|1	hsa-miR-219-5p|0.99737
hsa-miR-520a-5p|1	hsa-miR-525-5p|0.997357
hsa-miR-541|1	hsa-miR-654-5p|0.997334
hsa-miR-3184|1	hsa-miR-423-5p|0.997314
hsa-miR-514b-5p|1	hsa-miR-513c|0.997248
hsa-miR-379|1	hsa-miR-3529|0.997237
hsa-miR-124|1	hsa-miR-506|0.997216
hsa-miR-4712-5p|1	hsa-miR-770-5p|0.9972
hsa-miR-362-5p|1	hsa-miR-500b|0.997116
hsa-miR-620|1	hsa-miR-1270|0.997051
hsa-miR-575|1	hsa-miR-4676-5p|0.99703
hsa-miR-4439|1	hsa-miR-3136-5p|0.996887
hsa-miR-641|1	hsa-miR-3617|0.99688
hsa-miR-4657|1	hsa-miR-4491|0.99685
hsa-miR-3661|1	hsa-miR-631|0.99664
hsa-miR-4482|1	hsa-miR-3130-5p|0.996605
hsa-miR-3942-5p|1	hsa-miR-4703-5p|0.996556
hsa-miR-1271|1	hsa-miR-96|0.996554
hsa-miR-4651|1	hsa-miR-608|0.996529
hsa-miR-4271|1	hsa-miR-4725-3p|0.996447
hsa-miR-4692|1	hsa-miR-4514|0.996427
hsa-miR-3922-3p|1	hsa-miR-3176|0.996379
hsa-miR-4653-5p|1	hsa-miR-3921|0.996313
hsa-miR-3116|1	hsa-miR-1254|0.996308
hsa-miR-3142|1	hsa-miR-1245b-5p|0.99627
hsa-miR-3916|1	hsa-miR-3125|0.996269
hsa-miR-663|1	hsa-miR-1908|0.996187
hsa-miR-4763-3p|1	hsa-miR-1207-5p|0.996176
hsa-miR-134|1	hsa-miR-3118|0.996159
hsa-miR-548o|1	hsa-miR-1323|0.996137
hsa-miR-4664-5p|1	hsa-miR-342-5p|0.996137
hsa-miR-515-3p|1	hsa-miR-519e|0.996088
hsa-miR-4510|1	hsa-miR-4419a|0.996054
hsa-miR-4667-5p|1	hsa-miR-4700-5p|0.996045
hsa-miR-326|1	hsa-miR-330-5p|0.996007
hsa-miR-4726-5p|1	hsa-miR-4640-5p|0.995998
hsa-miR-2682|1	hsa-miR-449c|0.995973
hsa-miR-4453|1	hsa-miR-4538|0.995947
hsa-miR-4784|1	hsa-miR-3150b-3p|0.99594
hsa-miR-548ah|1	hsa-miR-3609|0.995908
hsa-miR-4654|1	hsa-miR-4769-5p|0.995858
hsa-miR-4488|1	hsa-miR-4697-5p|0.995851
hsa-miR-3183|1	hsa-miR-4723-3p|0.995816
hsa-miR-4725-5p|1	hsa-miR-504|0.995787
hsa-miR-4481|1	hsa-miR-4745-5p|0.995752
hsa-miR-4799-3p|1	hsa-miR-4720-5p|0.995676
hsa-miR-4676-3p|1	hsa-miR-452|0.995585
hsa-miR-4685-3p|1	hsa-miR-4287|0.995504
hsa-miR-588|1	hsa-miR-4701-5p|0.995494
hsa-miR-1301|1	hsa-miR-5047|0.995395
hsa-miR-3660|1	hsa-miR-4526|0.995322
