dataset	abbreviation	feature	test_statistic	pvalue	pvalue_corrected	is_significant	correlation_sign	preferred_rowstat	similar_features
BioGRID Protein-Protein Interactions	biogrid	ITGA4	-0.11098	4e-05	0.3549	0	-1		ITGA4|VCAM1
BioGRID Protein-Protein Interactions	biogrid	DDX17	-0.10029	0.00012	0.53234	0	-1		DDX17
BioGRID Protein-Protein Interactions	biogrid	NPM1	-0.10685	0.00029	0.75416	0	-1		NPM1
BioGRID Protein-Protein Interactions	biogrid	RPS19	-0.074627	0.00050999	0.75416	0	-1		RPS19
BioGRID Protein-Protein Interactions	biogrid	stdv	-0.01727	0.00038	0.75416	0	-1	stdv	stdv|UBC
BioGRID Protein-Protein Interactions	biogrid	HNRNPA2B1	-0.096109	0.00046	0.75416	0	-1		HNRNPA2B1
BioGRID Protein-Protein Interactions	biogrid	SNRNP70	-0.059701	0.00233	0.78537	0	-1		SNRNP70
BioGRID Protein-Protein Interactions	biogrid	PRDX2	-0.070443	0.00215	0.78537	0	-1		PRDX2
BioGRID Protein-Protein Interactions	biogrid	H2AFY	-0.059701	0.00239	0.78537	0	-1		H2AFY
BioGRID Protein-Protein Interactions	biogrid	RAP1B	-0.059701	0.002	0.78537	0	-1		RAP1B
BioGRID Protein-Protein Interactions	biogrid	FUBP3	-0.059701	0.00207	0.78537	0	-1		FUBP3
BioGRID Protein-Protein Interactions	biogrid	RPS11	-0.059701	0.00229	0.78537	0	-1		RPS11
BioGRID Protein-Protein Interactions	biogrid	RPLP0	-0.070443	0.00227	0.78537	0	-1		RPLP0
BioGRID Protein-Protein Interactions	biogrid	RPS10	-0.070443	0.00234	0.78537	0	-1		RPS10
BioGRID Protein-Protein Interactions	biogrid	UBE2M	-0.059701	0.00239	0.78537	0	-1		UBE2M
BioGRID Protein-Protein Interactions	biogrid	MCM7	-0.059701	0.00228	0.78537	0	-1		MCM7
BioGRID Protein-Protein Interactions	biogrid	ANP32B	-0.059701	0.00215	0.78537	0	-1		ANP32B
BioGRID Protein-Protein Interactions	biogrid	HIST1H1C	-0.059701	0.00206	0.78537	0	-1		HIST1H1C
BioGRID Protein-Protein Interactions	biogrid	TUBB	-0.081184	0.00168	0.78537	0	-1		TUBB
BioGRID Protein-Protein Interactions	biogrid	RPS9	-0.070443	0.00223	0.78537	0	-1		RPS9
BioGRID Protein-Protein Interactions	biogrid	RPS25	-0.059701	0.00215	0.78537	0	-1		RPS25
BioGRID Protein-Protein Interactions	biogrid	HIST1H4C	-0.044776	0.00221	0.78537	0	-1		HIST1H4C|HIST1H4I
