dataset	abbreviation	feature	test_statistic	pvalue	pvalue_corrected	is_significant	correlation_sign	preferred_rowstat	similar_features
CMAP Signatures of Differentially Expressed Genes for Small Molecules	cmap	vorinostat-1645	0.0085837	0.75503	1	0	1		vorinostat-1645|trichostatin A-1659
CMAP Signatures of Differentially Expressed Genes for Small Molecules	cmap	terconazole-2484	-0.038434	0.19175	1	0	-1		terconazole-2484
CMAP Signatures of Differentially Expressed Genes for Small Molecules	cmap	tenoxicam-2860	-0.014925	0.45563	1	0	-1		tenoxicam-2860
CMAP Signatures of Differentially Expressed Genes for Small Molecules	cmap	tenoxicam-2501	0.010634	0.67375	1	0	1		tenoxicam-2501
CMAP Signatures of Differentially Expressed Genes for Small Molecules	cmap	tanespimycin-6986	-0.021267	0.32024	1	0	-1		tanespimycin-6986
CMAP Signatures of Differentially Expressed Genes for Small Molecules	cmap	tanespimycin-6985	0.0085837	1	1	0	1		tanespimycin-6985
CMAP Signatures of Differentially Expressed Genes for Small Molecules	cmap	tanespimycin-6937	-0.014925	0.45366	1	0	-1		tanespimycin-6937
CMAP Signatures of Differentially Expressed Genes for Small Molecules	cmap	tanespimycin-6184	-0.014925	0.68473	1	0	-1		tanespimycin-6184
CMAP Signatures of Differentially Expressed Genes for Small Molecules	cmap	tanespimycin-5953	0.0042918	1	1	0	1		tanespimycin-5953
CMAP Signatures of Differentially Expressed Genes for Small Molecules	cmap	tanespimycin-5586	0.040676	0.15602	1	0	1		tanespimycin-5586
CMAP Signatures of Differentially Expressed Genes for Small Molecules	cmap	tanespimycin-5585	0.010634	0.54727	1	0	1		tanespimycin-5585
CMAP Signatures of Differentially Expressed Genes for Small Molecules	cmap	tanespimycin-5578	0.027801	0.38205	1	0	1		tanespimycin-5578
CMAP Signatures of Differentially Expressed Genes for Small Molecules	cmap	tanespimycin-5222	0.0042918	1	1	0	1		tanespimycin-5222
CMAP Signatures of Differentially Expressed Genes for Small Molecules	cmap	tanespimycin-521	-0.0020498	1	1	0	-1		tanespimycin-521
CMAP Signatures of Differentially Expressed Genes for Small Molecules	cmap	tanespimycin-450	0.014925	0.57377	1	0	1		tanespimycin-450
CMAP Signatures of Differentially Expressed Genes for Small Molecules	cmap	tanespimycin-4430	-0.0020498	1	1	0	-1		tanespimycin-4430
CMAP Signatures of Differentially Expressed Genes for Small Molecules	cmap	terfenadine-1381	-0.0042918	1	1	0	-1		terfenadine-1381
CMAP Signatures of Differentially Expressed Genes for Small Molecules	cmap	terfenadine-2227	-0.010634	0.67845	1	0	-1		terfenadine-2227
CMAP Signatures of Differentially Expressed Genes for Small Molecules	cmap	tetracycline-1397	-0.021267	0.21601	1	0	-1		tetracycline-1397
CMAP Signatures of Differentially Expressed Genes for Small Molecules	cmap	tetrahydroalstonine-2748	0.014925	0.57191	1	0	1		tetrahydroalstonine-2748
CMAP Signatures of Differentially Expressed Genes for Small Molecules	cmap	tiabendazole-2479	-0.012876	0.63242	1	0	-1		tiabendazole-2479
CMAP Signatures of Differentially Expressed Genes for Small Molecules	cmap	thioridazine-6189	-0.019217	0.6065	1	0	-1		thioridazine-6189
CMAP Signatures of Differentially Expressed Genes for Small Molecules	cmap	thioridazine-417	-0.025559	0.25798	1	0	-1		thioridazine-417
CMAP Signatures of Differentially Expressed Genes for Small Molecules	cmap	thioridazine-1230	-0.016975	0.6849	1	0	-1		thioridazine-1230
CMAP Signatures of Differentially Expressed Genes for Small Molecules	cmap	thioridazine-1171	-0.010634	0.6287	1	0	-1		thioridazine-1171
CMAP Signatures of Differentially Expressed Genes for Small Molecules	cmap	thioridazine-1010	-0.034143	0.10433	1	0	-1		thioridazine-1010
CMAP Signatures of Differentially Expressed Genes for Small Molecules	cmap	thioguanosine-2619	0.0085837	1	1	0	1		thioguanosine-2619
CMAP Signatures of Differentially Expressed Genes for Small Molecules	cmap	tanespimycin-381	-0.010634	0.62828	1	0	-1		tanespimycin-381
CMAP Signatures of Differentially Expressed Genes for Small Molecules	cmap	thiocolchicoside-2875	-0.021267	0.32372	1	0	-1		thiocolchicoside-2875
CMAP Signatures of Differentially Expressed Genes for Small Molecules	cmap	thiethylperazine-5756	-0.0020498	1	1	0	-1		thiethylperazine-5756
CMAP Signatures of Differentially Expressed Genes for Small Molecules	cmap	thiamphenicol-7033	0.010634	0.54955	1	0	1		thiamphenicol-7033
CMAP Signatures of Differentially Expressed Genes for Small Molecules	cmap	thiamine-7479	0.0085837	1	1	0	1		thiamine-7479
CMAP Signatures of Differentially Expressed Genes for Small Molecules	cmap	thalidomide-1411	0.012876	0.63292	1	0	1		thalidomide-1411
CMAP Signatures of Differentially Expressed Genes for Small Molecules	cmap	tetryzoline-2507	-0.014925	0.64255	1	0	-1		tetryzoline-2507
CMAP Signatures of Differentially Expressed Genes for Small Molecules	cmap	tetrandrine-2520	-0.010634	0.54948	1	0	-1		tetrandrine-2520
CMAP Signatures of Differentially Expressed Genes for Small Molecules	cmap	tetramisole-2489	-0.0042918	1	1	0	-1		tetramisole-2489
CMAP Signatures of Differentially Expressed Genes for Small Molecules	cmap	thiethylperazine-6154	-0.014925	0.57106	1	0	-1		thiethylperazine-6154
CMAP Signatures of Differentially Expressed Genes for Small Molecules	cmap	tanespimycin-2685	-0.0042918	1	1	0	-1		tanespimycin-2685
CMAP Signatures of Differentially Expressed Genes for Small Molecules	cmap	tanespimycin-221	0.0042918	1	1	0	1		tanespimycin-221
CMAP Signatures of Differentially Expressed Genes for Small Molecules	cmap	tanespimycin-1226	-0.019217	0.65628	1	0	-1		tanespimycin-1226
CMAP Signatures of Differentially Expressed Genes for Small Molecules	cmap	sulfamethizole-6272	-0.0063417	1	1	0	-1		sulfamethizole-6272
CMAP Signatures of Differentially Expressed Genes for Small Molecules	cmap	sulfamerazine-3718	-0.0042918	1	1	0	-1		sulfamerazine-3718
CMAP Signatures of Differentially Expressed Genes for Small Molecules	cmap	sulfafurazole-1603	-0.025559	0.12509	1	0	-1		sulfafurazole-1603
CMAP Signatures of Differentially Expressed Genes for Small Molecules	cmap	sulfadimidine-4322	-0.025559	0.41292	1	0	-1		sulfadimidine-4322
CMAP Signatures of Differentially Expressed Genes for Small Molecules	cmap	sulfadimidine-3422	0.027801	0.20764	1	0	1		sulfadimidine-3422
CMAP Signatures of Differentially Expressed Genes for Small Molecules	cmap	streptozocin-6098	0.025751	0.34535	1	0	1		streptozocin-6098
CMAP Signatures of Differentially Expressed Genes for Small Molecules	cmap	staurosporine-425	0.025559	0.34805	1	0	1		staurosporine-425
CMAP Signatures of Differentially Expressed Genes for Small Molecules	cmap	sulfametoxydiazine-3453	0.032093	0.18283	1	0	1		sulfametoxydiazine-3453
CMAP Signatures of Differentially Expressed Genes for Small Molecules	cmap	stachydrine-1751	-0.025559	0.12607	1	0	-1		stachydrine-1751
CMAP Signatures of Differentially Expressed Genes for Small Molecules	cmap	sparteine-2134	0.014925	0.45504	1	0	1		sparteine-2134
CMAP Signatures of Differentially Expressed Genes for Small Molecules	cmap	solasodine-3749	0.0042918	1	1	0	1		solasodine-3749
CMAP Signatures of Differentially Expressed Genes for Small Molecules	cmap	solanine-4087	0.012876	0.63216	1	0	1		solanine-4087
CMAP Signatures of Differentially Expressed Genes for Small Molecules	cmap	sodium phenylbutyrate-434	-0.016975	0.64265	1	0	-1		sodium phenylbutyrate-434
CMAP Signatures of Differentially Expressed Genes for Small Molecules	cmap	sodium phenylbutyrate-341	-0.0042918	1	1	0	-1		sodium phenylbutyrate-341
CMAP Signatures of Differentially Expressed Genes for Small Molecules	cmap	skimmianine-6066	-0.014925	0.45452	1	0	-1		skimmianine-6066
CMAP Signatures of Differentially Expressed Genes for Small Molecules	cmap	sitosterol-7332	0.0042918	1	1	0	1		sitosterol-7332
CMAP Signatures of Differentially Expressed Genes for Small Molecules	cmap	spiramycin-3762	0.021459	0.35478	1	0	1		spiramycin-3762
CMAP Signatures of Differentially Expressed Genes for Small Molecules	cmap	tiabendazole-2840	0.012876	0.66824	1	0	1		tiabendazole-2840
CMAP Signatures of Differentially Expressed Genes for Small Molecules	cmap	sulfaphenazole-1673	-0.0063417	1	1	0	-1		sulfaphenazole-1673
CMAP Signatures of Differentially Expressed Genes for Small Molecules	cmap	sulfasalazine-204	0.021459	0.40817	1	0	1		sulfasalazine-204
CMAP Signatures of Differentially Expressed Genes for Small Molecules	cmap	tanespimycin-1167	-0.034143	0.10435	1	0	-1		tanespimycin-1167
CMAP Signatures of Differentially Expressed Genes for Small Molecules	cmap	tanespimycin-1166	-0.038434	0.12918	1	0	-1		tanespimycin-1166
CMAP Signatures of Differentially Expressed Genes for Small Molecules	cmap	tanespimycin-1064	-0.023509	0.17394	1	0	-1		tanespimycin-1064
CMAP Signatures of Differentially Expressed Genes for Small Molecules	cmap	tanespimycin-1044	0.0042918	1	1	0	1		tanespimycin-1044
CMAP Signatures of Differentially Expressed Genes for Small Molecules	cmap	tamoxifen-2212	-0.027801	0.30848	1	0	-1		tamoxifen-2212
CMAP Signatures of Differentially Expressed Genes for Small Molecules	cmap	tacrine-6698	-0.0063417	1	1	0	-1		tacrine-6698
CMAP Signatures of Differentially Expressed Genes for Small Molecules	cmap	syrosingopine-6213	0.012876	0.67012	1	0	1		syrosingopine-6213
CMAP Signatures of Differentially Expressed Genes for Small Molecules	cmap	sulfapyridine-7151	-0.021267	0.2171	1	0	-1		sulfapyridine-7151
CMAP Signatures of Differentially Expressed Genes for Small Molecules	cmap	syrosingopine-5733	0.021459	0.35443	1	0	1		syrosingopine-5733
CMAP Signatures of Differentially Expressed Genes for Small Molecules	cmap	sulpiride-4566	0.012876	0.59441	1	0	1		sulpiride-4566
CMAP Signatures of Differentially Expressed Genes for Small Molecules	cmap	suloctidil-6675	-0.027609	0.35532	1	0	-1		suloctidil-6675
