dataset	abbreviation	feature	test_statistic	pvalue	pvalue_corrected	is_significant	correlation_sign	preferred_rowstat	similar_features
CTD Gene-Chemical Interactions	ctdchemical	2,4,6-trichlorophenyl-4'-aminophenyl ether	-0.0047027	1	1	0	-1		2,4,6-trichlorophenyl-4'-aminophenyl ether|2-(((3,5-dichlorophenyl)carbamoyl)oxy)-2-methyl-3-butenoic acid|4-hydroxybenzophenone|Chromans|Nafoxidine|p-tert-amylphenol|tetralin|3-benzylidene camphor|oxybenzone|phantolid|Leptophos|Phenylphosphonothioic Acid, 2-Ethyl 2-(4-Nitrophenyl) Ester|chloropropylate|dichlofenthion|ethion|ethyl bromophos|tolclofos-methyl|pendimethalin|prothiophos|isopropyl 4,4'-dibromobenzilate|quinalphos|isobutylparaben|3',5'-dichloro-2-hydroxy-2-methylbut-3-enanilide|galaxolide|enzacamene|di-n-octyl phthalate|dicyclohexyl phthalate|2,4-dihydroxybenzophenone|2',3',4',5'-tetrachloro-4-biphenylol
CTD Gene-Chemical Interactions	ctdchemical	pioglitazone	-0.024507	0.58716	1	0	-1		pioglitazone
CTD Gene-Chemical Interactions	ctdchemical	stearic acid	-0.008169	1	1	0	-1		stearic acid
CTD Gene-Chemical Interactions	ctdchemical	Oleic Acid	-0.00016901	1	1	0	-1		Oleic Acid
CTD Gene-Chemical Interactions	ctdchemical	AICA ribonucleotide	-0.010254	0.71443	1	0	-1		AICA ribonucleotide
CTD Gene-Chemical Interactions	ctdchemical	3-methyladenine	-0.024169	0.12499	1	0	-1		3-methyladenine
CTD Gene-Chemical Interactions	ctdchemical	gedunin	0.012	0.59435	1	0	1		gedunin
CTD Gene-Chemical Interactions	ctdchemical	neohesperidin dihydrochalcone	-0.0020845	1	1	0	-1		neohesperidin dihydrochalcone
CTD Gene-Chemical Interactions	ctdchemical	3-(5-(2,3-dichlorophenyl)-1H-tetrazol-1-yl)methylpyridine	-0.024169	0.12541	1	0	-1		3-(5-(2,3-dichlorophenyl)-1H-tetrazol-1-yl)methylpyridine
CTD Gene-Chemical Interactions	ctdchemical	T-2 Toxin	-0.00016901	1	1	0	-1		T-2 Toxin
CTD Gene-Chemical Interactions	ctdchemical	dioscin	-0.020169	0.21213	1	0	-1		dioscin
CTD Gene-Chemical Interactions	ctdchemical	Selegiline	-0.020169	0.21267	1	0	-1		Selegiline
CTD Gene-Chemical Interactions	ctdchemical	esculetin	-0.012169	0.61568	1	0	-1		esculetin
CTD Gene-Chemical Interactions	ctdchemical	sirtinol	0.0059155	1	1	0	1		sirtinol
CTD Gene-Chemical Interactions	ctdchemical	malvidin	-0.024169	0.12256	1	0	-1		malvidin
CTD Gene-Chemical Interactions	ctdchemical	gamma-sitosterol	-0.024169	0.12577	1	0	-1		gamma-sitosterol
CTD Gene-Chemical Interactions	ctdchemical	citral	0.0059155	1	1	0	1		citral
CTD Gene-Chemical Interactions	ctdchemical	Shiga Toxin 1	0.012	0.59783	1	0	1		Shiga Toxin 1
