dataset	abbreviation	feature	test_statistic	pvalue	pvalue_corrected	is_significant	correlation_sign	preferred_rowstat	similar_features
CTD Gene-Disease Associations - Cleaned	ctddisease_cleaned	Anterior Spinal Artery Syndrome	-5.0458e-05	0.81835	1	0	-1		Anterior Spinal Artery Syndrome|Atresia of small intestine|Basal Ganglia Hemorrhage|Encephalomalacia|Endarteritis|Fibromuscular Dysplasia|Gingival Diseases|Granuloma, Lethal Midline|Hemoperitoneum|Infarction, Posterior Cerebral Artery|Intussusception|Kleeblattschaedel syndrome|Lacrimal Duct Obstruction|Neoplasms, Fibrous Tissue|Oral Fistula|Orbital Cellulitis|Placenta Accreta|Poland Syndrome|Reactive Attachment Disorder|Respiratory Tract Fistula|Sialometaplasia, Necrotizing|Subcutaneous Emphysema|Syphilis, Congenital|Tooth Erosion|Upper Extremity Deformities, Congenital|Iliac Aneurysm|Nose Deformities, Acquired|Central Nervous System Cysts|Hyphema|Pulmonary Infarction|Fetal Membranes, Premature Rupture|Finger Injuries|Uterine Rupture|Intracranial Arterial Diseases|Gastroschisis|Putaminal Hemorrhage|Panniculitis|Brown-Sequard Syndrome|Botulism|Lip Diseases|Pneumopericardium|Accelerated Idioventricular Rhythm|Gingival Recession|Flank Pain|Peptic Ulcer Perforation|Abdomen, Acute|Basal Ganglia Cerebrovascular Disease|Paranasal Sinus Diseases|Hydranencephaly|Encephalomyelitis, Acute Disseminated|Pregnancy Complications, Hematologic|Anterior Wall Myocardial Infarction|Mobius Syndrome|Acid-Base Imbalance|Venous Insufficiency|Vascular Headaches|Carotid Artery, Internal, Dissection|Facial Injuries|Fistula|Pyoderma Gangrenosum
CTD Gene-Disease Associations - Cleaned	ctddisease_cleaned	Tauopathies	-0.00068631	0.13261	1	0	-1		Tauopathies
CTD Gene-Disease Associations - Cleaned	ctddisease_cleaned	Dementia	-0.0051684	0.86978	1	0	-1		Dementia
CTD Gene-Disease Associations - Cleaned	ctddisease_cleaned	Arthritis, Psoriatic	0.010707	0.5644	1	0	1		Arthritis, Psoriatic
CTD Gene-Disease Associations - Cleaned	ctddisease_cleaned	Immunoblastic Lymphadenopathy	0.00017282	0.1113	1	0	1		Immunoblastic Lymphadenopathy
CTD Gene-Disease Associations - Cleaned	ctddisease_cleaned	Carcinoma, Pancreatic Ductal	0.01082	0.58167	1	0	1		Carcinoma, Pancreatic Ductal
CTD Gene-Disease Associations - Cleaned	ctddisease_cleaned	Paroxysmal nonkinesigenic dyskinesia	0.00021745	0.19707	1	0	1		Paroxysmal nonkinesigenic dyskinesia
CTD Gene-Disease Associations - Cleaned	ctddisease_cleaned	Liver Diseases, Parasitic	-0.00019849	0.057439	1	0	-1		Liver Diseases, Parasitic
CTD Gene-Disease Associations - Cleaned	ctddisease_cleaned	Vitamin A Deficiency	-0.014128	0.0060499	1	0	-1		Vitamin A Deficiency
CTD Gene-Disease Associations - Cleaned	ctddisease_cleaned	succinic semialdehyde dehydrogenase deficiency	-0.00030778	0.0087399	1	0	-1		succinic semialdehyde dehydrogenase deficiency
CTD Gene-Disease Associations - Cleaned	ctddisease_cleaned	Xanthomatosis	9.2027e-05	0.57037	1	0	1		Xanthomatosis
CTD Gene-Disease Associations - Cleaned	ctddisease_cleaned	Sitosterolemia	2.7724e-06	0.91753	1	0	1		Sitosterolemia
CTD Gene-Disease Associations - Cleaned	ctddisease_cleaned	Nasopharyngeal carcinoma	-0.00082648	0.11082	1	0	-1		Nasopharyngeal carcinoma
CTD Gene-Disease Associations - Cleaned	ctddisease_cleaned	Nerve Sheath Neoplasms	7.2524e-05	0.53925	1	0	1		Nerve Sheath Neoplasms
CTD Gene-Disease Associations - Cleaned	ctddisease_cleaned	Polycythemia Vera	0.0039815	0.47647	1	0	1		Polycythemia Vera
CTD Gene-Disease Associations - Cleaned	ctddisease_cleaned	Mental Disorders Diagnosed in Childhood	-0.00098734	0.01283	1	0	-1		Mental Disorders Diagnosed in Childhood
CTD Gene-Disease Associations - Cleaned	ctddisease_cleaned	TOBACCO ADDICTION, SUSCEPTIBILITY TO	0.0036944	0.94526	1	0	1		TOBACCO ADDICTION, SUSCEPTIBILITY TO
CTD Gene-Disease Associations - Cleaned	ctddisease_cleaned	Bulimia Nervosa	0.00043263	0.52165	1	0	1		Bulimia Nervosa
CTD Gene-Disease Associations - Cleaned	ctddisease_cleaned	Amyloidosis	0.0043235	0.38413	1	0	1		Amyloidosis
CTD Gene-Disease Associations - Cleaned	ctddisease_cleaned	Myositis	0.0017583	0.88214	1	0	1		Myositis
CTD Gene-Disease Associations - Cleaned	ctddisease_cleaned	Contracture	-0.00012145	0.39057	1	0	-1		Contracture
CTD Gene-Disease Associations - Cleaned	ctddisease_cleaned	Intraoperative Awareness	0.00016583	0.34547	1	0	1		Intraoperative Awareness
CTD Gene-Disease Associations - Cleaned	ctddisease_cleaned	Dry Eye Syndromes	0.0034857	0.95895	1	0	1		Dry Eye Syndromes
CTD Gene-Disease Associations - Cleaned	ctddisease_cleaned	Gastroesophageal Reflux	0.0076118	0.74048	1	0	1		Gastroesophageal Reflux
CTD Gene-Disease Associations - Cleaned	ctddisease_cleaned	End Stage Liver Disease	0.0034272	0.79878	1	0	1		End Stage Liver Disease
CTD Gene-Disease Associations - Cleaned	ctddisease_cleaned	Intellectual Disability	-0.012439	0.44766	1	0	-1		Intellectual Disability
CTD Gene-Disease Associations - Cleaned	ctddisease_cleaned	Aberrant Crypt Foci	0.0027943	0.89959	1	0	1		Aberrant Crypt Foci
