dataset	abbreviation	feature	test_statistic	pvalue	pvalue_corrected	is_significant	correlation_sign	preferred_rowstat	similar_features
dbGAP Gene-Trait Associations - Cleaned	dbgap_cleaned	mean	-0.00087507	0.96394	1	0	-1	mean	mean|stdv
dbGAP Gene-Trait Associations - Cleaned	dbgap_cleaned	Waist Circumference	0.1071	0.59465	1	0	1		Waist Circumference
dbGAP Gene-Trait Associations - Cleaned	dbgap_cleaned	Blood Pressure	0.38807	0.32785	1	0	1		Blood Pressure
dbGAP Gene-Trait Associations - Cleaned	dbgap_cleaned	Respiratory Function Tests	0.72989	0.27011	1	0	1		Respiratory Function Tests
dbGAP Gene-Trait Associations - Cleaned	dbgap_cleaned	Neutrophils	-0.35625	0.21728	1	0	-1		Neutrophils
dbGAP Gene-Trait Associations - Cleaned	dbgap_cleaned	Tunica Media	-0.053229	1	1	0	-1		Tunica Media
dbGAP Gene-Trait Associations - Cleaned	dbgap_cleaned	Alcoholism	0.16525	0.54871	1	0	1		Alcoholism
dbGAP Gene-Trait Associations - Cleaned	dbgap_cleaned	Asthma	0.065511	0.75158	1	0	1		Asthma
dbGAP Gene-Trait Associations - Cleaned	dbgap_cleaned	Lipoproteins, HDL	-0.40692	0.86604	1	0	-1		Lipoproteins, HDL
dbGAP Gene-Trait Associations - Cleaned	dbgap_cleaned	Echocardiography	-0.24558	0.092099	1	0	-1		Echocardiography
dbGAP Gene-Trait Associations - Cleaned	dbgap_cleaned	Hemoglobins	0.14134	0.5346	1	0	1		Hemoglobins
dbGAP Gene-Trait Associations - Cleaned	dbgap_cleaned	Bipolar Disorder	0.18354	0.52132	1	0	1		Bipolar Disorder
dbGAP Gene-Trait Associations - Cleaned	dbgap_cleaned	Myocardial Infarction	-0.082769	0.5244	1	0	-1		Myocardial Infarction
dbGAP Gene-Trait Associations - Cleaned	dbgap_cleaned	Triglycerides	0.57574	0.60767	1	0	1		Triglycerides
dbGAP Gene-Trait Associations - Cleaned	dbgap_cleaned	Waist-Hip Ratio	0.16018	0.73094	1	0	1		Waist-Hip Ratio
dbGAP Gene-Trait Associations - Cleaned	dbgap_cleaned	Hematocrit	0.22448	0.37776	1	0	1		Hematocrit
dbGAP Gene-Trait Associations - Cleaned	dbgap_cleaned	Fibrinogen	0.50014	0.51518	1	0	1		Fibrinogen
