dataset	abbreviation	feature	test_statistic	pvalue	pvalue_corrected	is_significant	correlation_sign	preferred_rowstat	similar_features
ENCODE Histone Modification Site Profiles	encodehm	mean	-0.04434	0.18834	1	0	-1	mean	mean|H3K4me3_bone marrow macrophage_mm9_1|H3K4me3_thymus_mm9_1|H3K4me3_small intestine_mm9_1|H3K4me3_brown adipose tissue_mm9_1|H3K4me3_embryonic fibroblast_mm9_1|H3K4me3_heart_mm9_2|H3K4me3_liver_mm9_2|H3K9ac_ES-Bruce4_mm9_1|H3K4me3_cerebellum_mm9_1|H3K4me3_limb_mm9_1|H3K4me3_olfactory bulb_mm9_1|H3K4me3_brain_mm9_1|H3K4me3_ES-E14_mm9_1|H3K9ac_ES-E14_mm9_1|H3K4me3_kidney_mm9_1|H3K9ac_liver_mm9_1|H3K4me3_placenta_mm9_1|H3K4me3_ES-E14_mm9_2|H3K9ac_heart_mm9_1|H3K4me3_spleen_mm9_1|H3K4me3_lung_mm9_1|H3K4me2_myocyte_mm9_1|H3K4me3_heart_mm9_1|H3K4me3_liver_mm9_1|H3K4me3_erythroblast_mm9_3|H3K4me3_bone marrow_mm9_1|H3K4me3_SK-N-MC_hg19_2|H3K4me3_HCT116_hg19_1|H3K4me3_HCT116_hg19_2|H3K4me3_megakaryocyte_mm9_3|H3K4me3_cardiac fibroblast_hg19_1|H3K4me3_WI38_hg19_3|H3K4me3_WI38_hg19_1|H3K4me3_SK-N-MC_hg19_1|H3K4me3_GM12864_hg19_2|H3K4me3_GM12866_hg19_1|H3K4me3_GM06990_hg19_1|H3K4me3_GM06990_hg19_2|H3K4me3_HL-60_hg19_2|H3K4me3_GM12864_hg19_1|H3K4me3_GM12865_hg19_1|H3K4me3_HL-60_hg19_1|H3K4me3_GM12875_hg19_1|H3K4me3_GM12865_hg19_2|H3K4me3_K562_hg19_3|H3K4me3_K562_hg19_2|H3K4me3_erythroblast_mm9_1|H3K4me1_liver_mm9_2|H3K4me3_brain microvascular endothelial cell_hg19_2|H3K4me3_astrocyte of the spinal cord_hg19_1|H3K4me3_astrocyte of the cerebellum_hg19_2|H3K4me3_endothelial cell of umbilical vein_hg19_3|H3K4me3_astrocyte of the cerebellum_hg19_1|H3K4me3_astrocyte of the spinal cord_hg19_2|H3K4me3_fibroblast of foreskin _hg19_2|H3K4me3_fibroblast of foreskin _hg19_1|H3K4me3_WI38_hg19_4|H3K4me3_WI38_hg19_2|H3K4me3_keratinocyte_hg19_2|H3K4me3_keratinocyte_hg19_3|H3K4me3_cardiac mesoderm_hg19_5|H3K4me3_B cell_hg19_1|H3K4me3_B cell_hg19_3|H3K4me3_B cell_hg19_2|H3K4me3_CD14-positive monocyte_hg19_2|H3K9ac_fibroblast of lung_hg19_1|H3K4me3_GM12878_hg19_2|H3K4me3_GM12878_hg19_3|H3K4me3_mononuclear cell_hg19_1|H3K4me3_Jurkat_hg19_2|H3K4me3_cardiac fibroblast_hg19_3|H3K4me3_BJ_hg19_1|H3K4me3_BJ_hg19_2|H3K4me3_fibroblast of upper leg skin_hg19_1|H3K4me3_fibroblast of the aortic adventitia_hg19_1|H3K4me3_fibroblast of lung_hg19_3|H3K4me3_brain microvascular endothelial cell_hg19_1|H3K4me3_cardiac fibroblast_hg19_2|H3K4me3_fibroblast of gingiva_hg19_2|H3K4me3_foreskin fibroblast_hg19_1|H3K4me3_fibroblast of pulmonary artery_hg19_1|H3K4me3_choroid plexus epithelial cell_hg19_1|H3K4me3_cardiac muscle cell_hg19_1|H3K4me3_fibroblast of gingiva_hg19_1|H3K4me3_fibroblast of lung_hg19_7|H3K4me3_fibroblast of pulmonary artery_hg19_2|H3K4me3_fibroblast of upper leg skin_hg19_2|H3K4me3_skeletal muscle cell_hg19_1|H3K4me3_fibroblast of villous mesenchyme_hg19_2|H3K4me3_fibroblast of pedal digit skin_hg19_2|H3K4me3_fibroblast of villous mesenchyme_hg19_1|H3K4me3_fibroblast of lung_hg19_6|H3K4me3_endothelial cell of umbilical vein_hg19_2|H3K4me3_fibroblast of lung_hg19_2|H3K4me3_skeletal muscle cell_hg19_2|H3K4me3_foreskin fibroblast_hg19_2|H3K4me3_fibroblast of pedal digit skin_hg19_1|H3K4me3_choroid plexus epithelial cell_hg19_2|H3K4me3_cardiac muscle cell_hg19_2|H3K4me3_fibroblast of skin of abdomen_hg19_2|H3K4me3_fibroblast of mammary gland_hg19_1|H3K4me3_foreskin fibroblast_hg19_3|H3K4me3_fibroblast of mammary gland_hg19_2|H3K4me3_fibroblast of skin of abdomen_hg19_1|H3K4me3_fibroblast of the aortic adventitia_hg19_2|H3K4me3_fibroblast of lung_hg19_4|H3K4me3_retinal pigment epithelial cell_hg19_2|H3K4me3_bronchial epithelial cell_hg19_2|H3K4me3_bronchial epithelial cell_hg19_1|H3K4me3_fibroblast of lung_hg19_5|H3K4me3_HEK293_hg19_2|H3K4me3_cardiac mesoderm_hg19_8|H3K4me3_cardiac mesoderm_hg19_2|H3K4me3_SK-N-SH_hg19_2|H3K4me3_cardiac mesoderm_hg19_7|H3K4me3_SK-N-SH_hg19_1|H3K4me3_Caco-2_hg19_1|H3K4me3_Caco-2_hg19_2|H3K4me3_BE2C_hg19_1|H3K4me3_BE2C_hg19_2|H3K4me3_HepG2_hg19_3|H3K4me3_HepG2_hg19_2|H3K9ac_endothelial cell of umbilical vein_hg19_1|H3K4me3_ES-Bruce4_mm9_1|H3K4me3_testis_mm9_1|H3K4me3_kidney epithelial cell_hg19_2|H3K4me3_kidney epithelial cell_hg19_1|H3K4me3_mammary epithelial cell_hg19_2|H3K4me3_retinal pigment epithelial cell_hg19_1|H3K4me3_mammary epithelial cell_hg19_3|H3K4me3_epithelial cell of proximal tubule_hg19_1|H3K4me3_epithelial cell of proximal tubule_hg19_2|H3K4me3_epithelial cell of esophagus_hg19_1|H3K4me3_epithelial cell of esophagus_hg19_2|H3K4me3_Panc1_hg19_2|H3K4me3_cardiac mesoderm_hg19_1|H3K4me3_Panc1_hg19_1|H3K4me3_A549_hg19_4|H3K4me3_A549_hg19_3|H3K4me3_MCF-7_hg19_2|H3K4me3_MCF-7_hg19_1|H3K4me3_LNCaP clone FGC_hg19_2|H3K4me3_LNCaP clone FGC_hg19_1|H3K4me3_HeLa-S3_hg19_2|H3K4me3_Jurkat_hg19_1|H3K4me3_HEK293_hg19_1|H3K4me3_cardiac mesoderm_hg19_6|H3K4me3_H7_hg19_1|H3K4me3_cardiac mesoderm_hg19_4|H3K4me3_H7_hg19_2|H3K4me3_cardiac mesoderm_hg19_3|H3K4me3_NT2-D1_hg19_1|H3K4me3_WERI-Rb-1_hg19_1|H3K4me3_WERI-Rb-1_hg19_2|H3K4me3_erythroblast_mm9_2|H3K4me3_CH12.LX_mm9_2|H3K4me3_H1-hESC_hg19_1|H3K9ac_NT2-D1_hg19_1|H3K4me3_HeLa-S3_hg19_3|H3K4me3_cortical plate_mm9_1|H3ac_C2C12_mm9_1|H3K4me2_CH12.LX_mm9_1|H3K4me3_Panc1_hg19_3|H3K4me3_mammary epithelial cell_hg19_1|H3K4me3_skeletal muscle myoblast_hg19_1|H3K4me3_endothelial cell of umbilical vein_hg19_1|H3K4me3_keratinocyte_hg19_1|H3K4me3_megakaryocyte_mm9_2|H3K4me3_myocyte_mm9_1|H3K4me3_astrocyte_hg19_1|H3K4me3_fibroblast of lung_hg19_1|H3K4me3_myotube_hg19_1|H3K4me3_K562_hg19_4|H3K4me3_NB4_hg19_1|H3K27ac_Panc1_hg19_1|H3K4me3_osteoblast_hg19_1|H3K4me3_fibroblast of dermis_hg19_1|H3K9ac_skeletal muscle myoblast_hg19_1|H3K4me1_mononuclear cell_hg19_1|H3K4me3_HepG2_hg19_1|H3K9ac_K562_hg19_2|H3K4me3_megakaryocyte_mm9_1|H3K9ac_keratinocyte_hg19_1|H3K9ac_CD14-positive monocyte_hg19_1|H3K4me1_testis_mm9_1|H3K4me3_CD14-positive monocyte_hg19_1|H3K9ac_H1-hESC_hg19_1|H3K9ac_mammary epithelial cell_hg19_1|H3K4me1_brain_mm9_1|H3K4me3_C2C12_mm9_1|H3K4me3_CH12.LX_mm9_1|stdv|H3K9ac_HeLa-S3_hg19_1|H3K9ac_HepG2_hg19_1|H3K4me3_HeLa-S3_hg19_1|H3K27ac_HeLa-S3_hg19_1|H3K27ac_endothelial cell of umbilical vein_hg19_1|H3K4me2_endothelial cell of umbilical vein_hg19_1|H3K27ac_A549_hg19_2|H3K9ac_A549_hg19_1|H3K9ac_myotube_hg19_1|H3K27ac_mammary epithelial cell_hg19_1|H3K27ac_skeletal muscle myoblast_hg19_1|H3K4me3_MEL cell line_mm9_3|H3K4me3_CH12.LX_mm9_5|H3K4me2_H1-hESC_hg19_1|H3K9ac_fibroblast of dermis_hg19_1|H3K4me3_A549_hg19_2|H3K4me2_myotube_hg19_1|H3K4me2_keratinocyte_hg19_1|H3K4me1_endothelial cell of umbilical vein_hg19_1|H3K27ac_A549_hg19_1|H3K27ac_fibroblast of lung_hg19_1|H3K9ac_GM12878_hg19_1|H3K4me3_CH12.LX_mm9_3|H3K4me3_CH12.LX_mm9_4|H3K4me2_fibroblast of lung_hg19_1|H3K9ac_astrocyte_hg19_1|H3K4me2_skeletal muscle myoblast_hg19_1|H3K4me1_astrocyte_hg19_1|H3K27ac_astrocyte_hg19_1|H3K27ac_testis_mm9_1|H3K9ac_CH12.LX_mm9_1|H3K4me3_G1E_mm9_2|H3K4me3_MEL cell line_mm9_2|H3K4me2_osteoblast_hg19_1|H3K4me2_K562_hg19_1|H3K9ac_MEL cell line_mm9_1|H3K4me3_K562_hg19_1|H3K27ac_keratinocyte_hg19_1|H3K4me3_T-cell acute lymphoblastic leukemia_hg19_1|H3K4me1_small intestine_mm9_1|H3K4me2_fibroblast of dermis_hg19_1|H3K4me3_A549_hg19_1|H3K27ac_HCT116_hg19_1|H3K27ac_HepG2_hg19_1|H3K4me3_G1E_mm9_1|H3K4me2_B cell_hg19_1|H3K4me1_osteoblast_hg19_1|H3K4me2_mammary epithelial cell_hg19_1|H3K4me1_keratinocyte_hg19_1|H3K4me2_HeLa-S3_hg19_1|H3K27ac_K562_hg19_1|H3K4me1_spleen_mm9_1|H3K4me2_A549_hg19_1|H3K4me2_CD14-positive monocyte_hg19_1|H3K27ac_myotube_hg19_1|H3K4me2_astrocyte_hg19_1|H3K9ac_T-cell acute lymphoblastic leukemia_hg19_1|H3K9ac_K562_hg19_1|H3K4me1_mammary epithelial cell_hg19_1|H3K4me3_MEL cell line_mm9_1|H3K27ac_bone marrow_mm9_1|H3K4me3_G1E_mm9_3|H3K27ac_GM12878_hg19_1|H3K4me3_G1E-ER4_mm9_1|H3K4me1_HeLa-S3_hg19_1|H3K4me3_G1E-ER4_mm9_3|H3K4me1_bone marrow macrophage_mm9_1|H3K4me2_HepG2_hg19_1|H3K4me1_CD14-positive monocyte_hg19_1|H3K27ac_fibroblast of lung_hg19_2|H3K4me3_G1E-ER4_mm9_2|H3K4me1_fibroblast of dermis_hg19_1|H3K4me1_thymus_mm9_1|H3K4me2_A549_hg19_2|H3K4me1_K562_hg19_2|H3K27ac_spleen_mm9_1|H3K27ac_heart_mm9_2|H3K4me1_MEL cell line_mm9_3|H3K4me1_Panc1_hg19_1|H3K4me1_skeletal muscle myoblast_hg19_1|H3K27ac_fibroblast of dermis_hg19_1|H3K4me1_fibroblast of lung_hg19_1|H3K27ac_embryonic fibroblast_mm9_1|H3K4me1_embryonic fibroblast_mm9_1|H3K27ac_kidney_mm9_1|H3K4me2_GM12878_hg19_1|H3K4me1_lung_mm9_1|H3K4me1_H1-hESC_hg19_1|H3K4me1_placenta_mm9_1|H3K4me1_myotube_hg19_1|H3K4me1_brown adipose tissue_mm9_1|H3K27ac_heart_mm9_1|H3K27ac_small intestine_mm9_1|H3K4me1_kidney_mm9_1|H3K4me1_liver_mm9_1|H3K4me1_heart_mm9_2|H3K4me1_heart_mm9_1|H3K27ac_H1-hESC_hg19_1|H3K4me1_A549_hg19_2|H3K27ac_T-cell acute lymphoblastic leukemia_hg19_1|H3K27ac_liver_mm9_2|H3K27ac_brain_mm9_1|H3K4me1_GM12878_hg19_1|H3K27ac_osteoblast_hg19_1|H3K4me1_A549_hg19_1|H3K27ac_placenta_mm9_1|H3K4me2_T-cell acute lymphoblastic leukemia_hg19_1|H3K4me1_T-cell acute lymphoblastic leukemia_hg19_1|H3K4me1_K562_hg19_1|H3K27ac_liver_mm9_1|H3K4me3_GM12878_hg19_1|H3K4me1_HepG2_hg19_1|H3K27ac_B cell_hg19_1|H3K27ac_CD14-positive monocyte_hg19_1|H3K27ac_brown adipose tissue_mm9_1|H3K4me1_limb_mm9_1|H3K27ac_MEL cell line_mm9_1|H3K27ac_bone marrow macrophage_mm9_1|H3K79me2_MEL cell line_mm9_1|H3K27ac_olfactory bulb_mm9_1|H3K27ac_cerebellum_mm9_1|H3ac_myocyte_mm9_1|H3K27ac_ES-E14_mm9_1|H3K4me1_bone marrow_mm9_1|H3K4me1_olfactory bulb_mm9_1|H3K27ac_CH12.LX_mm9_1|H3K4me1_megakaryocyte_mm9_3|H3K27ac_cortical plate_mm9_1|H3K4me1_cerebellum_mm9_1|H3K27ac_limb_mm9_1|H3K4me1_megakaryocyte_mm9_2|H3K4me1_megakaryocyte_mm9_1|H3K4me1_erythroblast_mm9_3|H3K4me1_cortical plate_mm9_1|H3K4me1_erythroblast_mm9_2|H3K4me1_ES-Bruce4_mm9_1|H3K4me1_G1E_mm9_3|H3K4me1_CH12.LX_mm9_4
ENCODE Histone Modification Site Profiles	encodehm	H4K20me1_T-cell acute lymphoblastic leukemia_hg19_1	-0.013243	0.84845	1	0	-1		H4K20me1_T-cell acute lymphoblastic leukemia_hg19_1
ENCODE Histone Modification Site Profiles	encodehm	H4K20me1_HepG2_hg19_1	-0.049742	0.26294	1	0	-1		H4K20me1_HepG2_hg19_1
ENCODE Histone Modification Site Profiles	encodehm	H4K20me1_A549_hg19_1	0.081718	0.079319	1	0	1		H4K20me1_A549_hg19_1
ENCODE Histone Modification Site Profiles	encodehm	H3K79me2_skeletal muscle myoblast_hg19_1	-0.027455	0.45185	1	0	-1		H3K79me2_skeletal muscle myoblast_hg19_1
ENCODE Histone Modification Site Profiles	encodehm	H3K9me3_osteoblast_hg19_1	0.024871	0.46756	1	0	1		H3K9me3_osteoblast_hg19_1
ENCODE Histone Modification Site Profiles	encodehm	H3K9me3_K562_hg19_1	-0.064599	0.052059	1	0	-1		H3K9me3_K562_hg19_1
ENCODE Histone Modification Site Profiles	encodehm	H3K9me3_HeLa-S3_hg19_1	0.049742	0.18341	1	0	1		H3K9me3_HeLa-S3_hg19_1
ENCODE Histone Modification Site Profiles	encodehm	H3K9me1_keratinocyte_hg19_1	-0.026809	0.35705	1	0	-1		H3K9me1_keratinocyte_hg19_1
ENCODE Histone Modification Site Profiles	encodehm	H3K79me2_myotube_hg19_1	0.036822	0.41395	1	0	1		H3K79me2_myotube_hg19_1
