dataset	abbreviation	feature	test_statistic	pvalue	pvalue_corrected	is_significant	correlation_sign	preferred_rowstat	similar_features
ENCODE Transcription Factor Binding Site Profiles	encodetf	mean	-0.046905	0.01721	1	0	-1	mean	mean|stdv|CTCF_GM12878_hg19_5|YY1_GM12878_hg19_1|ZNF143_GM12878_hg19_1|MAZ_GM12878_hg19_1|ELF1_GM12878_hg19_2|SMC3_HeLa-S3_hg19_1|CREB1_A549_hg19_1|MAX_GM12878_hg19_1|POLR2AphosphoS5_endothelial cell of umbilical vein_hg19_2|TAF1_ECC-1_hg19_1|STAT1_GM12878_hg19_1|CHD2_HeLa-S3_hg19_1|MAX_A549_hg19_1|RFX5_HeLa-S3_hg19_1|TAF1_SK-N-SH_hg19_2|YY1_GM12892_hg19_1|HCFC1_K562_hg19_1|MXI1_GM12878_hg19_1|YY1_HepG2_hg19_1|CHD2_GM12878_hg19_1|POLR2A_GM15510_hg19_1|POLR2A_A549_hg19_3|MAZ_HeLa-S3_hg19_1|MAX_A549_hg19_2|MAX_SK-N-SH_hg19_1|CTCF_choroid plexus epithelial cell_hg19_1|MAX_HeLa-S3_hg19_1|MXI1_HeLa-S3_hg19_1|YY1_K562_hg19_1|SIN3A_GM12878_hg19_1|POLR2AphosphoS5_HCT116_hg19_1|POLR2A_ECC-1_hg19_1|POLR2A_A549_hg19_4|RCOR1_HeLa-S3_hg19_1|SIN3A_Panc1_hg19_1|POLR2A_GM18951_hg19_1|POLR2A_A549_hg19_1|POLR2AphosphoS5_HCT116_hg19_2|TBP_K562_hg19_1|POLR2A_A549_hg19_2|ELF1_K562_hg19_1|SIN3A_SK-N-SH_hg19_2|PML_GM12878_hg19_2|CTCF_K562_hg19_7|POLR2A_ECC-1_hg19_2|TAF1_K562_hg19_1|POLR2A_endothelial cell of umbilical vein_hg19_2|TAF1_GM12878_hg19_2|MAX_MCF-7_hg19_1|MAX_K562_hg19_1|MYC_K562_hg19_2|MXI1_HepG2_hg19_1|POLR2AphosphoS5_SK-N-SH_hg19_1|MAX_HepG2_hg19_3|RUNX3_GM12878_hg19_2|MAX_ECC-1_hg19_2|MAZ_K562_hg19_1|TAF1_K562_hg19_2|ELK1_HeLa-S3_hg19_1|YY1_HCT116_hg19_2|YY1_K562_hg19_4|POLR2A_GM19193_hg19_1|MYC_K562_hg19_3|MXI1_K562_hg19_1|POLR2A_HeLa-S3_hg19_2|POLR2A_Raji_hg19_1|CCNT2_K562_hg19_1|HMGN3_K562_hg19_1|TCF12_A549_hg19_2|MAZ_HepG2_hg19_1|ELF1_GM12878_hg19_1|MAX_K562_hg19_3|TBL1XR1_K562_hg19_1|RCOR1_HepG2_hg19_1|MAX_K562_hg19_2|POLR2A_GM19099_hg19_1|MTA3_GM12878_hg19_2|RUNX3_GM12878_hg19_1|POLR2A_GM12878_hg19_2|ZMIZ1_K562_hg19_1|CHD2_K562_hg19_1|POLR2A_endothelial cell of umbilical vein_hg19_1|TAF1_H1-hESC_hg19_1|POLR2A_HepG2_hg19_1|POLR2A_NB4_hg19_1|MYC_MCF 10A_hg19_2|GTF2F1_HeLa-S3_hg19_1|TCF12_ECC-1_hg19_1|POLR2A_K562_hg19_1|E2F6_K562_hg19_2|TBP_HepG2_hg19_1|YY1_GM12878_hg19_2|POLR2AphosphoS5_Panc1_hg19_2|POLR2A_HepG2_hg19_5|POLR2AphosphoS5_K562_hg19_2|POLR2A_GM18505_hg19_1|POLR2A_K562_hg19_6|TBP_H1-hESC_hg19_1|E2F4_MCF 10A_hg19_1|GTF2F1_K562_hg19_1|POLR2A_GM12878_hg19_1|POLR2A_MCF-7_hg19_3|POLR2AphosphoS5_HepG2_hg19_1|JUND_K562_hg19_1|CHD2_HepG2_hg19_1|POLR2A_K562_hg19_2|POLR2AphosphoS5_SK-N-SH_hg19_2|SIN3A_H1-hESC_hg19_3|BHLHE40_GM12878_hg19_1|MAX_ECC-1_hg19_1|YY1_GM12891_hg19_2|STAT5A_GM12878_hg19_2|CTCF_fibroblast of upper leg skin_hg19_1|POLR2A_H54_hg19_1|POLR2A_GM12892_hg19_3|TBL1XR1_K562_hg19_2|SP1_A549_hg19_1|MYC_NB4_hg19_1|MYC_MCF-7_hg19_2|TAF1_H1-hESC_hg19_2|WRNIP1_GM12878_hg19_1|PHF8_K562_hg19_1|POLR2A_HepG2_hg19_4|POLR2AphosphoS5_U-87 MG_hg19_2|PHF8_H1-hESC_hg19_1|ZNF143_HeLa-S3_hg19_1|BHLHE40_K562_hg19_1|POLR2A_HGPS cell_hg19_1|POLR2AphosphoS5_HL-60_hg19_2|POLR2A_HEK293_hg19_1|MYC_MCF-7_hg19_4|ELK1_GM12878_hg19_1|ZNF143_K562_hg19_1|POLR2A_HeLa-S3_hg19_3|POLR2A_HepG2_hg19_2|POLR2A_GM12878_hg19_3|EP300_K562_hg19_2|TBL1XR1_GM12878_hg19_1|RFX5_HepG2_hg19_1|POLR2A_GM12892_hg19_1|POLR2A_endothelial cell of umbilical vein_hg19_3|TAF1_PFSK-1_hg19_2|POLR2A_HeLa-S3_hg19_1|POLR2A_A549_hg19_5|RCOR1_K562_hg19_1|RCOR1_GM12878_hg19_1|TBP_HeLa-S3_hg19_1|POLR2AphosphoS5_U-87 MG_hg19_1|RCOR1_K562_hg19_2|KDM4A_H1-hESC_hg19_1|H2AFZ_GM12878_hg19_1|POLR2AphosphoS5_endothelial cell of umbilical vein_hg19_1|ZKSCAN1_HeLa-S3_hg19_1|GTF2F1_H1-hESC_hg19_1|POLR2AphosphoS2_HeLa-S3_hg19_1|POLR2A_GM12878_hg19_4|TAF1_HeLa-S3_hg19_2|SP1_A549_hg19_2|CTCF_spleen_hg19_1|ELF1_K562_hg19_2|UBTF_K562_hg19_2|POLR2A_MCF-7_hg19_2|TAF1_HepG2_hg19_2|MAX_NB4_hg19_1|PML_K562_hg19_2|POLR2AphosphoS5_PFSK-1_hg19_1|POLR2A_MCF-7_hg19_1|H2AFZ_T-cell acute lymphoblastic leukemia_hg19_1|SIN3A_HepG2_hg19_2|MAX_SK-N-SH_hg19_2|SAP30_H1-hESC_hg19_1|POLR2A_GM18526_hg19_1|BRCA1_HeLa-S3_hg19_1|CHD1_GM12878_hg19_1|POLR2AphosphoS5_SK-N-MC_hg19_1|POLR2A_H1-hESC_hg19_2|POLR2A_GM12891_hg19_2|POLR2AphosphoS5_neural cell_hg19_1|CBX3_K562_hg19_2|EP300_HepG2_hg19_3|SIN3A_K562_hg19_2|CTCF_B cell_hg19_1|POLR2AphosphoS5_HepG2_hg19_2|POLR2A_K562_hg19_3|POLR2AphosphoS2_GM12878_hg19_1|POLR2AphosphoS5_GM12892_hg19_1|POLR2AphosphoS5_Panc1_hg19_1|POLR2A_GM12892_hg19_2|MYC_MCF 10A_hg19_1|H2AFZ_B cell_hg19_1|POLR2A_GM12891_hg19_1|SP1_GM12878_hg19_2|YY1_SK-N-SH_hg19_2|POLR2A_MCF 10A_hg19_1|EBF1_GM12878_hg19_3|MYC_K562_hg19_1|POLR2AphosphoS5_H1-hESC_hg19_1|POLR2A_erythroblast_hg19_1|TAF1_A549_hg19_1|POLR2AphosphoS5_GM12878_hg19_2|POLR2AphosphoS5_GM12891_hg19_1|JUND_A549_hg19_2|YY1_SK-N-SH_hg19_1|POLR2A_K562_hg19_7|POLR2AphosphoS5_neural cell_hg19_2|POLR2AphosphoS5_GM12892_hg19_2|POLR2AphosphoS5_H1-hESC_hg19_2|CHD2_H1-hESC_hg19_1|POLR2A_HepG2_hg19_3|POLR2AphosphoS5_GM12891_hg19_2|POLR2A_HeLa-S3_hg19_4|NRF1_GM12878_hg19_1|MXI1_H1-hESC_hg19_1|H2AFZ_astrocyte_hg19_1|MYC_HepG2_hg19_1|CEBPD_HepG2_hg19_1|HDAC2_H1-hESC_hg19_1|TBP_GM12878_hg19_1|MYBL2_HepG2_hg19_1|YY1_A549_hg19_1|MAFK_HeLa-S3_hg19_1|H2AFZ_mammary epithelial cell_hg19_1|POLR2AphosphoS5_PFSK-1_hg19_2|POLR2AphosphoS5_K562_hg19_1|PML_GM12878_hg19_1|H2AFZ_myotube_hg19_1|POLR2A_IMR-90_hg19_1|H2AFZ_skeletal muscle myoblast_hg19_1|IRF1_K562_hg19_1|ZNF384_K562_hg19_1|MYC_endothelial cell of umbilical vein_hg19_1|POLR2A_K562_hg19_5|UBTF_K562_hg19_1|REST_neural cell_hg19_1|H2AFZ_HeLa-S3_hg19_1|H2AFZ_endothelial cell of umbilical vein_hg19_1|H2AFZ_A549_hg19_2|POLR2A_GM12891_hg19_3|POLR2A_H1-hESC_hg19_1|POLR2AphosphoS5_GM12878_hg19_1|POLR2A_MCF 10A_hg19_2|TCF12_GM12878_hg19_1|BCLAF1_GM12878_hg19_1|ZBTB7A_K562_hg19_2|H2AFZ_fibroblast of dermis_hg19_1|PAX5_GM12892_hg19_2|ZC3H11A_K562_hg19_1|H2AFZ_osteoblast_hg19_1|MAX_A549_hg19_3|TEAD4_K562_hg19_2|YY1_ECC-1_hg19_2|ELF1_HepG2_hg19_2|H2AFZ_A549_hg19_1|GABPA_K562_hg19_2|HCFC1_HeLa-S3_hg19_1|POLR2AphosphoS5_SK-N-MC_hg19_2|ELK1_K562_hg19_1|TAF1_HepG2_hg19_1|ETS1_K562_hg19_2|CEBPB_HeLa-S3_hg19_1|IRF1_K562_hg19_3|H2AFZ_keratinocyte_hg19_1|TCF7L2_HeLa-S3_hg19_1|ZNF143_H1-hESC_hg19_1|JUND_H1-hESC_hg19_3|POLR2A_GM10847_hg19_1|REST_A549_hg19_2|RBBP5_K562_hg19_1|SAP30_K562_hg19_1|CTCF_SK-N-SH_hg19_3|H2AFZ_fibroblast of lung_hg19_1|CTCF_SK-N-SH_hg19_4|H2AFZ_K562_hg19_1|H2AFZ_CD14-positive monocyte_hg19_1|ARID3A_HepG2_hg19_1|POU2F2_GM12878_hg19_2|H2AFZ_HepG2_hg19_1|MYC_H1-hESC_hg19_2|RFX5_GM12878_hg19_1|RBBP5_H1-hESC_hg19_1|PAX5_GM12878_hg19_1|POLR2A_embryonic fibroblast_mm9_1|NFIC_GM12878_hg19_1|FOXP2_PFSK-1_hg19_1|MAX_H1-hESC_hg19_2|POLR2A_myocyte_mm9_1|EGR1_K562_hg19_1|MAX_H1-hESC_hg19_1|POLR2A_MEL cell line_mm9_1|ELF1_HepG2_hg19_1|HDAC1_K562_hg19_1|SIN3A_H1-hESC_hg19_1|POLR2A_H1-hESC_hg19_3|MAFK_K562_hg19_1|NFIC_HepG2_hg19_1|ELF1_MCF-7_hg19_1|SIN3A_MCF-7_hg19_1|TAF1_GM12892_hg19_1|POLR2A_small intestine_mm9_1|NELFE_CH12.LX_mm9_1|IRF1_K562_hg19_2|HA-E2F1_MCF-7_hg19_1|POLR2A_CH12.LX_mm9_1|POLR2A_testis_mm9_1|SIN3A_CH12.LX_mm9_1|MXI1_CH12.LX_mm9_1|E2F6_K562_hg19_3|ETS1_A549_hg19_1|POLR2AphosphoS2_K562_hg19_1|SP4_H1-hESC_hg19_2|ELF1_A549_hg19_2|eGFP-JUND_K562_hg19_1|POLR2A_limb_mm9_1|EP300_GM12878_hg19_5|FOXM1_GM12878_hg19_2|ATF2_GM12878_hg19_1|KDM5B_K562_hg19_1|CHD1_H1-hESC_hg19_1|CHD1_K562_hg19_1|POLR2A_heart_mm9_1|POLR2A_brain_mm9_1|FOXM1_GM12878_hg19_1|MYBL2_HepG2_hg19_2|POLR2A_olfactory bulb_mm9_1|TAF1_PFSK-1_hg19_1|CREB1_HepG2_hg19_1|POLR2A_thymus_mm9_1|TAF1_neural cell_hg19_2|TAF1_SK-N-SH_hg19_1|CTCF_mammary epithelial cell_hg19_2|HCFC1_CH12.LX_mm9_1|CTCF_T-cell acute lymphoblastic leukemia_hg19_1|POLR2AphosphoS2_myocyte_mm9_1|EGR1_K562_hg19_2|CTCF_brain microvascular endothelial cell_hg19_1|BRCA1_HepG2_hg19_1|SIN3A_A549_hg19_1|TAF1_GM12891_hg19_1|POLR2A_HCT116_hg19_1|POU2F2_GM12891_hg19_1|CTCF_K562_hg19_1|H2AFZ_H1-hESC_hg19_1|EZH2_H1-hESC_hg19_1|POLR2A_MEL cell line_mm9_3|NR2F2_K562_hg19_2|YY1_ECC-1_hg19_1|TCF3_GM12878_hg19_1|HDAC2_K562_hg19_1|HDAC2_HepG2_hg19_1|MAZ_IMR-90_hg19_1|FOS_MCF 10A_hg19_1|CTCF_fibroblast of lung_hg19_1|USF2_HeLa-S3_hg19_1|TAF1_ECC-1_hg19_2|REST_A549_hg19_1|TCF7L2_Panc1_hg19_1|MXI1_IMR-90_hg19_1|eGFP-JUNB_K562_hg19_1|CTCF_GM12871_hg19_2|POLR2AphosphoS5_HL-60_hg19_1|CREB1_GM12878_hg19_1|POLR2A_K562_hg19_8|E2F6_A549_hg19_1|USF2_GM12878_hg19_1|CTCF_endothelial cell of umbilical vein_hg19_3|YY1_H1-hESC_hg19_1|TBP_MEL cell line_mm9_1|ZEB1_GM12878_hg19_2|MAX_MCF-7_hg19_2|GABPA_A549_hg19_1|CTCF_BJ_hg19_1|CTCF_bronchial epithelial cell_hg19_2|POLR2A_bone marrow macrophage_mm9_1|CTCF_bronchial epithelial cell_hg19_1|MAX_H1-hESC_hg19_3|TAL1_K562_hg19_1|EP300_GM12878_hg19_4|CREB1_H1-hESC_hg19_1|CTCF_fibroblast of upper leg skin_hg19_2|CTCF_MCF-7_hg19_4|PML_MCF-7_hg19_2|REST_HepG2_hg19_4|POLR2A_K562_hg19_9|BACH1_H1-hESC_hg19_1|PAX5_GM12878_hg19_4|CUX1_K562_hg19_1|STAT3_MCF 10A_hg19_3|STAT3_MCF 10A_hg19_2|CTCF_endothelial cell of umbilical vein_hg19_1|H3K27me3_HepG2_hg19_1|CTCF_fibroblast of gingiva_hg19_1|EGR1_GM12878_hg19_2|MXI1_SK-N-SH_hg19_1|GTF2B_K562_hg19_1|ARID3A_K562_hg19_1|CTCF_IMR-90_hg19_1|CTCF_GM12878_hg19_2|CTCF_osteoblast_hg19_1|FOS_MCF 10A_hg19_3|CTCF_astrocyte of the spinal cord_hg19_1|CTCF_retinal pigment epithelial cell_hg19_2|CTCF_cardiac muscle cell_hg19_2|CTCF_foreskin fibroblast_hg19_1|CTCF_retinal pigment epithelial cell_hg19_1|CTCF_brain microvascular endothelial cell_hg19_2|TAF1_GM12891_hg19_2|CTCF_epithelial cell of proximal tubule_hg19_1|CTCF_fibroblast of pedal digit skin_hg19_1|CTCF_GM12869_hg19_1|CTCF_fibroblast of villous mesenchyme_hg19_2|CTCF_mammary epithelial cell_hg19_3|TAF7_H1-hESC_hg19_2|CTCF_fibroblast of pulmonary artery_hg19_1|CTCF_fibroblast of gingiva_hg19_2|CTCF_fibroblast of lung_hg19_2|CTCF_A549_hg19_2|CTCF_fibroblast of mammary gland_hg19_2|CTCF_astrocyte of the cerebellum_hg19_2|CTCF_GM12873_hg19_1|CTCF_GM12874_hg19_2|CTCF_GM12871_hg19_1|CTCF_GM12878_hg19_4|CTCF_fibroblast of lung_hg19_3|CTCF_GM12870_hg19_1|CTCF_fibroblast of lung_hg19_6|CTCF_MCF-7_hg19_5|CTCF_A549_hg19_7|CTCF_BJ_hg19_2|CTCF_GM12875_hg19_1|CTCF_GM12868_hg19_1|CTCF_foreskin fibroblast_hg19_2|CTCF_kidney epithelial cell_hg19_1|CTCF_kidney epithelial cell_hg19_2|CTCF_skeletal muscle myoblast_hg19_1|CTCF_fibroblast of lung_hg19_5|CTCF_fibroblast of pulmonary artery_hg19_2|CTCF_fibroblast of lung_hg19_4|CTCF_fibroblast of skin of abdomen_hg19_1|CTCF_GM12865_hg19_2|CTCF_GM12866_hg19_1|CTCF_fibroblast of the aortic adventitia_hg19_2|CTCF_A549_hg19_9|CTCF_GM06990_hg19_2|CTCF_HEK293_hg19_1|CTCF_GM06990_hg19_1|CTCF_GM12864_hg19_2|CTCF_K562_hg19_5|CTCF_GM19239_hg19_1|POLR2AphosphoS2_HepG2_hg19_1|CTCF_cardiac fibroblast_hg19_1|CTCF_choroid plexus epithelial cell_hg19_2|CTCF_epithelial cell of esophagus_hg19_1|CTCF_endothelial cell of umbilical vein_hg19_4|CTCF_HepG2_hg19_5|CTCF_HepG2_hg19_6|CTCF_pancreas_hg19_1|CTCF_fibroblast of the aortic adventitia_hg19_1|CTCF_GM12867_hg19_1|CTCF_GM12873_hg19_3|CTCF_keratinocyte_hg19_3|CTCF_GM12873_hg19_2|CTCF_HepG2_hg19_1|MAX_CH12.LX_mm9_1|CTCF_GM12864_hg19_1|CTCF_GM12872_hg19_1|CTCF_fibroblast of skin of abdomen_hg19_2|CTCF_foreskin fibroblast_hg19_3|CTCF_BE2C_hg19_1|CTCF_A549_hg19_1|CTCF_GM12892_hg19_1|CTCF_GM12872_hg19_3|CTCF_GM12878_hg19_1|CTCF_keratinocyte_hg19_2|CHD1_H1-hESC_hg19_2|CTCF_GM10266_hg19_1|CTCF_keratinocyte_hg19_1|CTCF_GM12874_hg19_1|CTCF_HeLa-S3_hg19_4|CTCF_HeLa-S3_hg19_2|ZNF263_HEK293_hg19_1|CTCF_Caco-2_hg19_2|CTCF_MCF-7_hg19_8|CTCF_GM12865_hg19_1|NELFE_MEL cell line_mm9_1|CTCF_WERI-Rb-1_hg19_1|CTCF_GM19238_hg19_1|CTCF_Caco-2_hg19_1|CTCF_GM19240_hg19_1|CTCF_fibroblast of dermis_hg19_1|CTCF_GM12875_hg19_2|TAF1_GM12878_hg19_1|CTCF_H1-hESC_hg19_1|CTCF_GM12891_hg19_1|CTCF_skin fibroblast_hg19_1|CTCF_CD14-positive monocyte_hg19_1|POU2F2_GM12878_hg19_1|CTCF_myotube_hg19_1|TCF7L2_HCT116_hg19_1|CTCF_MCF-7_hg19_7|CTCF_MCF-7_hg19_3|CTCF_K562_hg19_2|HDAC6_K562_hg19_1|CTCF_kidney_hg19_1|RELA_GM15510_hg19_1|CTCF_HeLa-S3_hg19_1|MAX_HepG2_hg19_1|KAT2A_CH12.LX_mm9_1|CHD7_H1-hESC_hg19_1|GABPA_MCF-7_hg19_1|CTCF_lung_hg19_1|KDM5A_H1-hESC_hg19_1|FOS_MCF 10A_hg19_4|EP300_GM12878_hg19_3|TBP_CH12.LX_mm9_1|E2F6_K562_hg19_1|POLR2A_lung_mm9_1|ETS1_K562_hg19_1|HCFC1_ES-E14_mm9_1|FOXA1_T47D_hg19_2|SMC3_GM12878_hg19_1|FOXP2_SK-N-MC_hg19_2|CREB1_A549_hg19_2|USF2_H1-hESC_hg19_1|SETDB1_K562_hg19_1|PML_K562_hg19_1|JUND_H1-hESC_hg19_2|ELF1_MCF-7_hg19_2|STAT5A_GM12878_hg19_1|RELA_GM19099_hg19_1|CEBPB_K562_hg19_3|RAD21_SK-N-SH_hg19_1|EP300_H1-hESC_hg19_1|HCFC1_MEL cell line_mm9_1|MTA3_GM12878_hg19_1|YY1_H1-hESC_hg19_2|RAD21_H1-hESC_hg19_3|PAX5_GM12878_hg19_2|BCL3_A549_hg19_2|NFATC1_GM12878_hg19_2|SMARCB1_HeLa-S3_hg19_1|POU2F2_GM12891_hg19_2|HDAC2_K562_hg19_2|SP1_H1-hESC_hg19_1|SMC3_K562_hg19_1|E2F4_K562_hg19_1|REST_SK-N-SH_hg19_3|EBF1_GM12878_hg19_2|CTCF_thymus_mm9_1|RAD21_K562_hg19_2|BRCA1_GM12878_hg19_1|SIN3A_MEL cell line_mm9_1|RAD21_IMR-90_hg19_1|POU2F2_GM12878_hg19_3|KDM1A_K562_hg19_1|ELK4_HeLa-S3_hg19_1|TAF1_neural cell_hg19_1|REST_K562_hg19_2|EP300_heart_mm9_1|POLR2A_kidney_mm9_1|MAZ_CH12.LX_mm9_1|MAX_HepG2_hg19_2|FOS_MCF 10A_hg19_2|POLR2A_liver_mm9_1|MXI1_MEL cell line_mm9_1|RFX5_K562_hg19_1|BHLHE40_HepG2_hg19_3|TCF3_GM12878_hg19_2|YY1_SK-N-SH_hg19_4|CTCF_MEL cell line_mm9_1|SIN3A_PFSK-1_hg19_2|TCF12_ECC-1_hg19_2|USF1_A549_hg19_6|TEAD4_K562_hg19_1|NFYA_HeLa-S3_hg19_1|ZNF384_GM12878_hg19_1|RAD21_HepG2_hg19_3|FOSL2_A549_hg19_2|TRIM28_K562_hg19_1|STAT3_MCF 10A_hg19_1|CREB1_H1-hESC_hg19_2|NFIC_ECC-1_hg19_2|NFYB_GM12878_hg19_1|RAD21_HeLa-S3_hg19_1|REST_HL-60_hg19_1|MAFK_HepG2_hg19_2|CEBPB_HepG2_hg19_3|TRIM28_U2OS_hg19_1|MYC_GM12878_hg19_1|USF1_SK-N-SH_hg19_1|USF1_SK-N-SH_hg19_2|MYC_MCF-7_hg19_3|MYC_MCF-7_hg19_1|MAFK_HepG2_hg19_1|EZH2_T-cell acute lymphoblastic leukemia_hg19_1|TRIM28_HEK293_hg19_1|CEBPB_H1-hESC_hg19_1
ENCODE Transcription Factor Binding Site Profiles	encodetf	FOS_HeLa-S3_hg19_1	0.00323	1	1	0	1		FOS_HeLa-S3_hg19_1
ENCODE Transcription Factor Binding Site Profiles	encodetf	FOS_endothelial cell of umbilical vein_hg19_1	-0.0077519	1	1	0	-1		FOS_endothelial cell of umbilical vein_hg19_1
ENCODE Transcription Factor Binding Site Profiles	encodetf	GATA1_megakaryocyte_mm9_2	-0.07009	0.01598	1	0	-1		GATA1_megakaryocyte_mm9_2
ENCODE Transcription Factor Binding Site Profiles	encodetf	GATA2_G1E-ER4_mm9_2	0.015504	0.5804	1	0	1		GATA2_G1E-ER4_mm9_2
ENCODE Transcription Factor Binding Site Profiles	encodetf	H3K27me3_Caco-2_hg19_1	0.0096899	0.82498	1	0	1		H3K27me3_Caco-2_hg19_1
ENCODE Transcription Factor Binding Site Profiles	encodetf	H3K27me3_G1E_mm9_3	0.072674	0.16963	1	0	1		H3K27me3_G1E_mm9_3
ENCODE Transcription Factor Binding Site Profiles	encodetf	H3K27me3_GM06990_hg19_1	-0.003553	1	1	0	-1		H3K27me3_GM06990_hg19_1
ENCODE Transcription Factor Binding Site Profiles	encodetf	H3K27me3_K562_hg19_2	0.001615	1	1	0	1		H3K27me3_K562_hg19_2
ENCODE Transcription Factor Binding Site Profiles	encodetf	H3K27me3_MEL cell line_mm9_3	0.041667	0.46873	1	0	1		H3K27me3_MEL cell line_mm9_3
