dataset	abbreviation	feature	test_statistic	pvalue	pvalue_corrected	is_significant	correlation_sign	preferred_rowstat	similar_features
GAD Gene-Disease Associations	gad	albuminuria; cardiovascular diseases; diabetes mellitus, type 2; hypertension; kidney diseases	0.012976	0.18356	1	0	1		albuminuria; cardiovascular diseases; diabetes mellitus, type 2; hypertension; kidney diseases|type 2 diabetic nephropathy|nephropathy, diabetic; blood pressure, arterial; proteinuria|hypertrophy, left ventricular; left ventricular hypertrophy; ventricular remodeling|henoch-schoenlein purpura; kidney diseases; nephrotic syndrome; proteinuria; purpura, schoenlein-henoch|heart failure, diastolic|glomerulonephritis, iga; iga glomerulonephritides; proteinuria|gastrointestinal diseases; gastrointestinal hemorrhage; peptic ulcer; peptic ulcer hemorrhage|fibrosis; glomerulonephritis, iga; hepatitis c, chronic; iga glomerulonephritides|fibromuscular dysplasia; hypertension; renal artery obstruction|edema; nephrotic syndrome|dyslipidemias; metabolic syndrome x; obesity; renal hypertension|diabetes mellitus type ii; diabetes mellitus, type 2; hypertension|diabetes mellitus type ii; diabetes mellitus, type 2; diabetic nephropathies; diabetic nephropathy; diabetic neuropathies; disease susceptibility|coronary stenosis; recurrence|coronary disease; coronary heart disease; hyperlipidemias; hyperlipoproteinemia type i|coronary atherosclerosis.|coronary artery thrombosis|chronic renal failure; kidney failure, chronic; uremia; vesico-ureteral reflux; vesicoureteral reflux|chronic renal failure; kidney failure, chronic; nephritis, interstitial|chronic renal failure; hypertension; kidney failure, chronic; lupus erythematosus, systemic; lupus nephritis; nephritis sle; systemic lupus erythematosus|chronic renal failure; death, sudden, cardiac; kidney failure, chronic; long qt syndrome; sudden cardiac death|chronic glomerulonephritis|cardiovascular diseases; carotid artery diseases; cerebrovascular disorders; hypertension|body weight; hypertension; obesity|diabetes mellitus, type 1; hypoglycemia|kidney failure, chronic; vesico-ureteral reflux|aortic stiffness|hypertension, renal; hypertrophy, left ventricular; retinal diseases|hypertension; kidney diseases|arterial disease|cerebral white matter lesions|esophageal varices|hypertension; metabolic syndrome x|polycystic kidney diseases|chronic renal failure; glomerulonephritis, iga; iga glomerulonephritides; kidney failure, chronic|hypertension; kidney failure, chronic|diabetes mellitus; hypertension|hypertension; left ventricular hypertrophy|cysclosporine toxicity|posttransplantation erythrocytosis|carotid intima-media thickness|cardiomyopathies; heart defects, congenital|cardiomyopathy, hypertrophic, familial; hypertrophy, left ventricular|connective tissue diseases; hypertension, pulmonary|diabetes mellitus; diabetic angiopathies; hypertension|altitude sickness; chronic disease|albuminuria; hypertension|angina, unstable; myocardial infarction; syndrome; unstable angina|cardiomyopathy, hypertrophic; hypertrophic cardiomyopathy; hypertrophy, left ventricular; left ventricular hypertrophy|chromosome deletion|otosclerosis
GAD Gene-Disease Associations	gad	cocaine-related disorders	0.012048	0.59797	1	0	1		cocaine-related disorders
GAD Gene-Disease Associations	gad	posttraumatic stress disorder	0.012048	0.59797	1	0	1		posttraumatic stress disorder
GAD Gene-Disease Associations	gad	tardive dyskinesia	0.024096	0.34511	1	0	1		tardive dyskinesia
GAD Gene-Disease Associations	gad	treatment resistance to typical neuroleptics	0.012048	0.59998	1	0	1		treatment resistance to typical neuroleptics
GAD Gene-Disease Associations	gad	adhd ;  attention-deficit hyperactivity disorder	0.04732	0.18565	1	0	1		adhd ;  attention-deficit hyperactivity disorder
GAD Gene-Disease Associations	gad	suicidal behavior	0.012048	0.59829	1	0	1		suicidal behavior
GAD Gene-Disease Associations	gad	coronary restenosis; postoperative complications	0.012048	0.59869	1	0	1		coronary restenosis; postoperative complications
GAD Gene-Disease Associations	gad	brain injuries	0.02008	0.36219	1	0	1		brain injuries
GAD Gene-Disease Associations	gad	gastrointestinal disorders	0.012048	0.59815	1	0	1		gastrointestinal disorders
GAD Gene-Disease Associations	gad	anorexia nervosa	0.0096036	0.70747	1	0	1		anorexia nervosa
GAD Gene-Disease Associations	gad	depressive disorder, major	0.00069845	1	1	0	1		depressive disorder, major
GAD Gene-Disease Associations	gad	major depressive disorder	0.027239	0.53769	1	0	1		major depressive disorder
GAD Gene-Disease Associations	gad	migraine disorders	0.059368	0.1248	1	0	1		migraine disorders
GAD Gene-Disease Associations	gad	akathisia, drug-induced	0.012048	0.59783	1	0	1		akathisia, drug-induced
GAD Gene-Disease Associations	gad	cocaine-related disorders;	0.012048	0.60015	1	0	1		cocaine-related disorders;
GAD Gene-Disease Associations	gad	epilepsy	0.0015715	1	1	0	1		epilepsy
GAD Gene-Disease Associations	gad	warfarin response	-0.0024446	1	1	0	-1		warfarin response
GAD Gene-Disease Associations	gad	heart diseases	0.0015715	1	1	0	1		heart diseases
GAD Gene-Disease Associations	gad	treatment response in psychotic patients	0.012048	0.59797	1	0	1		treatment response in psychotic patients
GAD Gene-Disease Associations	gad	pharmacogenetic variation	-0.0064606	1	1	0	-1		pharmacogenetic variation
GAD Gene-Disease Associations	gad	brain ischemia; myocardial infarction; stroke	0.0055876	1	1	0	1		brain ischemia; myocardial infarction; stroke
GAD Gene-Disease Associations	gad	pancreatitis, alcoholic; pancreatitis, chronic	-0.0064606	1	1	0	-1		pancreatitis, alcoholic; pancreatitis, chronic
GAD Gene-Disease Associations	gad	copd	0.02008	0.36248	1	0	1		copd
GAD Gene-Disease Associations	gad	fatty liver; insulin resistance	0.012048	0.59988	1	0	1		fatty liver; insulin resistance
GAD Gene-Disease Associations	gad	hemoglobin a, glycosylated	-0.024969	0.11963	1	0	-1		hemoglobin a, glycosylated
GAD Gene-Disease Associations	gad	macular degeneration, age-related	-0.0064606	1	1	0	-1		macular degeneration, age-related
GAD Gene-Disease Associations	gad	migraine with aura	0.036145	0.21395	1	0	1		migraine with aura
GAD Gene-Disease Associations	gad	myeloid leukemia	0.012048	0.59465	1	0	1		myeloid leukemia
GAD Gene-Disease Associations	gad	financial and psychological risk attitudes	0.044177	0.13121	1	0	1		financial and psychological risk attitudes
GAD Gene-Disease Associations	gad	heroin addiction	0.012048	0.59817	1	0	1		heroin addiction
GAD Gene-Disease Associations	gad	bone mineral density (spine)	-0.0064606	1	1	0	-1		bone mineral density (spine)
GAD Gene-Disease Associations	gad	hypertrophy, left ventricular	0.02008	0.36073	1	0	1		hypertrophy, left ventricular
GAD Gene-Disease Associations	gad	birth weight	0.025668	0.4681	1	0	1		birth weight
GAD Gene-Disease Associations	gad	colonic neoplasms	0.0055876	1	1	0	1		colonic neoplasms
GAD Gene-Disease Associations	gad	other metabolic traits	0.012048	0.59935	1	0	1		other metabolic traits
GAD Gene-Disease Associations	gad	glucose intolerance	-0.0064606	1	1	0	-1		glucose intolerance
GAD Gene-Disease Associations	gad	insulin resistance; polycystic ovary syndrome	-0.0064606	1	1	0	-1		insulin resistance; polycystic ovary syndrome
GAD Gene-Disease Associations	gad	ventricular dysfunction, left	0.012048	0.60194	1	0	1		ventricular dysfunction, left
GAD Gene-Disease Associations	gad	insulin resistance; metabolic syndrome x	-0.0024446	1	1	0	-1		insulin resistance; metabolic syndrome x
GAD Gene-Disease Associations	gad	fatty liver	0.012048	0.59734	1	0	1		fatty liver
GAD Gene-Disease Associations	gad	insulin resistance; polycystic ovarian syndrome; polycystic ovary syndrome	0.016064	0.58294	1	0	1		insulin resistance; polycystic ovarian syndrome; polycystic ovary syndrome
GAD Gene-Disease Associations	gad	body mass; insulin; obesity; glucose	0.012048	0.59848	1	0	1		body mass; insulin; obesity; glucose
GAD Gene-Disease Associations	gad	pain	0.024096	0.34621	1	0	1		pain
GAD Gene-Disease Associations	gad	cardiomyopathy, dilated;	0.016064	0.57988	1	0	1		cardiomyopathy, dilated;
GAD Gene-Disease Associations	gad	blood pressure; heart rate	0.012048	0.59732	1	0	1		blood pressure; heart rate
GAD Gene-Disease Associations	gad	body mass	0.01362	0.69086	1	0	1		body mass
GAD Gene-Disease Associations	gad	obesity, morbid	0.029684	0.31695	1	0	1		obesity, morbid
GAD Gene-Disease Associations	gad	obesity; weight loss	0.0055876	1	1	0	1		obesity; weight loss
GAD Gene-Disease Associations	gad	insulin resistance; obesity	0.024096	0.34677	1	0	1		insulin resistance; obesity
GAD Gene-Disease Associations	gad	sleep apnea, obstructive	0.080321	0.02029	1	0	1		sleep apnea, obstructive
GAD Gene-Disease Associations	gad	obesity; hypertension	0.012048	0.59778	1	0	1		obesity; hypertension
GAD Gene-Disease Associations	gad	hellp syndrome	0.012048	0.59843	1	0	1		hellp syndrome
GAD Gene-Disease Associations	gad	fatigue syndrome, chronic; fatigue syndrome; postviral	0.0055876	1	1	0	1		fatigue syndrome, chronic; fatigue syndrome; postviral
GAD Gene-Disease Associations	gad	bipolar affective disorder.	0.012048	0.60046	1	0	1		bipolar affective disorder.
GAD Gene-Disease Associations	gad	personality traits	0.02008	0.36033	1	0	1		personality traits
GAD Gene-Disease Associations	gad	impulsivity	0.012048	0.59931	1	0	1		impulsivity
GAD Gene-Disease Associations	gad	low tension glaucoma	0.02008	0.3626	1	0	1		low tension glaucoma
GAD Gene-Disease Associations	gad	lymphoproliferative disorders; myelodysplastic syndromes	-0.0064606	1	1	0	-1		lymphoproliferative disorders; myelodysplastic syndromes
GAD Gene-Disease Associations	gad	fatigue; sleep disorders; sleep initiation and maintenance disorders	0.012048	0.59796	1	0	1		fatigue; sleep disorders; sleep initiation and maintenance disorders
GAD Gene-Disease Associations	gad	gastroparesis	0.012048	0.59973	1	0	1		gastroparesis
GAD Gene-Disease Associations	gad	graves disease	-0.019382	0.41139	1	0	-1		graves disease
GAD Gene-Disease Associations	gad	acquired immunodeficiency syndrome; hiv infections	-0.0064606	1	1	0	-1		acquired immunodeficiency syndrome; hiv infections
GAD Gene-Disease Associations	gad	hiv infections	0.032129	0.21079	1	0	1		hiv infections
GAD Gene-Disease Associations	gad	typhoid fever	0.012048	0.59891	1	0	1		typhoid fever
GAD Gene-Disease Associations	gad	multiple sclerosis, relapsing-remitting	0.016064	0.58223	1	0	1		multiple sclerosis, relapsing-remitting
GAD Gene-Disease Associations	gad	mucocutaneous lymph node syndrome	0.036145	0.21608	1	0	1		mucocutaneous lymph node syndrome
GAD Gene-Disease Associations	gad	hepatitis c	-0.0017461	1	1	0	-1		hepatitis c
GAD Gene-Disease Associations	gad	bronchiolitis, viral; respiratory syncytial virus infections	-0.0024446	1	1	0	-1		bronchiolitis, viral; respiratory syncytial virus infections
GAD Gene-Disease Associations	gad	arthritis, juvenile rheumatoid;	0.012048	0.59759	1	0	1		arthritis, juvenile rheumatoid;
GAD Gene-Disease Associations	gad	acquired immunodeficiency syndrome	0.016064	0.57838	1	0	1		acquired immunodeficiency syndrome
GAD Gene-Disease Associations	gad	diabetes mellitus type ii; diabetes mellitus, type 2; diabetic retinopathy	0.0015715	1	1	0	1		diabetes mellitus type ii; diabetes mellitus, type 2; diabetic retinopathy
GAD Gene-Disease Associations	gad	prenatal exposure delayed effects	0.012048	0.59983	1	0	1		prenatal exposure delayed effects
GAD Gene-Disease Associations	gad	hepatitis c, chronic	0.0337	0.31461	1	0	1		hepatitis c, chronic
GAD Gene-Disease Associations	gad	alcoholic liver diseases; liver diseases, alcoholic	0.012048	0.59692	1	0	1		alcoholic liver diseases; liver diseases, alcoholic
GAD Gene-Disease Associations	gad	neutropenia	0.0096036	0.70784	1	0	1		neutropenia
GAD Gene-Disease Associations	gad	pancreatic cancer	-0.0064606	1	1	0	-1		pancreatic cancer
GAD Gene-Disease Associations	gad	hodgkin disease	0.016064	0.57969	1	0	1		hodgkin disease
GAD Gene-Disease Associations	gad	coronary artery disease; hypercholesterolemia	0.0015715	1	1	0	1		coronary artery disease; hypercholesterolemia
GAD Gene-Disease Associations	gad	coronary artery disease; hypertension	0.016064	0.58371	1	0	1		coronary artery disease; hypertension
GAD Gene-Disease Associations	gad	atherosclerosis; hypercholesterolemia	-0.0064606	1	1	0	-1		atherosclerosis; hypercholesterolemia
GAD Gene-Disease Associations	gad	myocardial infarction ;  metabolic syndrome	-0.0064606	1	1	0	-1		myocardial infarction ;  metabolic syndrome
GAD Gene-Disease Associations	gad	cholelithiasis	-0.0064606	1	1	0	-1		cholelithiasis
GAD Gene-Disease Associations	gad	ldl cholesterol	0.0015715	1	1	0	1		ldl cholesterol
GAD Gene-Disease Associations	gad	hypercholesterolemia	0.021652	0.46892	1	0	1		hypercholesterolemia
GAD Gene-Disease Associations	gad	cardiovascular disease	0.057796	0.086669	1	0	1		cardiovascular disease
GAD Gene-Disease Associations	gad	coronary artery disease;	-0.021826	0.49215	1	0	-1		coronary artery disease;
GAD Gene-Disease Associations	gad	pancreatitis	0.0071591	1	1	0	1		pancreatitis
GAD Gene-Disease Associations	gad	sjogren's syndrome	0.016064	0.58392	1	0	1		sjogren's syndrome
GAD Gene-Disease Associations	gad	oral lichen planus	0.012048	0.59903	1	0	1		oral lichen planus
GAD Gene-Disease Associations	gad	precursor cell lymphoblastic leukemia-lymphoma	0.027239	0.53824	1	0	1		precursor cell lymphoblastic leukemia-lymphoma
GAD Gene-Disease Associations	gad	body weight	0.0022699	1	1	0	1		body weight
GAD Gene-Disease Associations	gad	cholesterol	-0.0033176	1	1	0	-1		cholesterol
GAD Gene-Disease Associations	gad	heart rate	-0.0089052	1	1	0	-1		heart rate
GAD Gene-Disease Associations	gad	neuroticism	0.012048	0.59719	1	0	1		neuroticism
GAD Gene-Disease Associations	gad	peripheral arterial disease	0.012048	0.59716	1	0	1		peripheral arterial disease
GAD Gene-Disease Associations	gad	alzheimer disease	-0.016937	0.58623	1	0	-1		alzheimer disease
GAD Gene-Disease Associations	gad	asthma; candidiasis; high-altitude illness	0.016064	0.577	1	0	1		asthma; candidiasis; high-altitude illness
GAD Gene-Disease Associations	gad	sarcoidosis	0.057796	0.088019	1	0	1		sarcoidosis
GAD Gene-Disease Associations	gad	atherosclerosis; inflammation; retinal vein occlusion	0.0055876	1	1	0	1		atherosclerosis; inflammation; retinal vein occlusion
GAD Gene-Disease Associations	gad	helicobacter infections; inflammation; precancerous conditions; stomach neoplasms	0.024096	0.34739	1	0	1		helicobacter infections; inflammation; precancerous conditions; stomach neoplasms
GAD Gene-Disease Associations	gad	cirrhosis; pancreatitis	0.016064	0.58263	1	0	1		cirrhosis; pancreatitis
GAD Gene-Disease Associations	gad	heart transplant complications	0.0055876	1	1	0	1		heart transplant complications
GAD Gene-Disease Associations	gad	hepatitis b; recurrence	0.012048	0.59778	1	0	1		hepatitis b; recurrence
GAD Gene-Disease Associations	gad	uveitis, anterior	-0.012921	0.61395	1	0	-1		uveitis, anterior
GAD Gene-Disease Associations	gad	multiple system atrophy	0.0096036	0.70424	1	0	1		multiple system atrophy
GAD Gene-Disease Associations	gad	htlv-1 infection	-0.016937	0.58835	1	0	-1		htlv-1 infection
