dataset	abbreviation	feature	test_statistic	pvalue	pvalue_corrected	is_significant	correlation_sign	preferred_rowstat	similar_features
GeneSigDB Published Gene Signatures	genesigdb	20035976-Figure1D	-0.0061669	1	1	0	-1		20035976-Figure1D|20035976-Figure1A|20035976-Figure1C|20035976-Figure1B
GeneSigDB Published Gene Signatures	genesigdb	18403781-Table1	-0.0061669	1	1	0	-1		18403781-Table1
GeneSigDB Published Gene Signatures	genesigdb	15355895-Table2a	-0.0061669	1	1	0	-1		15355895-Table2a
GeneSigDB Published Gene Signatures	genesigdb	11896569-table2	0.0015551	1	1	0	1		11896569-table2
GeneSigDB Published Gene Signatures	genesigdb	16476973-Table1	-0.0023059	1	1	0	-1		16476973-Table1
GeneSigDB Published Gene Signatures	genesigdb	19861896-Table2	0.019305	0.36171	1	0	1		19861896-Table2
GeneSigDB Published Gene Signatures	genesigdb	16397242-Table1	0.015444	0.58125	1	0	1		16397242-Table1
GeneSigDB Published Gene Signatures	genesigdb	18778486-Table2a	0.011583	0.59825	1	0	1		18778486-Table2a
GeneSigDB Published Gene Signatures	genesigdb	17234769-TableS4a	-0.0023059	1	1	0	-1		17234769-TableS4a
GeneSigDB Published Gene Signatures	genesigdb	19893615-Table3	-0.012334	0.61247	1	0	-1		19893615-Table3
GeneSigDB Published Gene Signatures	genesigdb	18381418-SuppTable2	-0.0061669	1	1	0	-1		18381418-SuppTable2
GeneSigDB Published Gene Signatures	genesigdb	20220088-SuppTable3	-0.0061669	1	1	0	-1		20220088-SuppTable3
GeneSigDB Published Gene Signatures	genesigdb	15705876-TableS3	-0.0084728	1	1	0	-1		15705876-TableS3
GeneSigDB Published Gene Signatures	genesigdb	15026349-Table1a	0.011583	0.59814	1	0	1		15026349-Table1a
GeneSigDB Published Gene Signatures	genesigdb	19802007-SuppTable1	-0.0069176	1	1	0	-1		19802007-SuppTable1
GeneSigDB Published Gene Signatures	genesigdb	20460173-ImmPortAntigenProcessingandPresentation	-0.033945	0.070859	1	0	-1		20460173-ImmPortAntigenProcessingandPresentation
GeneSigDB Published Gene Signatures	genesigdb	19225562-TableS2	0.015444	0.58135	1	0	1		19225562-TableS2
GeneSigDB Published Gene Signatures	genesigdb	18339860-Table1	-0.030084	0.11886	1	0	-1		18339860-Table1
GeneSigDB Published Gene Signatures	genesigdb	16484322-Table2	0.0015551	1	1	0	1		16484322-Table2
GeneSigDB Published Gene Signatures	genesigdb	15843827-TableS6	-0.037806	0.03429	1	0	-1		15843827-TableS6
GeneSigDB Published Gene Signatures	genesigdb	18005044-TableS3b	-0.020056	0.2054	1	0	-1		18005044-TableS3b
GeneSigDB Published Gene Signatures	genesigdb	19118092-Table5	0.011583	0.59974	1	0	1		19118092-Table5
GeneSigDB Published Gene Signatures	genesigdb	19118092-Table4	0.019305	0.36093	1	0	1		19118092-Table4
GeneSigDB Published Gene Signatures	genesigdb	15808516-Table2	-0.0046118	1	1	0	-1		15808516-Table2
GeneSigDB Published Gene Signatures	genesigdb	19286929-SuppTable2n	0.047887	0.13443	1	0	1		19286929-SuppTable2n
GeneSigDB Published Gene Signatures	genesigdb	18487511-TableS2	-0.0061669	1	1	0	-1		18487511-TableS2
GeneSigDB Published Gene Signatures	genesigdb	17483311-SuppTable3	0.011583	0.60038	1	0	1		17483311-SuppTable3
GeneSigDB Published Gene Signatures	genesigdb	18794137-SuppTable1b	-0.0061669	1	1	0	-1		18794137-SuppTable1b
GeneSigDB Published Gene Signatures	genesigdb	18497862-TableS4	0.011583	0.59932	1	0	1		18497862-TableS4
GeneSigDB Published Gene Signatures	genesigdb	20303590-Table1	-0.0061669	1	1	0	-1		20303590-Table1
GeneSigDB Published Gene Signatures	genesigdb	17012836-Table4	0.011583	0.60011	1	0	1		17012836-Table4
GeneSigDB Published Gene Signatures	genesigdb	15342952-Table4	0.019305	0.36289	1	0	1		15342952-Table4
GeneSigDB Published Gene Signatures	genesigdb	18955564-TableS2a	-0.0061669	1	1	0	-1		18955564-TableS2a
GeneSigDB Published Gene Signatures	genesigdb	19168792-TableS2	0.0085264	1	1	0	1		19168792-TableS2
GeneSigDB Published Gene Signatures	genesigdb	15843827-TableS11	-0.023917	0.1205	1	0	-1		15843827-TableS11
