dataset	abbreviation	feature	test_statistic	pvalue	pvalue_corrected	is_significant	correlation_sign	preferred_rowstat	similar_features
GO Biological Process Annotations	gobp	rna biosynthetic process	-0.0060465	0.8656	1	0	-1		rna biosynthetic process|nucleobase-containing compound biosynthetic process|aromatic compound biosynthetic process|heterocycle biosynthetic process|nucleic acid-templated transcription|transcription, dna-templated|macromolecule biosynthetic process|rna metabolic process|cellular nitrogen compound biosynthetic process|organic cyclic compound biosynthetic process|cellular macromolecule biosynthetic process|regulation of rna metabolic process|regulation of rna biosynthetic process|regulation of nucleic acid-templated transcription|regulation of transcription, dna-templated|regulation of cellular macromolecule biosynthetic process|regulation of macromolecule biosynthetic process|regulation of nucleobase-containing compound metabolic process|nucleobase-containing compound metabolic process|heterocycle metabolic process|cellular aromatic compound metabolic process|organic cyclic compound metabolic process|cellular nitrogen compound metabolic process|regulation of cellular biosynthetic process|nucleic acid metabolic process|nitrogen compound metabolic process|regulation of gene expression|regulation of biosynthetic process|cellular biosynthetic process|organic substance biosynthetic process|biosynthetic process|regulation of nitrogen compound metabolic process
GO Biological Process Annotations	gobp	response to cold	0.027132	0.35431	1	0	1		response to cold
GO Biological Process Annotations	gobp	response to axon injury	-0.0065338	1	1	0	-1		response to axon injury
GO Biological Process Annotations	gobp	response to alcohol	0.012403	0.83261	1	0	1		response to alcohol
GO Biological Process Annotations	gobp	regulation of urine volume	0.015504	0.58283	1	0	1		regulation of urine volume
GO Biological Process Annotations	gobp	regulation of type i interferon-mediated signaling pathway	0.011628	0.60121	1	0	1		regulation of type i interferon-mediated signaling pathway
GO Biological Process Annotations	gobp	regulation of synaptic transmission, glutamatergic	0.0024363	1	1	0	1		regulation of synaptic transmission, glutamatergic
GO Biological Process Annotations	gobp	response to fungus	0.011628	0.60129	1	0	1		response to fungus
GO Biological Process Annotations	gobp	regulation of smooth muscle cell migration	0.015504	0.58247	1	0	1		regulation of smooth muscle cell migration
GO Biological Process Annotations	gobp	regulation of serotonin secretion	0.011628	0.60289	1	0	1		regulation of serotonin secretion
GO Biological Process Annotations	gobp	regulation of sequestering of triglyceride	0.011628	0.60375	1	0	1		regulation of sequestering of triglyceride
GO Biological Process Annotations	gobp	regulation of receptor activity	-0.0091916	0.64197	1	0	-1		regulation of receptor activity
GO Biological Process Annotations	gobp	regulation of organelle organization	0.042414	0.31249	1	0	1		regulation of organelle organization
GO Biological Process Annotations	gobp	regulation of organ morphogenesis	0.01794	0.74485	1	0	1		regulation of organ morphogenesis
GO Biological Process Annotations	gobp	regulation of neural precursor cell proliferation	0.015504	0.58233	1	0	1		regulation of neural precursor cell proliferation
GO Biological Process Annotations	gobp	regulation of smooth muscle cell apoptotic process	0.011628	0.59976	1	0	1		regulation of smooth muscle cell apoptotic process
GO Biological Process Annotations	gobp	response to lead ion	0.011628	0.60163	1	0	1		response to lead ion
GO Biological Process Annotations	gobp	response to progesterone	-0.027353	0.17057	1	0	-1		response to progesterone
