dataset	abbreviation	feature	test_statistic	pvalue	pvalue_corrected	is_significant	correlation_sign	preferred_rowstat	similar_features
GO Cellular Component Annotations	gocc	mean	-0.0016242	0.11611	1	0	-1	mean	mean|stdv|intracellular part|intracellular organelle|membrane-bounded organelle|cell part|intracellular membrane-bounded organelle|organelle|organelle part|intracellular organelle part|cytoplasmic part
GO Cellular Component Annotations	gocc	axon part	0.010188	0.74977	1	0	1		axon part
GO Cellular Component Annotations	gocc	microvillus	0.01938	0.36798	1	0	1		microvillus
GO Cellular Component Annotations	gocc	nucleolus	-0.059801	0.01316	1	0	-1		nucleolus
GO Cellular Component Annotations	gocc	cell cortex part	-0.0065338	1	1	0	-1		cell cortex part
GO Cellular Component Annotations	gocc	actin cytoskeleton	0.011628	0.60161	1	0	1		actin cytoskeleton
GO Cellular Component Annotations	gocc	late endosome	-0.020819	0.20175	1	0	-1		late endosome
GO Cellular Component Annotations	gocc	endosome	-0.0043189	1	1	0	-1		endosome
GO Cellular Component Annotations	gocc	transport vesicle	-0.0065338	1	1	0	-1		transport vesicle
GO Cellular Component Annotations	gocc	sarcolemma	0.0012182	1	1	0	1		sarcolemma
GO Cellular Component Annotations	gocc	cytoskeletal part	-0.030011	0.25462	1	0	-1		cytoskeletal part
GO Cellular Component Annotations	gocc	membrane raft	-0.022481	0.62335	1	0	-1		membrane raft
GO Cellular Component Annotations	gocc	nuclear membrane	-0.0091916	0.64194	1	0	-1		nuclear membrane
GO Cellular Component Annotations	gocc	synaptic vesicle membrane	0.011628	0.60239	1	0	1		synaptic vesicle membrane
GO Cellular Component Annotations	gocc	endocytic vesicle membrane	0.011628	0.59947	1	0	1		endocytic vesicle membrane
GO Cellular Component Annotations	gocc	golgi lumen	0.023256	0.34945	1	0	1		golgi lumen
GO Cellular Component Annotations	gocc	coated pit	-0.024695	0.11676	1	0	-1		coated pit
GO Cellular Component Annotations	gocc	t-tubule	0.023256	0.34891	1	0	1		t-tubule
GO Cellular Component Annotations	gocc	receptor complex	-0.082281	0.052899	1	0	-1		receptor complex
GO Cellular Component Annotations	gocc	chloride channel complex	-0.016944	0.59126	1	0	-1		chloride channel complex
GO Cellular Component Annotations	gocc	sodium channel complex	0.011628	0.60454	1	0	1		sodium channel complex
GO Cellular Component Annotations	gocc	ionotropic glutamate receptor complex	-0.0065338	1	1	0	-1		ionotropic glutamate receptor complex
