dataset	abbreviation	feature	test_statistic	pvalue	pvalue_corrected	is_significant	correlation_sign	preferred_rowstat	similar_features
GO Molecular Function Annotations	gomf	purine ribonucleotide binding	-0.018605	0.62746	1	0	-1		purine ribonucleotide binding|purine nucleotide binding|ribonucleotide binding|purine ribonucleoside binding|purine nucleoside binding|ribonucleoside binding|nucleoside binding|purine ribonucleoside triphosphate binding|adenyl ribonucleotide binding|adenyl nucleotide binding|nucleotide binding|nucleoside phosphate binding|carbohydrate derivative binding|atp binding|small molecule binding|anion binding
GO Molecular Function Annotations	gomf	glycoprotein binding	-0.0052251	1	1	0	-1		glycoprotein binding
GO Molecular Function Annotations	gomf	drug binding	0.040133	0.35278	1	0	1		drug binding
GO Molecular Function Annotations	gomf	neurotransmitter binding	0.011673	0.6027	1	0	1		neurotransmitter binding
GO Molecular Function Annotations	gomf	neuropeptide binding	-0.0065036	1	1	0	-1		neuropeptide binding
GO Molecular Function Annotations	gomf	mrna binding	-0.0065036	1	1	0	-1		mrna binding
GO Molecular Function Annotations	gomf	phosphatidylinositol 3-kinase binding	0.015564	0.58186	1	0	1		phosphatidylinositol 3-kinase binding
GO Molecular Function Annotations	gomf	rab gtpase binding	0.011673	0.60107	1	0	1		rab gtpase binding
GO Molecular Function Annotations	gomf	nitric-oxide synthase binding	0.011673	0.60106	1	0	1		nitric-oxide synthase binding
GO Molecular Function Annotations	gomf	interleukin-1 receptor binding	0.011673	0.60181	1	0	1		interleukin-1 receptor binding
GO Molecular Function Annotations	gomf	adrenergic receptor binding	0.011673	0.59989	1	0	1		adrenergic receptor binding
GO Molecular Function Annotations	gomf	cytoskeletal protein binding	0.059644	0.086519	1	0	1		cytoskeletal protein binding
GO Molecular Function Annotations	gomf	myosin binding	0.015564	0.58216	1	0	1		myosin binding
GO Molecular Function Annotations	gomf	apolipoprotein binding	0.011673	0.60065	1	0	1		apolipoprotein binding
GO Molecular Function Annotations	gomf	protein domain specific binding	0.045359	0.26853	1	0	1		protein domain specific binding
GO Molecular Function Annotations	gomf	receptor inhibitor activity	-0.0065036	1	1	0	-1		receptor inhibitor activity
GO Molecular Function Annotations	gomf	growth factor binding	-0.0065592	1	1	0	-1		growth factor binding
GO Molecular Function Annotations	gomf	fibroblast growth factor binding	0.015564	0.58321	1	0	1		fibroblast growth factor binding
GO Molecular Function Annotations	gomf	cytokine binding	-0.022123	0.48726	1	0	-1		cytokine binding
GO Molecular Function Annotations	gomf	electron carrier activity	-0.0026126	1	1	0	-1		electron carrier activity
GO Molecular Function Annotations	gomf	g-protein coupled acetylcholine receptor activity	-0.0065036	1	1	0	-1		g-protein coupled acetylcholine receptor activity
GO Molecular Function Annotations	gomf	interferon receptor activity	0.011673	0.60046	1	0	1		interferon receptor activity
GO Molecular Function Annotations	gomf	monocarboxylic acid binding	-0.027293	0.1709	1	0	-1		monocarboxylic acid binding
GO Molecular Function Annotations	gomf	oxidoreductase activity	-0.039077	0.36623	1	0	-1		oxidoreductase activity
GO Molecular Function Annotations	gomf	sulfuric ester hydrolase activity	0.011673	0.60008	1	0	1		sulfuric ester hydrolase activity
GO Molecular Function Annotations	gomf	o-acyltransferase activity	-0.0065036	1	1	0	-1		o-acyltransferase activity
GO Molecular Function Annotations	gomf	3',5'-cyclic-amp phosphodiesterase activity	0.011673	0.60142	1	0	1		3',5'-cyclic-amp phosphodiesterase activity
GO Molecular Function Annotations	gomf	aminopeptidase activity	-0.02468	0.11852	1	0	-1		aminopeptidase activity
GO Molecular Function Annotations	gomf	exopeptidase activity	-0.027293	0.17284	1	0	-1		exopeptidase activity
GO Molecular Function Annotations	gomf	oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, nad(p)h as one donor, and incorporation of one atom of oxygen	0.011673	0.60407	1	0	1		oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, nad(p)h as one donor, and incorporation of one atom of oxygen
GO Molecular Function Annotations	gomf	vitamin binding	-0.020789	0.20273	1	0	-1		vitamin binding
GO Molecular Function Annotations	gomf	cyclic nucleotide binding	0.015564	0.582	1	0	1		cyclic nucleotide binding
GO Molecular Function Annotations	gomf	copper ion binding	-0.0065036	1	1	0	-1		copper ion binding
GO Molecular Function Annotations	gomf	iron ion binding	-0.0013341	1	1	0	-1		iron ion binding
GO Molecular Function Annotations	gomf	lipopolysaccharide binding	-0.020789	0.20243	1	0	-1		lipopolysaccharide binding
GO Molecular Function Annotations	gomf	retinoic acid receptor binding	0.015564	0.57969	1	0	1		retinoic acid receptor binding
GO Molecular Function Annotations	gomf	rna polymerase ii distal enhancer sequence-specific dna binding transcription factor activity	0.011673	0.60319	1	0	1		rna polymerase ii distal enhancer sequence-specific dna binding transcription factor activity
GO Molecular Function Annotations	gomf	receptor binding	-0.038021	0.55178	1	0	-1		receptor binding
GO Molecular Function Annotations	gomf	pdz domain binding	0.015564	0.58033	1	0	1		pdz domain binding
GO Molecular Function Annotations	gomf	scaffold protein binding	0.011673	0.60267	1	0	1		scaffold protein binding
GO Molecular Function Annotations	gomf	enzyme activator activity	-0.049361	0.02085	1	0	-1		enzyme activator activity
GO Molecular Function Annotations	gomf	guanyl-nucleotide exchange factor activity	0.0051695	1	1	0	1		guanyl-nucleotide exchange factor activity
GO Molecular Function Annotations	gomf	sodium channel activity	0.011673	0.6013	1	0	1		sodium channel activity
GO Molecular Function Annotations	gomf	g-protein coupled amine receptor activity	0.059644	0.088799	1	0	1		g-protein coupled amine receptor activity
GO Molecular Function Annotations	gomf	serotonin receptor activity	0.023346	0.34913	1	0	1		serotonin receptor activity
GO Molecular Function Annotations	gomf	acetylcholine receptor activity	-0.0065036	1	1	0	-1		acetylcholine receptor activity
GO Molecular Function Annotations	gomf	rna polymerase ii transcription factor binding transcription factor activity	0.015564	0.58312	1	0	1		rna polymerase ii transcription factor binding transcription factor activity
GO Molecular Function Annotations	gomf	receptor signaling protein tyrosine kinase activity	-0.0026126	1	1	0	-1		receptor signaling protein tyrosine kinase activity
