dataset	abbreviation	feature	test_statistic	pvalue	pvalue_corrected	is_significant	correlation_sign	preferred_rowstat	similar_features
GWASdb SNP-Disease Associations - Cleaned	gwasdbdisease_cleaned	head and neck cancer	-0.16708	0.10411	1	0	-1		head and neck cancer|acute myeloid leukemia|hand, foot and mouth disease|diarrhea|colon cancer|myeloid leukemia|intestinal cancer|large intestine cancer|testicular cancer|colorectal cancer
GWASdb SNP-Disease Associations - Cleaned	gwasdbdisease_cleaned	inherited blood coagulation disease	0.76968	0.51165	1	0	1		inherited blood coagulation disease
GWASdb SNP-Disease Associations - Cleaned	gwasdbdisease_cleaned	chronic obstructive pulmonary disease	0.1682	0.56835	1	0	1		chronic obstructive pulmonary disease
GWASdb SNP-Disease Associations - Cleaned	gwasdbdisease_cleaned	psychotic disorder	0.050579	0.60264	1	0	1		psychotic disorder
GWASdb SNP-Disease Associations - Cleaned	gwasdbdisease_cleaned	vitiligo	0.17627	0.73439	1	0	1		vitiligo
GWASdb SNP-Disease Associations - Cleaned	gwasdbdisease_cleaned	vasculitis	0.072845	0.73612	1	0	1		vasculitis
GWASdb SNP-Disease Associations - Cleaned	gwasdbdisease_cleaned	hepatitis b	-0.030828	1	1	0	-1		hepatitis b
GWASdb SNP-Disease Associations - Cleaned	gwasdbdisease_cleaned	vascular dementia	-0.13915	0.21161	1	0	-1		vascular dementia
GWASdb SNP-Disease Associations - Cleaned	gwasdbdisease_cleaned	familial atrial fibrillation	0.20064	0.12231	1	0	1		familial atrial fibrillation
GWASdb SNP-Disease Associations - Cleaned	gwasdbdisease_cleaned	epilepsy syndrome	-0.035472	0.86725	1	0	-1		epilepsy syndrome
GWASdb SNP-Disease Associations - Cleaned	gwasdbdisease_cleaned	anxiety disorder	-0.092857	0.098989	1	0	-1		anxiety disorder
GWASdb SNP-Disease Associations - Cleaned	gwasdbdisease_cleaned	diabetic retinopathy	0.09589	0.58096	1	0	1		diabetic retinopathy
GWASdb SNP-Disease Associations - Cleaned	gwasdbdisease_cleaned	anemia	-0.06945	0.3289	1	0	-1		anemia
GWASdb SNP-Disease Associations - Cleaned	gwasdbdisease_cleaned	blood coagulation disease	0.47222	0.81715	1	0	1		blood coagulation disease
GWASdb SNP-Disease Associations - Cleaned	gwasdbdisease_cleaned	cerebrovascular disease	1.1462	0.66052	1	0	1		cerebrovascular disease
GWASdb SNP-Disease Associations - Cleaned	gwasdbdisease_cleaned	autosomal genetic disease	0.098336	0.52222	1	0	1		autosomal genetic disease
GWASdb SNP-Disease Associations - Cleaned	gwasdbdisease_cleaned	metabolic syndrome x	0.23173	0.70324	1	0	1		metabolic syndrome x
GWASdb SNP-Disease Associations - Cleaned	gwasdbdisease_cleaned	vascular disease	0.40014	0.81809	1	0	1		vascular disease
GWASdb SNP-Disease Associations - Cleaned	gwasdbdisease_cleaned	lung small cell carcinoma	0.065426	0.60167	1	0	1		lung small cell carcinoma
GWASdb SNP-Disease Associations - Cleaned	gwasdbdisease_cleaned	cholecystolithiasis	-0.28343	0.01187	1	0	-1		cholecystolithiasis
GWASdb SNP-Disease Associations - Cleaned	gwasdbdisease_cleaned	heart conduction disease	0.31188	0.4683	1	0	1		heart conduction disease
GWASdb SNP-Disease Associations - Cleaned	gwasdbdisease_cleaned	brain disease	-0.018347	0.33772	1	0	-1		brain disease
GWASdb SNP-Disease Associations - Cleaned	gwasdbdisease_cleaned	end stage renal failure	0.17305	0.30587	1	0	1		end stage renal failure
GWASdb SNP-Disease Associations - Cleaned	gwasdbdisease_cleaned	cognitive disorder	-0.23739	0.30294	1	0	-1		cognitive disorder
GWASdb SNP-Disease Associations - Cleaned	gwasdbdisease_cleaned	mental depression	0.13915	0.34639	1	0	1		mental depression
GWASdb SNP-Disease Associations - Cleaned	gwasdbdisease_cleaned	schizophrenia	0.019123	0.93605	1	0	1		schizophrenia
