dataset	abbreviation	feature	test_statistic	pvalue	pvalue_corrected	is_significant	correlation_sign	preferred_rowstat	similar_features
GWASdb SNP-Phenotype Associations - Cleaned	gwasdbphenotype_cleaned	mean	-0.030761	0.36952	1	0	-1	mean	mean|abnormality of limb bone morphology|abnormality of finger|abnormality of the hand|abnormality of phalanx of finger|abnormality of digit|abnormality of the clavicle|abnormality of the costochondral junction|abnormality of the ribs|costochondral joint sclerosis|craniofacial osteosclerosis|abnormality of the vertebrae|calvarial osteosclerosis|abnormality of the thorax|abnormality of the rib cage|clavicular sclerosis|choroidal sclerosis|vertebral body sclerosis|generalized osteosclerosis|cortical sclerosis|anomaly of the limb diaphyses|patchy sclerosis of radial diaphysis|anomaly of the upper limb diaphyses|increased density of long bones|sclerosis of humeral diaphysis|osteosclerosis of the ulna|abnormality of the humerus|abnormality of the forearm|abnormality of the radius|sclerosis of metaphyses of the upper limbs|abnormality of upper limb metaphysis|metaphyseal sclerosis|abnormality of the metaphyses|abnormality of the ulna|abnormality of upper limb bone|abnormality of forearm bone|sclerotic forearm bones|humeral sclerosis|diaphyseal sclerosis of the upper limbs|diaphyseal sclerosis|abnormality of the humeral diaphysis|abnormality of radial diaphysis|abnormal diaphysis morphology|abnormal cortical bone morphology|diffuse mesangial sclerosis|nephrosclerosis|mesangial abnormality|abnormality of long bone morphology|sclerosis of finger phalanx|patchy changes of bone mineral density|sclerosis of foot bone|patchy osteosclerosis|sclerosis of hand bone|increased bone mineral density|sclerosis of skull base|abnormality of the skull base|urethral stenosis|urethral sphincter sclerosis|urethral obstruction|abnormal appendicular skeleton morphology|abnormality of the upper limb|abnormality of limb bone|abnormality of the skull|abnormality of limbs|abnormality of the nephron|abnormality of the glomerulus|abnormal renal morphology|abnormal bone structure|glomerulosclerosis|abnormality of facial skeleton|abnormality of the lower urinary tract|abnormality of the urethra|abnormal axial skeleton morphology|abnormality of the upper arm|abnormality of the choroid|abnormality of skeletal morphology|abnormality of the upper urinary tract|abnormality of male external genitalia|abnormal external genitalia|abnormality of the genitourinary system|abnormality of the male genitalia|arteriosclerosis|abnormality of head or neck|abnormality of the skeletal system|all|abnormality of the vertebral column|abnormality of the head|abnormal genital system morphology|abnormality of bone mineral density|stdv
GWASdb SNP-Phenotype Associations - Cleaned	gwasdbphenotype_cleaned	arthritis	0.034056	0.9473	1	0	1		arthritis
GWASdb SNP-Phenotype Associations - Cleaned	gwasdbphenotype_cleaned	hypertension	0.10225	0.66534	1	0	1		hypertension
GWASdb SNP-Phenotype Associations - Cleaned	gwasdbphenotype_cleaned	abnormality of the nervous system	-0.11006	0.63644	1	0	-1		abnormality of the nervous system
GWASdb SNP-Phenotype Associations - Cleaned	gwasdbphenotype_cleaned	hypothyroidism	0.086319	0.55106	1	0	1		hypothyroidism
GWASdb SNP-Phenotype Associations - Cleaned	gwasdbphenotype_cleaned	abnormality of the ovary	-0.079586	0.35199	1	0	-1		abnormality of the ovary
GWASdb SNP-Phenotype Associations - Cleaned	gwasdbphenotype_cleaned	aneurysm	0.026498	0.72893	1	0	1		aneurysm
GWASdb SNP-Phenotype Associations - Cleaned	gwasdbphenotype_cleaned	abnormality of humoral immunity	-0.13246	0.12841	1	0	-1		abnormality of humoral immunity
GWASdb SNP-Phenotype Associations - Cleaned	gwasdbphenotype_cleaned	insulin resistance	-0.26543	0.01135	1	0	-1		insulin resistance
GWASdb SNP-Phenotype Associations - Cleaned	gwasdbphenotype_cleaned	urinary tract neoplasm	-0.0035412	1	1	0	-1		urinary tract neoplasm
