dataset	abbreviation	feature	test_statistic	pvalue	pvalue_corrected	is_significant	correlation_sign	preferred_rowstat	similar_features
HPO Gene-Disease Associations	hpo	mean	0.0019745	0.54028	1	0	1	mean	mean|stdv|abnormality of nervous system physiology|abnormality of the skeletal system|abnormality of the nervous system|abnormality of skeletal morphology|abnormality of the head|abnormality of head or neck|abnormality of nervous system morphology|abnormality of the face|abnormal axial skeleton morphology|abnormality of limb bone morphology|abnormality of limb bone|abnormal appendicular skeleton morphology|abnormality of limbs|abnormality of the eye|aplasia/hypoplasia involving the skeleton|morphological abnormality of the central nervous system|abnormality of digit|abnormality of the skull|abnormality of the mouth|abnormality of the upper limb|abnormality of the hand|abnormality of brain morphology|abnormality of the musculature|abnormal eye morphology|abnormality of the globe|abnormality of the oral cavity|abnormality of the ocular region|abnormality of the integument|abnormality of the lower limb|abnormality of the genitourinary system|abnormal eye physiology|abnormality of the nose|growth abnormality|abnormality of the outer ear|abnormality of the ear|abnormality of higher mental function|abnormality of body height|growth delay|abnormality of the abdomen|abnormality of the vertebral column|abnormality of the cardiovascular system|abnormal joint morphology
HPO Gene-Disease Associations	hpo	dystonia	0.021277	0.63568	1	0	1		dystonia
HPO Gene-Disease Associations	hpo	abnormal aggressive, impulsive or violent behavior	-0.012057	1	1	0	-1		abnormal aggressive, impulsive or violent behavior
HPO Gene-Disease Associations	hpo	deeply set eye	-0.019149	1	1	0	-1		deeply set eye
HPO Gene-Disease Associations	hpo	sleep disturbance	-0.043262	0.41182	1	0	-1		sleep disturbance
HPO Gene-Disease Associations	hpo	abnormality of the tongue	-0.043262	0.41074	1	0	-1		abnormality of the tongue
HPO Gene-Disease Associations	hpo	hypogonadism	0.0092199	1	1	0	1		hypogonadism
HPO Gene-Disease Associations	hpo	short nose	-0.04539	0.21179	1	0	-1		short nose
HPO Gene-Disease Associations	hpo	involuntary movements	-0.043262	0.4107	1	0	-1		involuntary movements
HPO Gene-Disease Associations	hpo	short palm	-0.019149	1	1	0	-1		short palm
HPO Gene-Disease Associations	hpo	recurrent urinary tract infections	-0.04539	0.21234	1	0	-1		recurrent urinary tract infections
HPO Gene-Disease Associations	hpo	abnormality of the pancreas	0.01844	1	1	0	1		abnormality of the pancreas
HPO Gene-Disease Associations	hpo	memory impairment	-0.019149	1	1	0	-1		memory impairment
HPO Gene-Disease Associations	hpo	myalgia	0.016312	1	1	0	1		myalgia
HPO Gene-Disease Associations	hpo	nephrocalcinosis	0.021277	0.63667	1	0	1		nephrocalcinosis
HPO Gene-Disease Associations	hpo	myopathy	0.0092199	1	1	0	1		myopathy
HPO Gene-Disease Associations	hpo	seborrheic dermatitis	0.021277	0.63791	1	0	1		seborrheic dermatitis
HPO Gene-Disease Associations	hpo	abnormality of the phalanges of the toes	0.035461	0.58776	1	0	1		abnormality of the phalanges of the toes
HPO Gene-Disease Associations	hpo	dysphagia	-0.04539	0.21221	1	0	-1		dysphagia
HPO Gene-Disease Associations	hpo	abnormality of the esophagus	0.0042553	1	1	0	1		abnormality of the esophagus
HPO Gene-Disease Associations	hpo	craniosynostosis	0.042553	0.37548	1	0	1		craniosynostosis
HPO Gene-Disease Associations	hpo	pulmonary infiltrates	0.021277	0.63842	1	0	1		pulmonary infiltrates
HPO Gene-Disease Associations	hpo	polyneuropathy	0.021277	0.63688	1	0	1		polyneuropathy
HPO Gene-Disease Associations	hpo	aseptic necrosis	-0.0049645	1	1	0	-1		aseptic necrosis
HPO Gene-Disease Associations	hpo	recurrent abscess formation	-0.059574	0.078169	1	0	-1		recurrent abscess formation
HPO Gene-Disease Associations	hpo	osteomyelitis	0.035461	0.58569	1	0	1		osteomyelitis
HPO Gene-Disease Associations	hpo	pneumonia	-0.038298	0.59283	1	0	-1		pneumonia
HPO Gene-Disease Associations	hpo	decreased fertility	0.030496	0.69439	1	0	1		decreased fertility
HPO Gene-Disease Associations	hpo	infertility	0.028369	0.60414	1	0	1		infertility
HPO Gene-Disease Associations	hpo	recurrent otitis media	-0.012057	1	1	0	-1		recurrent otitis media
HPO Gene-Disease Associations	hpo	menorrhagia	0.035461	0.58753	1	0	1		menorrhagia
HPO Gene-Disease Associations	hpo	gingival bleeding	0.028369	0.60261	1	0	1		gingival bleeding
HPO Gene-Disease Associations	hpo	localized skin lesion	0.015603	1	1	0	1		localized skin lesion
HPO Gene-Disease Associations	hpo	proteinuria	-0.031206	0.60442	1	0	-1		proteinuria
HPO Gene-Disease Associations	hpo	flared metaphysis	-0.019149	1	1	0	-1		flared metaphysis
HPO Gene-Disease Associations	hpo	short thorax	-0.019149	1	1	0	-1		short thorax
HPO Gene-Disease Associations	hpo	dental malocclusion	-0.019149	1	1	0	-1		dental malocclusion
HPO Gene-Disease Associations	hpo	vertebral segmentation defect	-0.0049645	1	1	0	-1		vertebral segmentation defect
HPO Gene-Disease Associations	hpo	intestinal malrotation	0.028369	0.60016	1	0	1		intestinal malrotation
HPO Gene-Disease Associations	hpo	pancytopenia	0.028369	0.60328	1	0	1		pancytopenia
HPO Gene-Disease Associations	hpo	hypohidrosis	0.021277	0.63877	1	0	1		hypohidrosis
HPO Gene-Disease Associations	hpo	thickened helices	0.021277	0.63791	1	0	1		thickened helices
HPO Gene-Disease Associations	hpo	telangiectasia	-0.019149	1	1	0	-1		telangiectasia
HPO Gene-Disease Associations	hpo	venous abnormality	0.028369	0.6044	1	0	1		venous abnormality
HPO Gene-Disease Associations	hpo	bronchomalacia	0.021277	0.63917	1	0	1		bronchomalacia
HPO Gene-Disease Associations	hpo	tracheomalacia	-0.019149	1	1	0	-1		tracheomalacia
HPO Gene-Disease Associations	hpo	trigonocephaly	0.021277	0.63927	1	0	1		trigonocephaly
HPO Gene-Disease Associations	hpo	sleep apnea	-0.012057	1	1	0	-1		sleep apnea
HPO Gene-Disease Associations	hpo	fasciculations	-0.019149	1	1	0	-1		fasciculations
HPO Gene-Disease Associations	hpo	abnormality of cholesterol metabolism	0.0092199	1	1	0	1		abnormality of cholesterol metabolism
HPO Gene-Disease Associations	hpo	hypercholesterolemia	0.028369	0.59919	1	0	1		hypercholesterolemia
HPO Gene-Disease Associations	hpo	abnormality of lipid metabolism	0.044681	0.47782	1	0	1		abnormality of lipid metabolism
HPO Gene-Disease Associations	hpo	abnormality of subcutaneous fat tissue	0.021277	0.6405	1	0	1		abnormality of subcutaneous fat tissue
HPO Gene-Disease Associations	hpo	symptomatic seizures	-0.019149	1	1	0	-1		symptomatic seizures
HPO Gene-Disease Associations	hpo	hyperglycemia	-0.019149	1	1	0	-1		hyperglycemia
HPO Gene-Disease Associations	hpo	insulin resistance	-0.019149	1	1	0	-1		insulin resistance
HPO Gene-Disease Associations	hpo	abnormality of the costochondral junction	0.021277	0.63612	1	0	1		abnormality of the costochondral junction
HPO Gene-Disease Associations	hpo	abnormality of calcium-phosphate metabolism	0.021277	0.63891	1	0	1		abnormality of calcium-phosphate metabolism
HPO Gene-Disease Associations	hpo	prenatal maternal abnormality	-0.012057	1	1	0	-1		prenatal maternal abnormality
HPO Gene-Disease Associations	hpo	abnormality of the rectum	-0.019149	1	1	0	-1		abnormality of the rectum
HPO Gene-Disease Associations	hpo	recurrent fungal infections	-0.012057	1	1	0	-1		recurrent fungal infections
HPO Gene-Disease Associations	hpo	abnormality of the large intestine	-0.024113	0.62866	1	0	-1		abnormality of the large intestine
HPO Gene-Disease Associations	hpo	palpitations	0.021277	0.63902	1	0	1		palpitations
HPO Gene-Disease Associations	hpo	abnormality of female external genitalia	-0.038298	0.592	1	0	-1		abnormality of female external genitalia
HPO Gene-Disease Associations	hpo	brachycephaly	0.035461	0.58836	1	0	1		brachycephaly
HPO Gene-Disease Associations	hpo	disproportionate tall stature	-0.019149	1	1	0	-1		disproportionate tall stature
HPO Gene-Disease Associations	hpo	coronal craniosynostosis	0.021277	0.6386	1	0	1		coronal craniosynostosis
HPO Gene-Disease Associations	hpo	cloverleaf skull	0.021277	0.6386	1	0	1		cloverleaf skull
HPO Gene-Disease Associations	hpo	turricephaly	0.021277	0.63927	1	0	1		turricephaly
HPO Gene-Disease Associations	hpo	mixed hearing impairment	-0.019149	1	1	0	-1		mixed hearing impairment
HPO Gene-Disease Associations	hpo	hyperphosphatemia	0.021277	0.6361	1	0	1		hyperphosphatemia
HPO Gene-Disease Associations	hpo	limited elbow extension	-0.019149	1	1	0	-1		limited elbow extension
HPO Gene-Disease Associations	hpo	abnormality of the fibula	-0.012057	1	1	0	-1		abnormality of the fibula
HPO Gene-Disease Associations	hpo	protuberant abdomen	-0.012057	1	1	0	-1		protuberant abdomen
HPO Gene-Disease Associations	hpo	lumbar hyperlordosis	-0.019149	1	1	0	-1		lumbar hyperlordosis
HPO Gene-Disease Associations	hpo	coxa valga	-0.019149	1	1	0	-1		coxa valga
HPO Gene-Disease Associations	hpo	aplasia/hypoplasia involving the vertebral column	-0.0049645	1	1	0	-1		aplasia/hypoplasia involving the vertebral column
HPO Gene-Disease Associations	hpo	disproportionate short-trunk short stature	-0.019149	1	1	0	-1		disproportionate short-trunk short stature
HPO Gene-Disease Associations	hpo	limited hip movement	-0.019149	1	1	0	-1		limited hip movement
HPO Gene-Disease Associations	hpo	chest pain	-0.012057	1	1	0	-1		chest pain
HPO Gene-Disease Associations	hpo	neoplasm of the nervous system	-0.012057	1	1	0	-1		neoplasm of the nervous system
HPO Gene-Disease Associations	hpo	gastrointestinal dysmotility	0.021277	0.63968	1	0	1		gastrointestinal dysmotility
HPO Gene-Disease Associations	hpo	dry skin	0.035461	0.58584	1	0	1		dry skin
HPO Gene-Disease Associations	hpo	restrictive lung disease	0.0021277	1	1	0	1		restrictive lung disease
HPO Gene-Disease Associations	hpo	hypergonadotropic hypogonadism	-0.019149	1	1	0	-1		hypergonadotropic hypogonadism
HPO Gene-Disease Associations	hpo	dilated cardiomyopathy	0.021277	0.63995	1	0	1		dilated cardiomyopathy
HPO Gene-Disease Associations	hpo	telecanthus	0.028369	0.60139	1	0	1		telecanthus
HPO Gene-Disease Associations	hpo	aplasia/hypoplasia of the nails	-0.012057	1	1	0	-1		aplasia/hypoplasia of the nails
HPO Gene-Disease Associations	hpo	cupped ear	0.021277	0.63779	1	0	1		cupped ear
HPO Gene-Disease Associations	hpo	tall stature	-0.017021	1	1	0	-1		tall stature
HPO Gene-Disease Associations	hpo	hyperextensible skin	0.021277	0.63763	1	0	1		hyperextensible skin
