dataset	abbreviation	feature	test_statistic	pvalue	pvalue_corrected	is_significant	correlation_sign	preferred_rowstat	similar_features
HuGE Navigator Gene-Phenotype Associations	hugenavigator	Tuberculosis, Miliary	0.014395	0.57829	1	0	1		Tuberculosis, Miliary|Parvoviridae Infections|Shock, Cardiogenic|Picornaviridae Infections|Bird Fancier's Lung|Tuberculosis, Pleural|Clonorchiasis
HuGE Navigator Gene-Phenotype Associations	hugenavigator	Leukemia, Myelocytic, Acute	0.01992	0.35565	1	0	1		Leukemia, Myelocytic, Acute
HuGE Navigator Gene-Phenotype Associations	hugenavigator	Still's Disease, Adult-Onset	-0.0061164	1	1	0	-1		Still's Disease, Adult-Onset
HuGE Navigator Gene-Phenotype Associations	hugenavigator	Oral Submucous Fibrosis	0.023904	0.34632	1	0	1		Oral Submucous Fibrosis
HuGE Navigator Gene-Phenotype Associations	hugenavigator	Myasthenia Gravis	0.039841	0.1266	1	0	1		Myasthenia Gravis
HuGE Navigator Gene-Phenotype Associations	hugenavigator	Abruptio Placentae	0.023904	0.3471	1	0	1		Abruptio Placentae
HuGE Navigator Gene-Phenotype Associations	hugenavigator	Epilepsy	0.041412	0.31421	1	0	1		Epilepsy
HuGE Navigator Gene-Phenotype Associations	hugenavigator	Pulmonary Disease, Chronic Obstructive	0.005443	1	1	0	1		Pulmonary Disease, Chronic Obstructive
HuGE Navigator Gene-Phenotype Associations	hugenavigator	Nerve Degeneration	-0.040402	0.074679	1	0	-1		Nerve Degeneration
HuGE Navigator Gene-Phenotype Associations	hugenavigator	Irritable Bowel Syndrome	0.045396	0.22685	1	0	1		Irritable Bowel Syndrome
HuGE Navigator Gene-Phenotype Associations	hugenavigator	Sleep	0.091633	0.0064999	1	0	1		Sleep
HuGE Navigator Gene-Phenotype Associations	hugenavigator	Child Development Disorders, Pervasive	0.025476	0.58012	1	0	1		Child Development Disorders, Pervasive
HuGE Navigator Gene-Phenotype Associations	hugenavigator	Psychiatric Status Rating Scales	0.077998	0.2029	1	0	1		Psychiatric Status Rating Scales
HuGE Navigator Gene-Phenotype Associations	hugenavigator	Hypokinesia	0.01992	0.35989	1	0	1		Hypokinesia
HuGE Navigator Gene-Phenotype Associations	hugenavigator	Reinforcement Schedule	0.015936	0.57621	1	0	1		Reinforcement Schedule
HuGE Navigator Gene-Phenotype Associations	hugenavigator	Huntington Disease	0.0058358	1	1	0	1		Huntington Disease
HuGE Navigator Gene-Phenotype Associations	hugenavigator	Ocular Motility Disorders	0.015936	0.57782	1	0	1		Ocular Motility Disorders
HuGE Navigator Gene-Phenotype Associations	hugenavigator	Prostatic Neoplasms	0.033612	0.64613	1	0	1		Prostatic Neoplasms
HuGE Navigator Gene-Phenotype Associations	hugenavigator	Thrombocytopenia	0.0076876	1	1	0	1		Thrombocytopenia
HuGE Navigator Gene-Phenotype Associations	hugenavigator	Lichen Planus, Oral	0.051793	0.080679	1	0	1		Lichen Planus, Oral
HuGE Navigator Gene-Phenotype Associations	hugenavigator	Meniere Disease	0.017788	0.68954	1	0	1		Meniere Disease
HuGE Navigator Gene-Phenotype Associations	hugenavigator	Hearing Loss	0.035857	0.21601	1	0	1		Hearing Loss
HuGE Navigator Gene-Phenotype Associations	hugenavigator	Hypercholesterolemia	0.06021	0.31927	1	0	1		Hypercholesterolemia
HuGE Navigator Gene-Phenotype Associations	hugenavigator	Obesity, Abdominal	0.039841	0.12528	1	0	1		Obesity, Abdominal
HuGE Navigator Gene-Phenotype Associations	hugenavigator	Overweight	0.041131	0.37946	1	0	1		Overweight
