dataset	abbreviation	feature	test_statistic	pvalue	pvalue_corrected	is_significant	correlation_sign	preferred_rowstat	similar_features
IntAct Biomolecular Interactions	intact	PTPRG	0.0037588	0.78938	1	0	1		PTPRG|PTPRB|PTPRC|PTPRO
IntAct Biomolecular Interactions	intact	MAGI3	-0.0067781	1	1	0	-1		MAGI3
IntAct Biomolecular Interactions	intact	RAP2A	-0.0067781	1	1	0	-1		RAP2A
IntAct Biomolecular Interactions	intact	ANXA7	-0.0067781	1	1	0	-1		ANXA7
IntAct Biomolecular Interactions	intact	MED4	-0.023172	0.22091	1	0	-1		MED4
IntAct Biomolecular Interactions	intact	SH3GL2	-0.0019704	1	1	0	-1		SH3GL2
IntAct Biomolecular Interactions	intact	JAK2	0.014423	0.58826	1	0	1		JAK2
IntAct Biomolecular Interactions	intact	EGFR	-0.14187	0.00063999	1	0	-1		EGFR
IntAct Biomolecular Interactions	intact	PTPN6	-0.0087484	1	1	0	-1		PTPN6
IntAct Biomolecular Interactions	intact	SOCS2	0.014423	0.5944	1	0	1		SOCS2
IntAct Biomolecular Interactions	intact	CRK	0.031683	0.46357	1	0	1		CRK
IntAct Biomolecular Interactions	intact	KLK9	-0.0067781	1	1	0	-1		KLK9
IntAct Biomolecular Interactions	intact	SRC	0.038462	0.20361	1	0	1		SRC
IntAct Biomolecular Interactions	intact	KRT8	0.014423	0.58913	1	0	1		KRT8
IntAct Biomolecular Interactions	intact	CPSF6	-0.027979	0.12968	1	0	-1		CPSF6
IntAct Biomolecular Interactions	intact	SF3B1	-0.027979	0.13201	1	0	-1		SF3B1
IntAct Biomolecular Interactions	intact	THRAP3	0.014423	0.59194	1	0	1		THRAP3
IntAct Biomolecular Interactions	intact	ATAD3A	-0.0067781	1	1	0	-1		ATAD3A
IntAct Biomolecular Interactions	intact	ST13	-0.0019704	1	1	0	-1		ST13
IntAct Biomolecular Interactions	intact	PRKCSH	-0.0067781	1	1	0	-1		PRKCSH
IntAct Biomolecular Interactions	intact	MYL6	-0.044373	0.03753	1	0	-1		MYL6
IntAct Biomolecular Interactions	intact	NCBP1	-0.027979	0.1268	1	0	-1		NCBP1
IntAct Biomolecular Interactions	intact	ZYX	-0.0019704	1	1	0	-1		ZYX
IntAct Biomolecular Interactions	intact	ABL1	-0.036728	0.24121	1	0	-1		ABL1
IntAct Biomolecular Interactions	intact	SEC22B	-0.027979	0.12922	1	0	-1		SEC22B
IntAct Biomolecular Interactions	intact	CDH1	-0.0019704	1	1	0	-1		CDH1
IntAct Biomolecular Interactions	intact	A2M	-0.020334	0.68682	1	0	-1		A2M
IntAct Biomolecular Interactions	intact	NCOA3	-0.034757	0.13123	1	0	-1		NCOA3
IntAct Biomolecular Interactions	intact	PARP1	-0.013556	0.61883	1	0	-1		PARP1
IntAct Biomolecular Interactions	intact	LARS	-0.0067781	1	1	0	-1		LARS
IntAct Biomolecular Interactions	intact	C1QBP	-0.023172	0.22322	1	0	-1		C1QBP
IntAct Biomolecular Interactions	intact	S100A8	0.014423	0.587	1	0	1		S100A8
IntAct Biomolecular Interactions	intact	SFPQ	-0.0019704	1	1	0	-1		SFPQ
IntAct Biomolecular Interactions	intact	RPL17-C18orf32	-0.0067781	1	1	0	-1		RPL17-C18orf32
IntAct Biomolecular Interactions	intact	RPL8	-0.0067781	1	1	0	-1		RPL8
IntAct Biomolecular Interactions	intact	RPL4	-0.027979	0.12922	1	0	-1		RPL4
IntAct Biomolecular Interactions	intact	EPB41	-0.027979	0.12963	1	0	-1		EPB41
IntAct Biomolecular Interactions	intact	KLK3	-0.027979	0.13081	1	0	-1		KLK3
IntAct Biomolecular Interactions	intact	TNFRSF1A	0.0028373	1	1	0	1		TNFRSF1A
IntAct Biomolecular Interactions	intact	ACTB	-0.069515	0.03214	1	0	-1		ACTB
IntAct Biomolecular Interactions	intact	STUB1	0.014423	0.58927	1	0	1		STUB1
IntAct Biomolecular Interactions	intact	ADRBK1	-0.0067781	1	1	0	-1		ADRBK1
IntAct Biomolecular Interactions	intact	MRAP2	0.014423	0.59364	1	0	1		MRAP2
IntAct Biomolecular Interactions	intact	SGTA	-0.0067781	1	1	0	-1		SGTA
IntAct Biomolecular Interactions	intact	TAC1	-0.0067781	1	1	0	-1		TAC1
IntAct Biomolecular Interactions	intact	VAPA	-0.0019704	1	1	0	-1		VAPA
IntAct Biomolecular Interactions	intact	KRT31	-0.055958	0.02456	1	0	-1		KRT31
IntAct Biomolecular Interactions	intact	ARMCX5-GPRASP2	0.014423	0.59228	1	0	1		ARMCX5-GPRASP2
IntAct Biomolecular Interactions	intact	SNCA	-0.0067781	1	1	0	-1		SNCA
IntAct Biomolecular Interactions	intact	CDC5L	-0.044373	0.0381	1	0	-1		CDC5L
IntAct Biomolecular Interactions	intact	FOXA1	0.014423	0.58864	1	0	1		FOXA1
IntAct Biomolecular Interactions	intact	PRMT2	-0.013556	0.61974	1	0	-1		PRMT2
IntAct Biomolecular Interactions	intact	VIM	-0.0067781	1	1	0	-1		VIM
IntAct Biomolecular Interactions	intact	BLK	0.014423	0.59284	1	0	1		BLK
IntAct Biomolecular Interactions	intact	PPP1R9B	0.019231	0.57686	1	0	1		PPP1R9B
IntAct Biomolecular Interactions	intact	MMP2	-0.027979	0.13037	1	0	-1		MMP2
IntAct Biomolecular Interactions	intact	LONP1	-0.027979	0.13024	1	0	-1		LONP1
IntAct Biomolecular Interactions	intact	RNF32	-0.027979	0.13036	1	0	-1		RNF32
IntAct Biomolecular Interactions	intact	MAST1	-0.023172	0.22182	1	0	-1		MAST1
IntAct Biomolecular Interactions	intact	GSN	-0.0067781	1	1	0	-1		GSN
IntAct Biomolecular Interactions	intact	TF	0.0028373	1	1	0	1		TF
IntAct Biomolecular Interactions	intact	HIVEP1	-0.0067781	1	1	0	-1		HIVEP1
IntAct Biomolecular Interactions	intact	TLR2	0.014423	0.59054	1	0	1		TLR2
