dataset	abbreviation	feature	test_statistic	pvalue	pvalue_corrected	is_significant	correlation_sign	preferred_rowstat	similar_features
InterPro Predicted Protein Domain Annotations	interpro	Nuclear hormone receptor, ligand-binding, core	0.012898	0.74145	1	0	1		Nuclear hormone receptor, ligand-binding, core|Nuclear hormone receptor, ligand-binding|Zinc finger, nuclear hormone receptor-type|Steroid hormone receptor|Zinc finger, NHR/GATA-type
InterPro Predicted Protein Domain Annotations	interpro	Aldolase-type TIM barrel	0.015504	0.58188	1	0	1		Aldolase-type TIM barrel
InterPro Predicted Protein Domain Annotations	interpro	Alpha/Beta hydrolase fold	-0.0087892	1	1	0	-1		Alpha/Beta hydrolase fold
InterPro Predicted Protein Domain Annotations	interpro	Insulin-like growth factor binding protein, N-terminal	0.01938	0.36244	1	0	1		Insulin-like growth factor binding protein, N-terminal
InterPro Predicted Protein Domain Annotations	interpro	Tumour necrosis factor domain	0.011628	0.60111	1	0	1		Tumour necrosis factor domain
InterPro Predicted Protein Domain Annotations	interpro	Furin-like repeat	0.011628	0.60059	1	0	1		Furin-like repeat
InterPro Predicted Protein Domain Annotations	interpro	Tyrosine-protein kinase, receptor class II, conserved site	-0.0063326	1	1	0	-1		Tyrosine-protein kinase, receptor class II, conserved site
InterPro Predicted Protein Domain Annotations	interpro	Fibronectin type III	-0.0020745	1	1	0	-1		Fibronectin type III
InterPro Predicted Protein Domain Annotations	interpro	Interleukin-6 receptor alpha, binding	-0.0063326	1	1	0	-1		Interleukin-6 receptor alpha, binding
InterPro Predicted Protein Domain Annotations	interpro	Cysteine-rich flanking region, C-terminal	-0.0063326	1	1	0	-1		Cysteine-rich flanking region, C-terminal
InterPro Predicted Protein Domain Annotations	interpro	Glycoprotein hormone receptor family	-0.0063326	1	1	0	-1		Glycoprotein hormone receptor family
InterPro Predicted Protein Domain Annotations	interpro	Voltage-dependent channel, four helix bundle domain	0.01938	0.36437	1	0	1		Voltage-dependent channel, four helix bundle domain
InterPro Predicted Protein Domain Annotations	interpro	Fibroblast growth factor receptor family	0.011628	0.60283	1	0	1		Fibroblast growth factor receptor family
InterPro Predicted Protein Domain Annotations	interpro	Toll/interleukin-1 receptor homology (TIR) domain	0.015504	0.58111	1	0	1		Toll/interleukin-1 receptor homology (TIR) domain
