dataset	abbreviation	feature	test_statistic	pvalue	pvalue_corrected	is_significant	correlation_sign	preferred_rowstat	similar_features
JASPAR Predicted Transcription Factor Targets	jasparpwm	mean	-0.0042048	0.46786	1	0	-1	mean	mean|stdv|FOXC1
JASPAR Predicted Transcription Factor Targets	jasparpwm	FOXA1	-0.005814	1	1	0	-1		FOXA1
JASPAR Predicted Transcription Factor Targets	jasparpwm	ELK4	0.001938	1	1	0	1		ELK4
JASPAR Predicted Transcription Factor Targets	jasparpwm	PRDM1	0.013566	0.82272	1	0	1		PRDM1
JASPAR Predicted Transcription Factor Targets	jasparpwm	TFAP2C	-0.0080749	1	1	0	-1		TFAP2C
JASPAR Predicted Transcription Factor Targets	jasparpwm	PDX1	-0.001292	1	1	0	-1		PDX1
JASPAR Predicted Transcription Factor Targets	jasparpwm	REL	-0.018411	0.41346	1	0	-1		REL
JASPAR Predicted Transcription Factor Targets	jasparpwm	NR2C2	0.011628	0.60094	1	0	1		NR2C2
JASPAR Predicted Transcription Factor Targets	jasparpwm	TP63	-0.088501	0.01648	1	0	-1		TP63
JASPAR Predicted Transcription Factor Targets	jasparpwm	SREBF1	-0.0077519	1	1	0	-1		SREBF1
JASPAR Predicted Transcription Factor Targets	jasparpwm	E2F6	0.055233	0.15771	1	0	1		E2F6
JASPAR Predicted Transcription Factor Targets	jasparpwm	HNF4A	-0.023256	0.70653	1	0	-1		HNF4A
JASPAR Predicted Transcription Factor Targets	jasparpwm	HOXA5	0.061693	0.25708	1	0	1		HOXA5
JASPAR Predicted Transcription Factor Targets	jasparpwm	CEBPB	0.0096899	0.82464	1	0	1		CEBPB
JASPAR Predicted Transcription Factor Targets	jasparpwm	NOBOX	0.015504	0.58092	1	0	1		NOBOX
JASPAR Predicted Transcription Factor Targets	jasparpwm	NR2F1	-0.029716	0.47684	1	0	-1		NR2F1
JASPAR Predicted Transcription Factor Targets	jasparpwm	EN1	-0.04845	0.10718	1	0	-1		EN1
JASPAR Predicted Transcription Factor Targets	jasparpwm	NKX3-1	-0.018411	0.41303	1	0	-1		NKX3-1
JASPAR Predicted Transcription Factor Targets	jasparpwm	HNF1B	-0.006137	1	1	0	-1		HNF1B
JASPAR Predicted Transcription Factor Targets	jasparpwm	NKX3-2	0.012597	0.77515	1	0	1		NKX3-2
JASPAR Predicted Transcription Factor Targets	jasparpwm	FOXF2	0.0087209	1	1	0	1		FOXF2
JASPAR Predicted Transcription Factor Targets	jasparpwm	USF2	0.026486	0.74751	1	0	1		USF2
JASPAR Predicted Transcription Factor Targets	jasparpwm	SP1	0.092377	0.02396	1	0	1		SP1
JASPAR Predicted Transcription Factor Targets	jasparpwm	E2F1	0.073643	0.20562	1	0	1		E2F1
