dataset	abbreviation	feature	test_statistic	pvalue	pvalue_corrected	is_significant	correlation_sign	preferred_rowstat	similar_features
COMPARTMENTS Curated Protein Localization Evidence Scores - Cleaned	jensencompartmentcurated_cleaned	stdv	-0.028129	0.1721	1	0	-1	stdv	stdv|intracellular part|intracellular|intracellular organelle|organelle|mean|membrane-bounded organelle|intracellular membrane-bounded organelle|cellular_component|cytoplasm|cell part|cell|organelle part|intracellular organelle part|cytoplasmic part|membrane
COMPARTMENTS Curated Protein Localization Evidence Scores - Cleaned	jensencompartmentcurated_cleaned	asymmetric synapse	-0.004522	1	1	0	-1		asymmetric synapse
COMPARTMENTS Curated Protein Localization Evidence Scores - Cleaned	jensencompartmentcurated_cleaned	chloride channel complex	-0.04845	0.59	1	0	-1		chloride channel complex
COMPARTMENTS Curated Protein Localization Evidence Scores - Cleaned	jensencompartmentcurated_cleaned	neuron projection membrane	0.023256	0.59689	1	0	1		neuron projection membrane
COMPARTMENTS Curated Protein Localization Evidence Scores - Cleaned	jensencompartmentcurated_cleaned	excitatory synapse	-0.00064599	1	1	0	-1		excitatory synapse
COMPARTMENTS Curated Protein Localization Evidence Scores - Cleaned	jensencompartmentcurated_cleaned	receptor complex	-0.47061	0.01149	1	0	-1		receptor complex
COMPARTMENTS Curated Protein Localization Evidence Scores - Cleaned	jensencompartmentcurated_cleaned	ionotropic glutamate receptor complex	-0.034561	0.86589	1	0	-1		ionotropic glutamate receptor complex
COMPARTMENTS Curated Protein Localization Evidence Scores - Cleaned	jensencompartmentcurated_cleaned	myelin sheath	0.034884	0.73079	1	0	1		myelin sheath
COMPARTMENTS Curated Protein Localization Evidence Scores - Cleaned	jensencompartmentcurated_cleaned	membrane raft	-0.005814	1	1	0	-1		membrane raft
COMPARTMENTS Curated Protein Localization Evidence Scores - Cleaned	jensencompartmentcurated_cleaned	anchored component of membrane	-0.022933	0.67929	1	0	-1		anchored component of membrane
COMPARTMENTS Curated Protein Localization Evidence Scores - Cleaned	jensencompartmentcurated_cleaned	extrinsic component of external side of plasma membrane	0.046512	0.59907	1	0	1		extrinsic component of external side of plasma membrane
COMPARTMENTS Curated Protein Localization Evidence Scores - Cleaned	jensencompartmentcurated_cleaned	cell-cell junction	-0.056848	0.30001	1	0	-1		cell-cell junction
COMPARTMENTS Curated Protein Localization Evidence Scores - Cleaned	jensencompartmentcurated_cleaned	late endosome	-0.058463	0.58273	1	0	-1		late endosome
COMPARTMENTS Curated Protein Localization Evidence Scores - Cleaned	jensencompartmentcurated_cleaned	transport vesicle	-0.004522	1	1	0	-1		transport vesicle
COMPARTMENTS Curated Protein Localization Evidence Scores - Cleaned	jensencompartmentcurated_cleaned	cytosol	-0.46932	0.02621	1	0	-1		cytosol
COMPARTMENTS Curated Protein Localization Evidence Scores - Cleaned	jensencompartmentcurated_cleaned	extracellular space	-0.16796	0.48639	1	0	-1		extracellular space
COMPARTMENTS Curated Protein Localization Evidence Scores - Cleaned	jensencompartmentcurated_cleaned	organelle envelope lumen	-0.10401	0.073219	1	0	-1		organelle envelope lumen
COMPARTMENTS Curated Protein Localization Evidence Scores - Cleaned	jensencompartmentcurated_cleaned	microvillus	0.03876	0.3578	1	0	1		microvillus
COMPARTMENTS Curated Protein Localization Evidence Scores - Cleaned	jensencompartmentcurated_cleaned	actin cytoskeleton	0.042636	0.72895	1	0	1		actin cytoskeleton
COMPARTMENTS Curated Protein Localization Evidence Scores - Cleaned	jensencompartmentcurated_cleaned	neuromuscular junction	0.0071059	1	1	0	1		neuromuscular junction
COMPARTMENTS Curated Protein Localization Evidence Scores - Cleaned	jensencompartmentcurated_cleaned	axon part	0.045866	0.44128	1	0	1		axon part
COMPARTMENTS Curated Protein Localization Evidence Scores - Cleaned	jensencompartmentcurated_cleaned	axon	-0.087209	0.39364	1	0	-1		axon
COMPARTMENTS Curated Protein Localization Evidence Scores - Cleaned	jensencompartmentcurated_cleaned	basement membrane	-0.046796	0.15122	1	0	-1		basement membrane|extracellular matrix part
COMPARTMENTS Curated Protein Localization Evidence Scores - Cleaned	jensencompartmentcurated_cleaned	endosome	0.002584	1	1	0	1		endosome
COMPARTMENTS Curated Protein Localization Evidence Scores - Cleaned	jensencompartmentcurated_cleaned	sarcolemma	0.045866	0.52587	1	0	1		sarcolemma
COMPARTMENTS Curated Protein Localization Evidence Scores - Cleaned	jensencompartmentcurated_cleaned	synaptic vesicle membrane	0.023256	0.59561	1	0	1		synaptic vesicle membrane
COMPARTMENTS Curated Protein Localization Evidence Scores - Cleaned	jensencompartmentcurated_cleaned	cell cortex	-0.042959	0.75016	1	0	-1		cell cortex
