dataset	abbreviation	feature	test_statistic	pvalue	pvalue_corrected	is_significant	correlation_sign	preferred_rowstat	similar_features
COMPARTMENTS Text-mining Protein Localization Evidence Scores - Cleaned	jensencompartmenttextmining_cleaned	integrin alpha3-beta1 complex	-0.24612	0.00028	0.97942	0	-1		integrin alpha3-beta1 complex
COMPARTMENTS Text-mining Protein Localization Evidence Scores - Cleaned	jensencompartmenttextmining_cleaned	integrin alpha4-beta1 complex	-0.22601	0.00090999	0.97942	0	-1		integrin alpha4-beta1 complex
COMPARTMENTS Text-mining Protein Localization Evidence Scores - Cleaned	jensencompartmenttextmining_cleaned	ige b cell receptor complex	-0.11631	0.00204	0.97942	0	-1		ige b cell receptor complex|ige immunoglobulin complex
COMPARTMENTS Text-mining Protein Localization Evidence Scores - Cleaned	jensencompartmenttextmining_cleaned	plastid part	-0.19222	0.00061999	0.97942	0	-1		plastid part
COMPARTMENTS Text-mining Protein Localization Evidence Scores - Cleaned	jensencompartmenttextmining_cleaned	integrin alpha4-beta7 complex	-0.15198	0.00209	0.97942	0	-1		integrin alpha4-beta7 complex
COMPARTMENTS Text-mining Protein Localization Evidence Scores - Cleaned	jensencompartmenttextmining_cleaned	integrin alphal-beta2 complex	-0.14736	0.00193	0.97942	0	-1		integrin alphal-beta2 complex
COMPARTMENTS Text-mining Protein Localization Evidence Scores - Cleaned	jensencompartmenttextmining_cleaned	chloroplast part	-0.14965	0.00201	0.97942	0	-1		chloroplast part
COMPARTMENTS Text-mining Protein Localization Evidence Scores - Cleaned	jensencompartmenttextmining_cleaned	cytoneme	-0.095542	0.002	0.97942	0	-1		cytoneme
COMPARTMENTS Text-mining Protein Localization Evidence Scores - Cleaned	jensencompartmenttextmining_cleaned	mean	-0.0051182	0.55364	1	0	-1	mean	mean|cellular_component|cell part|cell|stdv|intracellular part|organelle|intracellular organelle|intracellular|macromolecular complex|organelle part|intracellular organelle part|protein complex|cytoplasm|membrane|membrane-bounded organelle|intracellular membrane-bounded organelle|non-membrane-bounded organelle|intracellular non-membrane-bounded organelle|nucleus|cytoplasmic part|membrane part|cell periphery|cytoskeleton|cytoskeletal part|plasma membrane
COMPARTMENTS Text-mining Protein Localization Evidence Scores - Cleaned	jensencompartmenttextmining_cleaned	hyaluranon cable	0.0075281	1	1	0	1		hyaluranon cable
COMPARTMENTS Text-mining Protein Localization Evidence Scores - Cleaned	jensencompartmenttextmining_cleaned	plasma membrane-derived chromatophore	0.0034519	0.94941	1	0	1		plasma membrane-derived chromatophore
COMPARTMENTS Text-mining Protein Localization Evidence Scores - Cleaned	jensencompartmenttextmining_cleaned	secondary cell wall	0.023678	0.7321	1	0	1		secondary cell wall
COMPARTMENTS Text-mining Protein Localization Evidence Scores - Cleaned	jensencompartmenttextmining_cleaned	dendritic branch point	0.0001573	1	1	0	1		dendritic branch point
COMPARTMENTS Text-mining Protein Localization Evidence Scores - Cleaned	jensencompartmenttextmining_cleaned	ciliary pocket	-0.025213	0.25531	1	0	-1		ciliary pocket
COMPARTMENTS Text-mining Protein Localization Evidence Scores - Cleaned	jensencompartmenttextmining_cleaned	kinetoplast	-0.090118	0.02968	1	0	-1		kinetoplast
COMPARTMENTS Text-mining Protein Localization Evidence Scores - Cleaned	jensencompartmenttextmining_cleaned	autolysosome	0.024814	0.73349	1	0	1		autolysosome
COMPARTMENTS Text-mining Protein Localization Evidence Scores - Cleaned	jensencompartmenttextmining_cleaned	nlrp3 inflammasome complex	-0.025931	0.69858	1	0	-1		nlrp3 inflammasome complex
COMPARTMENTS Text-mining Protein Localization Evidence Scores - Cleaned	jensencompartmenttextmining_cleaned	capsomere	-0.0050977	0.85404	1	0	-1		capsomere
COMPARTMENTS Text-mining Protein Localization Evidence Scores - Cleaned	jensencompartmenttextmining_cleaned	nuclear envelope	-0.011224	0.87489	1	0	-1		nuclear envelope
COMPARTMENTS Text-mining Protein Localization Evidence Scores - Cleaned	jensencompartmenttextmining_cleaned	ciliary membrane	0.016338	0.72547	1	0	1		ciliary membrane
COMPARTMENTS Text-mining Protein Localization Evidence Scores - Cleaned	jensencompartmenttextmining_cleaned	phosphatidylinositol 3-kinase complex, class iii	0.0098088	0.86685	1	0	1		phosphatidylinositol 3-kinase complex, class iii
COMPARTMENTS Text-mining Protein Localization Evidence Scores - Cleaned	jensencompartmenttextmining_cleaned	tricarboxylic acid cycle enzyme complex	-0.02663	0.12719	1	0	-1		tricarboxylic acid cycle enzyme complex
COMPARTMENTS Text-mining Protein Localization Evidence Scores - Cleaned	jensencompartmenttextmining_cleaned	mitosome	-0.041702	0.2188	1	0	-1		mitosome
