dataset	abbreviation	feature	test_statistic	pvalue	pvalue_corrected	is_significant	correlation_sign	preferred_rowstat	similar_features
DISEASES Text-mining Gene-Disease Assocation Evidence Scores - Cleaned	jensendiseasetextmining_cleaned	artery disease	0.21234	0.261	1	0	1		artery disease|cardiovascular system disease|vascular disease|extrinsic cardiomyopathy|coronary artery disease|heart disease|cardiomyopathy|myocardial infarction|arteriosclerosis|peripheral vascular disease|arteriosclerotic cardiovascular disease|atherosclerosis|cerebrovascular disease|acute myocardial infarction|hypertension
DISEASES Text-mining Gene-Disease Assocation Evidence Scores - Cleaned	jensendiseasetextmining_cleaned	clear cell acanthoma	-0.032868	0.11986	1	0	-1		clear cell acanthoma
DISEASES Text-mining Gene-Disease Assocation Evidence Scores - Cleaned	jensendiseasetextmining_cleaned	cerebral amyloid angiopathy	-0.060721	0.34183	1	0	-1		cerebral amyloid angiopathy
DISEASES Text-mining Gene-Disease Assocation Evidence Scores - Cleaned	jensendiseasetextmining_cleaned	amyloidosis	-0.005362	0.96212	1	0	-1		amyloidosis
DISEASES Text-mining Gene-Disease Assocation Evidence Scores - Cleaned	jensendiseasetextmining_cleaned	retinal hemangioblastoma	-0.011201	0.86599	1	0	-1		retinal hemangioblastoma
DISEASES Text-mining Gene-Disease Assocation Evidence Scores - Cleaned	jensendiseasetextmining_cleaned	dyscalculia	0.027864	0.59652	1	0	1		dyscalculia
DISEASES Text-mining Gene-Disease Assocation Evidence Scores - Cleaned	jensendiseasetextmining_cleaned	acute endometritis	0.0091712	0.83574	1	0	1		acute endometritis
DISEASES Text-mining Gene-Disease Assocation Evidence Scores - Cleaned	jensendiseasetextmining_cleaned	borna disease	-0.063381	0.063129	1	0	-1		borna disease
DISEASES Text-mining Gene-Disease Assocation Evidence Scores - Cleaned	jensendiseasetextmining_cleaned	monkeypox	-0.041013	0.084659	1	0	-1		monkeypox
DISEASES Text-mining Gene-Disease Assocation Evidence Scores - Cleaned	jensendiseasetextmining_cleaned	argentine hemorrhagic fever	0.012032	0.75457	1	0	1		argentine hemorrhagic fever
DISEASES Text-mining Gene-Disease Assocation Evidence Scores - Cleaned	jensendiseasetextmining_cleaned	newcastle disease	-0.079514	0.0093999	1	0	-1		newcastle disease
DISEASES Text-mining Gene-Disease Assocation Evidence Scores - Cleaned	jensendiseasetextmining_cleaned	african tick-bite fever	0.040256	0.43028	1	0	1		african tick-bite fever
DISEASES Text-mining Gene-Disease Assocation Evidence Scores - Cleaned	jensendiseasetextmining_cleaned	schizotypal personality disorder	0.034136	0.5991	1	0	1		schizotypal personality disorder
DISEASES Text-mining Gene-Disease Assocation Evidence Scores - Cleaned	jensendiseasetextmining_cleaned	dermatomycosis	-0.011825	0.79071	1	0	-1		dermatomycosis
DISEASES Text-mining Gene-Disease Assocation Evidence Scores - Cleaned	jensendiseasetextmining_cleaned	silver-russell syndrome	0.052174	0.24066	1	0	1		silver-russell syndrome
DISEASES Text-mining Gene-Disease Assocation Evidence Scores - Cleaned	jensendiseasetextmining_cleaned	good syndrome	-0.049546	0.04654	1	0	-1		good syndrome
DISEASES Text-mining Gene-Disease Assocation Evidence Scores - Cleaned	jensendiseasetextmining_cleaned	leukocyte-adhesion deficiency syndrome	-0.13726	0.00199	1	0	-1		leukocyte-adhesion deficiency syndrome
DISEASES Text-mining Gene-Disease Assocation Evidence Scores - Cleaned	jensendiseasetextmining_cleaned	inhalation anthrax	0.036535	0.59577	1	0	1		inhalation anthrax
DISEASES Text-mining Gene-Disease Assocation Evidence Scores - Cleaned	jensendiseasetextmining_cleaned	hypohidrotic ectodermal dysplasia	-0.070323	0.055099	1	0	-1		hypohidrotic ectodermal dysplasia
DISEASES Text-mining Gene-Disease Assocation Evidence Scores - Cleaned	jensendiseasetextmining_cleaned	hypohidrosis	0.03731	0.59114	1	0	1		hypohidrosis
DISEASES Text-mining Gene-Disease Assocation Evidence Scores - Cleaned	jensendiseasetextmining_cleaned	sweat gland disease	0.051813	0.23257	1	0	1		sweat gland disease
DISEASES Text-mining Gene-Disease Assocation Evidence Scores - Cleaned	jensendiseasetextmining_cleaned	hereditary sensory neuropathy	0.060563	0.34381	1	0	1		hereditary sensory neuropathy
DISEASES Text-mining Gene-Disease Assocation Evidence Scores - Cleaned	jensendiseasetextmining_cleaned	anisakiasis	0.022341	0.69418	1	0	1		anisakiasis
DISEASES Text-mining Gene-Disease Assocation Evidence Scores - Cleaned	jensendiseasetextmining_cleaned	blepharophimosis, ptosis, and epicanthus inversus syndrome	-0.03393	0.1205	1	0	-1		blepharophimosis, ptosis, and epicanthus inversus syndrome
DISEASES Text-mining Gene-Disease Assocation Evidence Scores - Cleaned	jensendiseasetextmining_cleaned	intestinal perforation	0.037349	0.26831	1	0	1		intestinal perforation
DISEASES Text-mining Gene-Disease Assocation Evidence Scores - Cleaned	jensendiseasetextmining_cleaned	osmotic diarrhea	0.020109	0.5891	1	0	1		osmotic diarrhea
DISEASES Text-mining Gene-Disease Assocation Evidence Scores - Cleaned	jensendiseasetextmining_cleaned	myiasis	-0.0072054	1	1	0	-1		myiasis
DISEASES Text-mining Gene-Disease Assocation Evidence Scores - Cleaned	jensendiseasetextmining_cleaned	proteus syndrome	0.01695	0.73271	1	0	1		proteus syndrome
DISEASES Text-mining Gene-Disease Assocation Evidence Scores - Cleaned	jensendiseasetextmining_cleaned	toxic myocarditis	0.018744	0.7344	1	0	1		toxic myocarditis
DISEASES Text-mining Gene-Disease Assocation Evidence Scores - Cleaned	jensendiseasetextmining_cleaned	suppurative lymphadenitis	0.0042668	1	1	0	1		suppurative lymphadenitis
DISEASES Text-mining Gene-Disease Assocation Evidence Scores - Cleaned	jensendiseasetextmining_cleaned	leukorrhea	0.01574	0.5992	1	0	1		leukorrhea
DISEASES Text-mining Gene-Disease Assocation Evidence Scores - Cleaned	jensendiseasetextmining_cleaned	cardia cancer	-0.0091728	0.72829	1	0	-1		cardia cancer
DISEASES Text-mining Gene-Disease Assocation Evidence Scores - Cleaned	jensendiseasetextmining_cleaned	cystinosis	0.072279	0.16058	1	0	1		cystinosis
DISEASES Text-mining Gene-Disease Assocation Evidence Scores - Cleaned	jensendiseasetextmining_cleaned	pellagra	-0.0021957	1	1	0	-1		pellagra
DISEASES Text-mining Gene-Disease Assocation Evidence Scores - Cleaned	jensendiseasetextmining_cleaned	homocystinuria	0.031669	0.47029	1	0	1		homocystinuria
DISEASES Text-mining Gene-Disease Assocation Evidence Scores - Cleaned	jensendiseasetextmining_cleaned	hyperhomocysteinemia	0.053357	0.59733	1	0	1		hyperhomocysteinemia
DISEASES Text-mining Gene-Disease Assocation Evidence Scores - Cleaned	jensendiseasetextmining_cleaned	tyrosinemia	0.024619	0.82843	1	0	1		tyrosinemia
DISEASES Text-mining Gene-Disease Assocation Evidence Scores - Cleaned	jensendiseasetextmining_cleaned	alpha-mannosidosis	0.033853	0.73247	1	0	1		alpha-mannosidosis
DISEASES Text-mining Gene-Disease Assocation Evidence Scores - Cleaned	jensendiseasetextmining_cleaned	mucopolysaccharidosis ii	0.019032	0.84986	1	0	1		mucopolysaccharidosis ii
DISEASES Text-mining Gene-Disease Assocation Evidence Scores - Cleaned	jensendiseasetextmining_cleaned	mucopolysaccharidosis	0.18979	0.17256	1	0	1		mucopolysaccharidosis
DISEASES Text-mining Gene-Disease Assocation Evidence Scores - Cleaned	jensendiseasetextmining_cleaned	gangliosidosis gm1	0.065961	0.27523	1	0	1		gangliosidosis gm1
DISEASES Text-mining Gene-Disease Assocation Evidence Scores - Cleaned	jensendiseasetextmining_cleaned	mucolipidosis	0.088314	0.12567	1	0	1		mucolipidosis
DISEASES Text-mining Gene-Disease Assocation Evidence Scores - Cleaned	jensendiseasetextmining_cleaned	kearns-sayre syndrome	0.023178	0.57901	1	0	1		kearns-sayre syndrome
DISEASES Text-mining Gene-Disease Assocation Evidence Scores - Cleaned	jensendiseasetextmining_cleaned	chronic progressive external ophthalmoplegia	-0.0023547	0.93504	1	0	-1		chronic progressive external ophthalmoplegia
DISEASES Text-mining Gene-Disease Assocation Evidence Scores - Cleaned	jensendiseasetextmining_cleaned	timothy syndrome	0.068655	0.48898	1	0	1		timothy syndrome
DISEASES Text-mining Gene-Disease Assocation Evidence Scores - Cleaned	jensendiseasetextmining_cleaned	centronuclear myopathy	-0.027428	0.52164	1	0	-1		centronuclear myopathy
DISEASES Text-mining Gene-Disease Assocation Evidence Scores - Cleaned	jensendiseasetextmining_cleaned	becker muscular dystrophy	0.038756	0.69367	1	0	1		becker muscular dystrophy
DISEASES Text-mining Gene-Disease Assocation Evidence Scores - Cleaned	jensendiseasetextmining_cleaned	progressive muscular atrophy	0.032279	0.49241	1	0	1		progressive muscular atrophy
DISEASES Text-mining Gene-Disease Assocation Evidence Scores - Cleaned	jensendiseasetextmining_cleaned	hyperuricemia	0.077023	0.36475	1	0	1		hyperuricemia
DISEASES Text-mining Gene-Disease Assocation Evidence Scores - Cleaned	jensendiseasetextmining_cleaned	purine nucleoside phosphorylase deficiency	-0.10772	0.083509	1	0	-1		purine nucleoside phosphorylase deficiency
DISEASES Text-mining Gene-Disease Assocation Evidence Scores - Cleaned	jensendiseasetextmining_cleaned	wolff-parkinson-white syndrome	0.022564	0.53626	1	0	1		wolff-parkinson-white syndrome
DISEASES Text-mining Gene-Disease Assocation Evidence Scores - Cleaned	jensendiseasetextmining_cleaned	sweat gland carcinoma	-0.017298	0.73064	1	0	-1		sweat gland carcinoma
DISEASES Text-mining Gene-Disease Assocation Evidence Scores - Cleaned	jensendiseasetextmining_cleaned	phimosis	-0.0028737	0.91689	1	0	-1		phimosis
DISEASES Text-mining Gene-Disease Assocation Evidence Scores - Cleaned	jensendiseasetextmining_cleaned	trichinosis	0.0012839	1	1	0	1		trichinosis
DISEASES Text-mining Gene-Disease Assocation Evidence Scores - Cleaned	jensendiseasetextmining_cleaned	t-cell large granular lymphocyte leukemia	-0.015585	0.79265	1	0	-1		t-cell large granular lymphocyte leukemia
DISEASES Text-mining Gene-Disease Assocation Evidence Scores - Cleaned	jensendiseasetextmining_cleaned	lymph node tuberculosis	-0.045684	0.04708	1	0	-1		lymph node tuberculosis
DISEASES Text-mining Gene-Disease Assocation Evidence Scores - Cleaned	jensendiseasetextmining_cleaned	complex partial epilepsy	0.031643	0.5769	1	0	1		complex partial epilepsy
DISEASES Text-mining Gene-Disease Assocation Evidence Scores - Cleaned	jensendiseasetextmining_cleaned	differentiating neuroblastoma	-0.035814	0.47594	1	0	-1		differentiating neuroblastoma
DISEASES Text-mining Gene-Disease Assocation Evidence Scores - Cleaned	jensendiseasetextmining_cleaned	severe nonproliferative diabetic retinopathy	-0.033569	0.12252	1	0	-1		severe nonproliferative diabetic retinopathy
DISEASES Text-mining Gene-Disease Assocation Evidence Scores - Cleaned	jensendiseasetextmining_cleaned	neovascular glaucoma	-0.031782	0.63025	1	0	-1		neovascular glaucoma
DISEASES Text-mining Gene-Disease Assocation Evidence Scores - Cleaned	jensendiseasetextmining_cleaned	dubin-johnson syndrome	0.026198	0.55127	1	0	1		dubin-johnson syndrome
DISEASES Text-mining Gene-Disease Assocation Evidence Scores - Cleaned	jensendiseasetextmining_cleaned	pseudohypoparathyroidism	0.039782	0.57643	1	0	1		pseudohypoparathyroidism
DISEASES Text-mining Gene-Disease Assocation Evidence Scores - Cleaned	jensendiseasetextmining_cleaned	lethal midline granuloma	-0.014325	0.73246	1	0	-1		lethal midline granuloma
DISEASES Text-mining Gene-Disease Assocation Evidence Scores - Cleaned	jensendiseasetextmining_cleaned	myeloid sarcoma	-0.11194	0.0095499	1	0	-1		myeloid sarcoma
DISEASES Text-mining Gene-Disease Assocation Evidence Scores - Cleaned	jensendiseasetextmining_cleaned	granulomatous gastritis	0.016659	0.59673	1	0	1		granulomatous gastritis
DISEASES Text-mining Gene-Disease Assocation Evidence Scores - Cleaned	jensendiseasetextmining_cleaned	tenosynovial giant cell tumor	0.026473	0.72967	1	0	1		tenosynovial giant cell tumor
