dataset	abbreviation	feature	test_statistic	pvalue	pvalue_corrected	is_significant	correlation_sign	preferred_rowstat	similar_features
TISSUES Curated Tissue Protein Expression Evidence Scores	jensentissuecurated	mean	-0.0016611	0.61066	1	0	-1	mean	mean|stdv|endocrine gland|gland|reproductive system|female reproductive system|internal female genital organ|urogenital system|central nervous system|brain|nervous system|head|hematopoietic system
TISSUES Curated Tissue Protein Expression Evidence Scores	jensentissuecurated	myeloid leukemia cell	-0.00214	1	1	0	-1		myeloid leukemia cell
TISSUES Curated Tissue Protein Expression Evidence Scores	jensentissuecurated	cardiac muscle	0.012146	0.59578	1	0	1		cardiac muscle
TISSUES Curated Tissue Protein Expression Evidence Scores	jensentissuecurated	bone marrow cancer cell	0.016194	0.57789	1	0	1		bone marrow cancer cell
TISSUES Curated Tissue Protein Expression Evidence Scores	jensentissuecurated	lung cancer cell	0.016194	0.58256	1	0	1		lung cancer cell
TISSUES Curated Tissue Protein Expression Evidence Scores	jensentissuecurated	jejunum	-0.0061885	1	1	0	-1		jejunum
TISSUES Curated Tissue Protein Expression Evidence Scores	jensentissuecurated	mucosa	-0.012377	0.61682	1	0	-1		mucosa
TISSUES Curated Tissue Protein Expression Evidence Scores	jensentissuecurated	lymph node	-0.026663	0.35538	1	0	-1		lymph node
TISSUES Curated Tissue Protein Expression Evidence Scores	jensentissuecurated	connective tissue	-0.01926	0.67	1	0	-1		connective tissue
TISSUES Curated Tissue Protein Expression Evidence Scores	jensentissuecurated	ovary cancer cell	-0.03476	0.073449	1	0	-1		ovary cancer cell
TISSUES Curated Tissue Protein Expression Evidence Scores	jensentissuecurated	retina	-0.016657	0.74078	1	0	-1		retina
TISSUES Curated Tissue Protein Expression Evidence Scores	jensentissuecurated	adrenal gland	0.0019086	1	1	0	1		adrenal gland
TISSUES Curated Tissue Protein Expression Evidence Scores	jensentissuecurated	thymus	0.0059572	1	1	0	1		thymus
