dataset	abbreviation	feature	test_statistic	pvalue	pvalue_corrected	is_significant	correlation_sign	preferred_rowstat	similar_features
TISSUES Experimental Tissue Protein Expression Evidence Scores - Cleaned	jensentissueexpts_cleaned	hematopoietic cell	-0.23421	9.9999e-06	0.00093524	1	-1		hematopoietic cell|lymphocyte|lymphoid cell|leukocyte|large granular lymphocyte|natural killer cell|null cell|b-lymphocyte|blood
TISSUES Experimental Tissue Protein Expression Evidence Scores - Cleaned	jensentissueexpts_cleaned	marrow cell	-0.2329	9.9999e-06	0.00093524	1	-1		marrow cell|monocyte|mononuclear phagocyte|phagocyte|mononuclear cell|adult stem cell|blast cell|hematopoietic stem cell|myeloid progenitor cell
TISSUES Experimental Tissue Protein Expression Evidence Scores - Cleaned	jensentissueexpts_cleaned	mean	-0.16282	7.9999e-05	0.0049879	1	-1	mean	mean|stdv|alimentary canal|intestine|gastrointestinal tract|respiratory system|urinary system|urinary tract|viscus|lung|large intestine|excretory gland|female reproductive system|kidney|urogenital system|reproductive system|male reproductive gland|male reproductive system|gland|endocrine gland|bladder|uterus|urinary bladder|head|central nervous system|nervous system|internal female genital organ|brain|thyroid gland|ovary|cardiovascular system|colorectum|digestive gland|gall bladder|vermiform appendix|ileocecum|cecum|embryonic structure|organism form|hematopoietic system|spleen|prostate gland|throat|neck|female reproductive gland|colon|trunk|tissues, cell types and enzyme sources|lymphoid tissue|gonad|testis|heart|stomach|forebrain|fetus|placenta|adrenal gland|internal male genital organ|lymph node|whole body|small intestine|animal|skeletal system|integument|esophagus|duodenum|skin|cerebral hemisphere|telencephalon|cerebral cortex|connective tissue|cerebral lobe|liver|muscular system|limbic system|vertebrate muscular system|mouth|adipose tissue|diencephalon|hypothalamus|pancreas|bone marrow|skeletal muscle|exocrine gland|salivary gland|cardiac muscle|eye|sense organ
TISSUES Experimental Tissue Protein Expression Evidence Scores - Cleaned	jensentissueexpts_cleaned	epithalamus	-0.15935	0.00028	0.013093	1	-1		epithalamus|pineal gland
TISSUES Experimental Tissue Protein Expression Evidence Scores - Cleaned	jensentissueexpts_cleaned	olfactory bulb	-0.14913	0.00063999	0.015198	1	-1		olfactory bulb|olfactory lobe
TISSUES Experimental Tissue Protein Expression Evidence Scores - Cleaned	jensentissueexpts_cleaned	t-lymphocyte	-0.13867	0.00064999	0.015198	1	-1		t-lymphocyte|cytotoxic t-lymphocyte|helper t-lymphocyte
TISSUES Experimental Tissue Protein Expression Evidence Scores - Cleaned	jensentissueexpts_cleaned	erythroid cell	-0.14913	0.00062999	0.015198	1	-1		erythroid cell
TISSUES Experimental Tissue Protein Expression Evidence Scores - Cleaned	jensentissueexpts_cleaned	peripheral blood	-0.10672	0.00047	0.015198	1	-1		peripheral blood|dendritic cell|acute lymphoblastic leukemia cell|lymphoblastic leukemia cell|acute lymphoblastic leukemia cell line|lymphoblastic leukemia cell line|lymphocytic leukemia cell line|lymphocytic leukemia cell|lymphoblastoid cell line|blood cancer cell|hematopoietic cell line|leukemia cell|leukemia cell line|t-lymphoblastic leukemia cell line|molt-4 cell|lymphoblast|b-lymphoblast|b-lymphoblastoid cell
TISSUES Experimental Tissue Protein Expression Evidence Scores - Cleaned	jensentissueexpts_cleaned	thorax	-0.28435	0.00076999	0.016003	1	-1		thorax|thymus
TISSUES Experimental Tissue Protein Expression Evidence Scores - Cleaned	jensentissueexpts_cleaned	cell culture	-0.14887	0.00259	0.048445	1	-1		cell culture|other source|culture condition|culture condition:antigen-presenting cell|culture condition:cd8+ cell
