dataset	abbreviation	feature	test_statistic	pvalue	pvalue_corrected	is_significant	correlation_sign	preferred_rowstat	similar_features
TISSUES Text-mining Tissue Protein Expression Evidence Scores - Cleaned	jensentissuetextmining_cleaned	molt-4 cell	-0.35178	0.00019	0.95936	0	-1		molt-4 cell
TISSUES Text-mining Tissue Protein Expression Evidence Scores - Cleaned	jensentissuetextmining_cleaned	chronic myeloid leukemia cell	-0.30133	0.00012	0.95936	0	-1		chronic myeloid leukemia cell
TISSUES Text-mining Tissue Protein Expression Evidence Scores - Cleaned	jensentissuetextmining_cleaned	lymphoblastic leukemia cell line	-0.51928	0.00011	0.95936	0	-1		lymphoblastic leukemia cell line|acute lymphoblastic leukemia cell line|lymphocytic leukemia cell line|t-lymphoblastic leukemia cell line|lymphoblastoid cell line|jurkat cell
TISSUES Text-mining Tissue Protein Expression Evidence Scores - Cleaned	jensentissuetextmining_cleaned	thymic dendritic cell	-0.21121	0.00022	0.95936	0	-1		thymic dendritic cell
TISSUES Text-mining Tissue Protein Expression Evidence Scores - Cleaned	jensentissuetextmining_cleaned	jy cell	-0.14478	0.00028	0.96906	0	-1		jy cell
TISSUES Text-mining Tissue Protein Expression Evidence Scores - Cleaned	jensentissuetextmining_cleaned	high endothelial venule	-0.27077	0.0005	0.96906	0	-1		high endothelial venule
TISSUES Text-mining Tissue Protein Expression Evidence Scores - Cleaned	jensentissuetextmining_cleaned	urine	0.69782	0.00035	0.96906	0	1		urine
TISSUES Text-mining Tissue Protein Expression Evidence Scores - Cleaned	jensentissuetextmining_cleaned	bradyzoite	-0.12313	0.00047	0.96906	0	-1		bradyzoite
TISSUES Text-mining Tissue Protein Expression Evidence Scores - Cleaned	jensentissuetextmining_cleaned	plasmacytoid t-lymphocyte	-0.17519	0.00044	0.96906	0	-1		plasmacytoid t-lymphocyte
TISSUES Text-mining Tissue Protein Expression Evidence Scores - Cleaned	jensentissuetextmining_cleaned	mv4-11 cell	-0.0087222	0.68413	1	0	-1		mv4-11 cell
TISSUES Text-mining Tissue Protein Expression Evidence Scores - Cleaned	jensentissuetextmining_cleaned	red bone marrow	-0.040626	0.10671	1	0	-1		red bone marrow
TISSUES Text-mining Tissue Protein Expression Evidence Scores - Cleaned	jensentissuetextmining_cleaned	n1-s1 cell	-0.001385	1	1	0	-1		n1-s1 cell
TISSUES Text-mining Tissue Protein Expression Evidence Scores - Cleaned	jensentissuetextmining_cleaned	prostate gland intraepithelial neoplasia cell line	-0.015242	0.86627	1	0	-1		prostate gland intraepithelial neoplasia cell line
TISSUES Text-mining Tissue Protein Expression Evidence Scores - Cleaned	jensentissuetextmining_cleaned	ic-21 cell	0.030874	0.43353	1	0	1		ic-21 cell
TISSUES Text-mining Tissue Protein Expression Evidence Scores - Cleaned	jensentissuetextmining_cleaned	na cell	-0.0049945	1	1	0	-1		na cell
TISSUES Text-mining Tissue Protein Expression Evidence Scores - Cleaned	jensentissuetextmining_cleaned	caov-3 cell	-0.028807	0.51938	1	0	-1		caov-3 cell
TISSUES Text-mining Tissue Protein Expression Evidence Scores - Cleaned	jensentissuetextmining_cleaned	a-253 cell	-0.080083	0.0095299	1	0	-1		a-253 cell
TISSUES Text-mining Tissue Protein Expression Evidence Scores - Cleaned	jensentissuetextmining_cleaned	mgc-803 cell	-0.0023395	1	1	0	-1		mgc-803 cell
