dataset	abbreviation	feature	test_statistic	pvalue	pvalue_corrected	is_significant	correlation_sign	preferred_rowstat	similar_features
KinomeScan Kinase Inhibitor Targets - Cleaned	kinomescan_cleaned	mean	-0.053646	0.84431	1	0	-1	mean	mean|stdv
KinomeScan Kinase Inhibitor Targets - Cleaned	kinomescan_cleaned	KIN001-220	-0.28073	0.84362	1	0	-1		KIN001-220
KinomeScan Kinase Inhibitor Targets - Cleaned	kinomescan_cleaned	GSK461364	0.32492	0.77749	1	0	1		GSK461364
KinomeScan Kinase Inhibitor Targets - Cleaned	kinomescan_cleaned	XMD14-99	-0.81704	0.066649	1	0	-1		XMD14-99
KinomeScan Kinase Inhibitor Targets - Cleaned	kinomescan_cleaned	ALW-II-38-3	5.5511e-17	1	1	0	1		ALW-II-38-3
KinomeScan Kinase Inhibitor Targets - Cleaned	kinomescan_cleaned	GSK2126458	0.13255	0.71022	1	0	1		GSK2126458
KinomeScan Kinase Inhibitor Targets - Cleaned	kinomescan_cleaned	Sorafenib	-0.318	0.70947	1	0	-1		Sorafenib
KinomeScan Kinase Inhibitor Targets - Cleaned	kinomescan_cleaned	HG-6-64-01	-0.54474	0.73399	1	0	-1		HG-6-64-01
KinomeScan Kinase Inhibitor Targets - Cleaned	kinomescan_cleaned	XMD-12	-1.2029	0.0442	1	0	-1		XMD-12
KinomeScan Kinase Inhibitor Targets - Cleaned	kinomescan_cleaned	XMD15-27	0.86538	0.088459	1	0	1		XMD15-27
KinomeScan Kinase Inhibitor Targets - Cleaned	kinomescan_cleaned	JNK-IN-5A	0.64928	0.66488	1	0	1		JNK-IN-5A
KinomeScan Kinase Inhibitor Targets - Cleaned	kinomescan_cleaned	XMD13-2	-0.38853	0.84415	1	0	-1		XMD13-2
KinomeScan Kinase Inhibitor Targets - Cleaned	kinomescan_cleaned	PHA-793887	-0.15368	0.48914	1	0	-1		PHA-793887
KinomeScan Kinase Inhibitor Targets - Cleaned	kinomescan_cleaned	Dinaciclib	0.41899	0.55835	1	0	1		Dinaciclib
KinomeScan Kinase Inhibitor Targets - Cleaned	kinomescan_cleaned	BMS345541	-0.18525	0.24489	1	0	-1		BMS345541
