dataset	abbreviation	feature	test_statistic	pvalue	pvalue_corrected	is_significant	correlation_sign	preferred_rowstat	similar_features
MPO Gene-Phenotype Associations	mgimpo	abnormal leukocyte cell number	-0.01946	0.69884	1	0	-1		abnormal leukocyte cell number|abnormal leukocyte morphology|abnormal immune system cell morphology|abnormal mononuclear cell morphology|abnormal hematopoietic cell number|abnormal lymphocyte morphology|abnormal hematopoiesis|abnormal blood cell morphology/development|abnormal immune system morphology|abnormal lymphocyte cell number|abnormal hematopoietic system morphology/development|decreased leukocyte cell number|abnormal t cell number|decreased hematopoietic cell number|decreased lymphocyte cell number|increased leukocyte cell number|increased hematopoietic cell number
MPO Gene-Phenotype Associations	mgimpo	abnormal muscle development	-0.0034708	1	1	0	-1		abnormal muscle development
MPO Gene-Phenotype Associations	mgimpo	pulmonary edema	0.012658	0.60914	1	0	1		pulmonary edema
MPO Gene-Phenotype Associations	mgimpo	abnormal lung vasculature morphology	0.021097	0.37232	1	0	1		abnormal lung vasculature morphology
MPO Gene-Phenotype Associations	mgimpo	enlarged lung	0.012658	0.60774	1	0	1		enlarged lung
MPO Gene-Phenotype Associations	mgimpo	respiratory failure	0.025316	0.35114	1	0	1		respiratory failure
MPO Gene-Phenotype Associations	mgimpo	atelectasis	0.009936	1	1	0	1		atelectasis
MPO Gene-Phenotype Associations	mgimpo	abnormal surfactant physiology	-0.0034708	1	1	0	-1		abnormal surfactant physiology
MPO Gene-Phenotype Associations	mgimpo	malocclusion	0.016878	0.581	1	0	1		malocclusion
MPO Gene-Phenotype Associations	mgimpo	translucent skin	0.012658	0.60787	1	0	1		translucent skin
MPO Gene-Phenotype Associations	mgimpo	decreased cranium height	0.016878	0.58461	1	0	1		decreased cranium height
MPO Gene-Phenotype Associations	mgimpo	abnormal coronal suture morphology	0.012658	0.6072	1	0	1		abnormal coronal suture morphology
MPO Gene-Phenotype Associations	mgimpo	abnormal eye distance/ position	0.0007486	1	1	0	1		abnormal eye distance/ position
MPO Gene-Phenotype Associations	mgimpo	abnormal head shape	0.0007486	1	1	0	1		abnormal head shape
MPO Gene-Phenotype Associations	mgimpo	delayed endochondral bone ossification	-0.0076902	1	1	0	-1		delayed endochondral bone ossification
MPO Gene-Phenotype Associations	mgimpo	abnormal bone mineralization	0.0014972	1	1	0	1		abnormal bone mineralization
MPO Gene-Phenotype Associations	mgimpo	disproportionate dwarf	0.0007486	1	1	0	1		disproportionate dwarf
MPO Gene-Phenotype Associations	mgimpo	increased long bone epiphyseal plate size	0.0007486	1	1	0	1		increased long bone epiphyseal plate size
MPO Gene-Phenotype Associations	mgimpo	abnormal long bone epiphyseal plate proliferative zone	-0.011161	0.63651	1	0	-1		abnormal long bone epiphyseal plate proliferative zone
MPO Gene-Phenotype Associations	mgimpo	abnormal cranial suture morphology	0.016878	0.58399	1	0	1		abnormal cranial suture morphology
MPO Gene-Phenotype Associations	mgimpo	short limbs	-0.011161	0.64018	1	0	-1		short limbs
MPO Gene-Phenotype Associations	mgimpo	ear inflammation	0.012658	0.60345	1	0	1		ear inflammation
MPO Gene-Phenotype Associations	mgimpo	glomerular crescent	-0.0076902	1	1	0	-1		glomerular crescent
MPO Gene-Phenotype Associations	mgimpo	abnormal alveolar process morphology	0.016878	0.58453	1	0	1		abnormal alveolar process morphology
MPO Gene-Phenotype Associations	mgimpo	abnormal urinary bladder physiology	0.0007486	1	1	0	1		abnormal urinary bladder physiology
MPO Gene-Phenotype Associations	mgimpo	distended urinary bladder	0.016878	0.58384	1	0	1		distended urinary bladder
MPO Gene-Phenotype Associations	mgimpo	abnormal urinary bladder morphology	0.0007486	1	1	0	1		abnormal urinary bladder morphology
MPO Gene-Phenotype Associations	mgimpo	kidney hemorrhage	-0.0076902	1	1	0	-1		kidney hemorrhage
MPO Gene-Phenotype Associations	mgimpo	abnormal kidney arterial blood vessel morphology	0.021097	0.37109	1	0	1		abnormal kidney arterial blood vessel morphology
MPO Gene-Phenotype Associations	mgimpo	abnormal kidney afferent arteriole morphology	0.012658	0.60704	1	0	1		abnormal kidney afferent arteriole morphology
MPO Gene-Phenotype Associations	mgimpo	decreased systemic arterial blood pressure	0.068259	0.089589	1	0	1		decreased systemic arterial blood pressure
MPO Gene-Phenotype Associations	mgimpo	abnormal mesonephros morphology	-0.0076902	1	1	0	-1		abnormal mesonephros morphology
MPO Gene-Phenotype Associations	mgimpo	decreased mean systemic arterial blood pressure	0.0007486	1	1	0	1		decreased mean systemic arterial blood pressure
MPO Gene-Phenotype Associations	mgimpo	increased urine sodium level	0.016878	0.58345	1	0	1		increased urine sodium level
MPO Gene-Phenotype Associations	mgimpo	increased urine potassium level	0.012658	0.60732	1	0	1		increased urine potassium level
MPO Gene-Phenotype Associations	mgimpo	liver fibrosis	0.004968	1	1	0	1		liver fibrosis
MPO Gene-Phenotype Associations	mgimpo	abnormal biliary tract morphology	0.0007486	1	1	0	1		abnormal biliary tract morphology
MPO Gene-Phenotype Associations	mgimpo	renal glomerulus fibrosis	0.012658	0.6089	1	0	1		renal glomerulus fibrosis
MPO Gene-Phenotype Associations	mgimpo	abnormal kidney cell proliferation	0.012658	0.60529	1	0	1		abnormal kidney cell proliferation
MPO Gene-Phenotype Associations	mgimpo	tubulointerstitial nephritis	0.021097	0.37195	1	0	1		tubulointerstitial nephritis
MPO Gene-Phenotype Associations	mgimpo	glomerulosclerosis	0.021846	0.48048	1	0	1		glomerulosclerosis
MPO Gene-Phenotype Associations	mgimpo	abnormal urine chloride ion level	0.016878	0.58597	1	0	1		abnormal urine chloride ion level
MPO Gene-Phenotype Associations	mgimpo	abnormal caudal vertebrae morphology	0.012658	0.60824	1	0	1		abnormal caudal vertebrae morphology
MPO Gene-Phenotype Associations	mgimpo	kinked tail	-0.039948	0.063099	1	0	-1		kinked tail
MPO Gene-Phenotype Associations	mgimpo	cervical vertebral transformation	-0.0034708	1	1	0	-1		cervical vertebral transformation
MPO Gene-Phenotype Associations	mgimpo	small pharyngeal arch	0.016878	0.58514	1	0	1		small pharyngeal arch
MPO Gene-Phenotype Associations	mgimpo	abnormal lens development	-0.028039	0.10911	1	0	-1		abnormal lens development
MPO Gene-Phenotype Associations	mgimpo	abnormal cornea morphology	0.017626	0.69108	1	0	1		abnormal cornea morphology
MPO Gene-Phenotype Associations	mgimpo	pathological neovascularization	0.014155	0.74604	1	0	1		pathological neovascularization
MPO Gene-Phenotype Associations	mgimpo	abnormal brain weight	-0.0076902	1	1	0	-1		abnormal brain weight
MPO Gene-Phenotype Associations	mgimpo	abnormal susceptibility to hearing loss	-0.0196	0.58696	1	0	-1		abnormal susceptibility to hearing loss
MPO Gene-Phenotype Associations	mgimpo	akinesia	0.012658	0.60925	1	0	1		akinesia
MPO Gene-Phenotype Associations	mgimpo	impaired behavioral response to anesthetic	-0.0076902	1	1	0	-1		impaired behavioral response to anesthetic
MPO Gene-Phenotype Associations	mgimpo	distended pericardium	-0.023819	0.19421	1	0	-1		distended pericardium
MPO Gene-Phenotype Associations	mgimpo	abnormal behavioral response to anesthetic	-0.0076902	1	1	0	-1		abnormal behavioral response to anesthetic
MPO Gene-Phenotype Associations	mgimpo	abnormal cell differentiation	0.02484	0.64197	1	0	1		abnormal cell differentiation
MPO Gene-Phenotype Associations	mgimpo	abnormal axon extension	-0.0034708	1	1	0	-1		abnormal axon extension
MPO Gene-Phenotype Associations	mgimpo	abnormal neuronal migration	0.0007486	1	1	0	1		abnormal neuronal migration
MPO Gene-Phenotype Associations	mgimpo	abnormal nociception after inflammation	0.0014972	1	1	0	1		abnormal nociception after inflammation
MPO Gene-Phenotype Associations	mgimpo	hyporesponsive to tactile stimuli	-0.0069416	1	1	0	-1		hyporesponsive to tactile stimuli
MPO Gene-Phenotype Associations	mgimpo	impaired febrile response	0.013407	0.69508	1	0	1		impaired febrile response
MPO Gene-Phenotype Associations	mgimpo	abnormal depression-related behavior	0.026814	0.53867	1	0	1		abnormal depression-related behavior
MPO Gene-Phenotype Associations	mgimpo	enhanced behavioral response to morphine	0.012658	0.6039	1	0	1		enhanced behavioral response to morphine
MPO Gene-Phenotype Associations	mgimpo	abnormal neuron differentiation	0.0091874	1	1	0	1		abnormal neuron differentiation
MPO Gene-Phenotype Associations	mgimpo	decreased trophoblast giant cell number	-0.0034708	1	1	0	-1		decreased trophoblast giant cell number
MPO Gene-Phenotype Associations	mgimpo	abnormal endoderm development	-0.0076902	1	1	0	-1		abnormal endoderm development
MPO Gene-Phenotype Associations	mgimpo	abnormal trachea morphology	0.025316	0.3498	1	0	1		abnormal trachea morphology
MPO Gene-Phenotype Associations	mgimpo	vertebral transformation	-0.0034708	1	1	0	-1		vertebral transformation
MPO Gene-Phenotype Associations	mgimpo	short vertebral column	-0.0076902	1	1	0	-1		short vertebral column
MPO Gene-Phenotype Associations	mgimpo	abnormal vertebral body morphology	-0.023819	0.19271	1	0	-1		abnormal vertebral body morphology
MPO Gene-Phenotype Associations	mgimpo	spina bifida	-0.023819	0.19188	1	0	-1		spina bifida
MPO Gene-Phenotype Associations	mgimpo	abnormal palatine bone morphology	0.012658	0.60833	1	0	1		abnormal palatine bone morphology
MPO Gene-Phenotype Associations	mgimpo	abnormal squamosal bone morphology	0.012658	0.60883	1	0	1		abnormal squamosal bone morphology
MPO Gene-Phenotype Associations	mgimpo	impaired wound healing	0.0007486	1	1	0	1		impaired wound healing
MPO Gene-Phenotype Associations	mgimpo	delayed wound healing	0.0091874	1	1	0	1		delayed wound healing
MPO Gene-Phenotype Associations	mgimpo	abnormal wound healing	0.028311	0.61679	1	0	1		abnormal wound healing
MPO Gene-Phenotype Associations	mgimpo	increased systemic arterial diastolic blood pressure	0.0091874	1	1	0	1		increased systemic arterial diastolic blood pressure
MPO Gene-Phenotype Associations	mgimpo	altered response of heart to induced stress	0.0091874	1	1	0	1		altered response of heart to induced stress
MPO Gene-Phenotype Associations	mgimpo	abnormal response to injury	0.065061	0.27156	1	0	1		abnormal response to injury
MPO Gene-Phenotype Associations	mgimpo	decreased myocardial infarction size	0.0007486	1	1	0	1		decreased myocardial infarction size
MPO Gene-Phenotype Associations	mgimpo	cardiac interstitial fibrosis	0.016878	0.58597	1	0	1		cardiac interstitial fibrosis
MPO Gene-Phenotype Associations	mgimpo	abnormal heart right ventricle pressure	0.016878	0.58535	1	0	1		abnormal heart right ventricle pressure
MPO Gene-Phenotype Associations	mgimpo	abnormal vascular permeability	0.029536	0.35405	1	0	1		abnormal vascular permeability
MPO Gene-Phenotype Associations	mgimpo	abnormal retinal vasculature morphology	-0.0069416	1	1	0	-1		abnormal retinal vasculature morphology
MPO Gene-Phenotype Associations	mgimpo	overriding aortic valve	0.012658	0.60878	1	0	1		overriding aortic valve
MPO Gene-Phenotype Associations	mgimpo	heart valve hyperplasia	-0.0076902	1	1	0	-1		heart valve hyperplasia
MPO Gene-Phenotype Associations	mgimpo	abnormal hair follicle development	0.016878	0.58505	1	0	1		abnormal hair follicle development
