dataset	abbreviation	feature	test_statistic	pvalue	pvalue_corrected	is_significant	correlation_sign	preferred_rowstat	similar_features
MiRTarBase microRNA Targets	mirtarbase	mean	-0.00073906	0.57403	1	0	-1	mean	mean|stdv
MiRTarBase microRNA Targets	mirtarbase	hsa-miR-125b-5p	-0.044483	0.094299	1	0	-1		hsa-miR-125b-5p
MiRTarBase microRNA Targets	mirtarbase	hsa-miR-21-5p	0.0040023	1	1	0	1		hsa-miR-21-5p
MiRTarBase microRNA Targets	mirtarbase	hsa-miR-877-5p	-0.0067467	1	1	0	-1		hsa-miR-877-5p
MiRTarBase microRNA Targets	mirtarbase	hsa-miR-222-3p	-0.032361	0.36268	1	0	-1		hsa-miR-222-3p
MiRTarBase microRNA Targets	mirtarbase	hsa-miR-218-5p	0.018182	0.57834	1	0	1		hsa-miR-218-5p
MiRTarBase microRNA Targets	mirtarbase	hsa-let-7d-5p	-0.0067467	1	1	0	-1		hsa-let-7d-5p
MiRTarBase microRNA Targets	mirtarbase	hsa-miR-31-5p	-0.0067467	1	1	0	-1		hsa-miR-31-5p
MiRTarBase microRNA Targets	mirtarbase	hsa-miR-30b-5p	-0.050543	0.04661	1	0	-1		hsa-miR-30b-5p
MiRTarBase microRNA Targets	mirtarbase	hsa-miR-27a-3p	-0.0067467	1	1	0	-1		hsa-miR-27a-3p
MiRTarBase microRNA Targets	mirtarbase	hsa-miR-221-3p	-0.025615	0.24727	1	0	-1		hsa-miR-221-3p
MiRTarBase microRNA Targets	mirtarbase	hsa-miR-204-5p	0.0053745	1	1	0	1		hsa-miR-204-5p
MiRTarBase microRNA Targets	mirtarbase	hsa-miR-935	-0.0067467	1	1	0	-1		hsa-miR-935
MiRTarBase microRNA Targets	mirtarbase	hsa-miR-224-5p	0.024242	0.57208	1	0	1		hsa-miR-224-5p
MiRTarBase microRNA Targets	mirtarbase	hsa-miR-342-3p	-0.0067467	1	1	0	-1		hsa-miR-342-3p
MiRTarBase microRNA Targets	mirtarbase	hsa-miR-20b-5p	0.018182	0.57936	1	0	1		hsa-miR-20b-5p
MiRTarBase microRNA Targets	mirtarbase	hsa-miR-29b-3p	0.011435	1	1	0	1		hsa-miR-29b-3p
MiRTarBase microRNA Targets	mirtarbase	hsa-miR-133b	0.024242	0.57473	1	0	1		hsa-miR-133b
MiRTarBase microRNA Targets	mirtarbase	hsa-miR-133a-3p	-0.013493	0.63564	1	0	-1		hsa-miR-133a-3p
MiRTarBase microRNA Targets	mirtarbase	hsa-miR-141-3p	-0.031675	0.14771	1	0	-1		hsa-miR-141-3p
MiRTarBase microRNA Targets	mirtarbase	hsa-miR-760	-0.00068611	1	1	0	-1		hsa-miR-760
MiRTarBase microRNA Targets	mirtarbase	hsa-miR-27b-3p	0.024242	0.57512	1	0	1		hsa-miR-27b-3p
MiRTarBase microRNA Targets	mirtarbase	hsa-miR-185-5p	0.018182	0.57931	1	0	1		hsa-miR-185-5p
MiRTarBase microRNA Targets	mirtarbase	hsa-miR-708-5p	0.018182	0.57529	1	0	1		hsa-miR-708-5p
MiRTarBase microRNA Targets	mirtarbase	hsa-miR-197-3p	-0.019554	0.59719	1	0	-1		hsa-miR-197-3p
MiRTarBase microRNA Targets	mirtarbase	hsa-miR-148b-3p	0.023556	0.68493	1	0	1		hsa-miR-148b-3p
MiRTarBase microRNA Targets	mirtarbase	hsa-let-7b-5p	-0.0020583	1	1	0	-1		hsa-let-7b-5p
MiRTarBase microRNA Targets	mirtarbase	hsa-let-7a-5p	0.011435	1	1	0	1		hsa-let-7a-5p
MiRTarBase microRNA Targets	mirtarbase	hsa-miR-122-5p	-0.038422	0.15382	1	0	-1		hsa-miR-122-5p
MiRTarBase microRNA Targets	mirtarbase	hsa-miR-484	-0.026987	0.48904	1	0	-1		hsa-miR-484
MiRTarBase microRNA Targets	mirtarbase	hsa-miR-128-3p	-0.038422	0.15417	1	0	-1		hsa-miR-128-3p
MiRTarBase microRNA Targets	mirtarbase	hsa-miR-93-5p	-0.031675	0.14566	1	0	-1		hsa-miR-93-5p
MiRTarBase microRNA Targets	mirtarbase	hsa-miR-124-3p	-0.086335	0.17244	1	0	-1		hsa-miR-124-3p
MiRTarBase microRNA Targets	mirtarbase	hsa-miR-320a	0.029617	0.45922	1	0	1		hsa-miR-320a
MiRTarBase microRNA Targets	mirtarbase	hsa-miR-146a-5p	0.011435	1	1	0	1		hsa-miR-146a-5p
MiRTarBase microRNA Targets	mirtarbase	hsa-miR-106b-5p	0.0053745	1	1	0	1		hsa-miR-106b-5p
MiRTarBase microRNA Targets	mirtarbase	hsa-miR-20a-5p	-0.0067467	1	1	0	-1		hsa-miR-20a-5p
MiRTarBase microRNA Targets	mirtarbase	hsa-miR-375	-0.038422	0.15675	1	0	-1		hsa-miR-375
MiRTarBase microRNA Targets	mirtarbase	hsa-miR-30a-5p	-0.019554	0.59313	1	0	-1		hsa-miR-30a-5p
MiRTarBase microRNA Targets	mirtarbase	hsa-miR-744-5p	0.023556	0.68475	1	0	1		hsa-miR-744-5p
MiRTarBase microRNA Targets	mirtarbase	hsa-miR-324-5p	-0.0067467	1	1	0	-1		hsa-miR-324-5p
MiRTarBase microRNA Targets	mirtarbase	hsa-miR-193b-3p	0.028931	0.53045	1	0	1		hsa-miR-193b-3p
