dataset	abbreviation	feature	test_statistic	pvalue	pvalue_corrected	is_significant	correlation_sign	preferred_rowstat	similar_features
MSigDB Cancer Gene Co-expression Modules	msigdbcomp	PPP1CA	-0.09375	0.01217	0.98613	0	-1		PPP1CA
MSigDB Cancer Gene Co-expression Modules	msigdbcomp	ERH	-0.09375	0.01217	0.98613	0	-1		ERH
MSigDB Cancer Gene Co-expression Modules	msigdbcomp	DEK	-0.09375	0.01224	0.98613	0	-1		DEK
MSigDB Cancer Gene Co-expression Modules	msigdbcomp	PCNA	-0.14654	0.00273	0.98613	0	-1		PCNA
MSigDB Cancer Gene Co-expression Modules	msigdbcomp	HAT1	-0.09375	0.01228	0.98613	0	-1		HAT1
MSigDB Cancer Gene Co-expression Modules	msigdbcomp	SOD1	-0.09375	0.01217	0.98613	0	-1		SOD1
MSigDB Cancer Gene Co-expression Modules	msigdbcomp	MLLT10	0.055385	0.30423	1	0	1		MLLT10|SUPT3H|MAGEA8|CAMK4|ATF2|RAD51D|FSHR|MAGEA9|MDM2|IFNA1|PTPRB|ERCC4|PRKCA|IL16|FAS|BCL2L11
MSigDB Cancer Gene Co-expression Modules	msigdbcomp	AP2M1	-0.033374	0.5949	1	0	-1		AP2M1
MSigDB Cancer Gene Co-expression Modules	msigdbcomp	PSME1	-0.011833	1	1	0	-1		PSME1
MSigDB Cancer Gene Co-expression Modules	msigdbcomp	RAN	-0.074333	0.085689	1	0	-1		RAN
MSigDB Cancer Gene Co-expression Modules	msigdbcomp	BECN1	0.029126	0.57885	1	0	1		BECN1
MSigDB Cancer Gene Co-expression Modules	msigdbcomp	IGFBP1	0.04642	0.45678	1	0	1		IGFBP1
MSigDB Cancer Gene Co-expression Modules	msigdbcomp	JAG1	0.038835	0.57382	1	0	1		JAG1
MSigDB Cancer Gene Co-expression Modules	msigdbcomp	CNTN1	0.038835	0.57118	1	0	1		CNTN1
MSigDB Cancer Gene Co-expression Modules	msigdbcomp	BUB1B	-0.0021238	1	1	0	-1		BUB1B
MSigDB Cancer Gene Co-expression Modules	msigdbcomp	RRM1	-0.064624	0.14353	1	0	-1		RRM1
MSigDB Cancer Gene Co-expression Modules	msigdbcomp	RFC4	-0.011833	1	1	0	-1		RFC4
MSigDB Cancer Gene Co-expression Modules	msigdbcomp	AP3D1	-0.043083	0.239	1	0	-1		AP3D1
MSigDB Cancer Gene Co-expression Modules	msigdbcomp	XRCC6	-0.052791	0.14108	1	0	-1		XRCC6
MSigDB Cancer Gene Co-expression Modules	msigdbcomp	SPI1	-0.011833	1	1	0	-1		SPI1
MSigDB Cancer Gene Co-expression Modules	msigdbcomp	PML	0.017294	1	1	0	1		PML
MSigDB Cancer Gene Co-expression Modules	msigdbcomp	JAK3	0.007585	1	1	0	1		JAK3
MSigDB Cancer Gene Co-expression Modules	msigdbcomp	ITGA2	0.038835	0.57522	1	0	1		ITGA2
MSigDB Cancer Gene Co-expression Modules	msigdbcomp	ATRX	0.048544	0.33767	1	0	1		ATRX
MSigDB Cancer Gene Co-expression Modules	msigdbcomp	SMC4	-0.043083	0.23649	1	0	-1		SMC4
MSigDB Cancer Gene Co-expression Modules	msigdbcomp	MMP1	0.017294	1	1	0	1		MMP1
MSigDB Cancer Gene Co-expression Modules	msigdbcomp	PDCD1	0.029126	0.58114	1	0	1		PDCD1
MSigDB Cancer Gene Co-expression Modules	msigdbcomp	DAP3	-0.033374	0.59073	1	0	-1		DAP3
MSigDB Cancer Gene Co-expression Modules	msigdbcomp	HDAC1	-0.074333	0.087049	1	0	-1		HDAC1
MSigDB Cancer Gene Co-expression Modules	msigdbcomp	UBE2I	-0.043083	0.23608	1	0	-1		UBE2I
MSigDB Cancer Gene Co-expression Modules	msigdbcomp	DCC	0.029126	0.58019	1	0	1		DCC
MSigDB Cancer Gene Co-expression Modules	msigdbcomp	IL13	0.056129	0.45082	1	0	1		IL13
MSigDB Cancer Gene Co-expression Modules	msigdbcomp	DDX11	0.007585	1	1	0	1		DDX11
MSigDB Cancer Gene Co-expression Modules	msigdbcomp	TTN	-0.011833	1	1	0	-1		TTN
MSigDB Cancer Gene Co-expression Modules	msigdbcomp	CSNK2B	-0.064624	0.14634	1	0	-1		CSNK2B
MSigDB Cancer Gene Co-expression Modules	msigdbcomp	STK17A	-0.0042476	1	1	0	-1		STK17A
MSigDB Cancer Gene Co-expression Modules	msigdbcomp	NF1	0.048544	0.34101	1	0	1		NF1
MSigDB Cancer Gene Co-expression Modules	msigdbcomp	ESPL1	-0.043083	0.23785	1	0	-1		ESPL1
MSigDB Cancer Gene Co-expression Modules	msigdbcomp	RAB3A	0.048544	0.33654	1	0	1		RAB3A
MSigDB Cancer Gene Co-expression Modules	msigdbcomp	RFC5	-0.052791	0.14046	1	0	-1		RFC5
MSigDB Cancer Gene Co-expression Modules	msigdbcomp	LTK	0.036711	0.67912	1	0	1		LTK
MSigDB Cancer Gene Co-expression Modules	msigdbcomp	PRKCG	0.029126	0.58172	1	0	1		PRKCG
MSigDB Cancer Gene Co-expression Modules	msigdbcomp	CDK13	0.038835	0.57184	1	0	1		CDK13
MSigDB Cancer Gene Co-expression Modules	msigdbcomp	PPP1CC	-0.043083	0.23698	1	0	-1		PPP1CC
MSigDB Cancer Gene Co-expression Modules	msigdbcomp	PFN1	-0.011833	1	1	0	-1		PFN1
MSigDB Cancer Gene Co-expression Modules	msigdbcomp	RBM8A	0.017294	1	1	0	1		RBM8A
MSigDB Cancer Gene Co-expression Modules	msigdbcomp	APEX1	-0.011833	1	1	0	-1		APEX1
MSigDB Cancer Gene Co-expression Modules	msigdbcomp	PTX3	-0.0021238	1	1	0	-1		PTX3
MSigDB Cancer Gene Co-expression Modules	msigdbcomp	HCK	-0.043083	0.23948	1	0	-1		HCK
MSigDB Cancer Gene Co-expression Modules	msigdbcomp	PTPRR	-0.013956	1	1	0	-1		PTPRR
MSigDB Cancer Gene Co-expression Modules	msigdbcomp	ESR1	0.01886	0.83621	1	0	1		ESR1|RUNX1
MSigDB Cancer Gene Co-expression Modules	msigdbcomp	BCL2	0.01517	1	1	0	1		BCL2
MSigDB Cancer Gene Co-expression Modules	msigdbcomp	PPP2R5B	-0.0021238	1	1	0	-1		PPP2R5B
MSigDB Cancer Gene Co-expression Modules	msigdbcomp	HMGA2	0.013903	0.77685	1	0	1		HMGA2|SMARCD1
MSigDB Cancer Gene Co-expression Modules	msigdbcomp	ACTG1	-0.020935	0.56584	1	0	-1		ACTG1|NPM1
MSigDB Cancer Gene Co-expression Modules	msigdbcomp	CYP2B6	0.038835	0.57439	1	0	1		CYP2B6
MSigDB Cancer Gene Co-expression Modules	msigdbcomp	DMPK	-0.0042476	1	1	0	-1		DMPK
MSigDB Cancer Gene Co-expression Modules	msigdbcomp	THPO	-0.0042476	1	1	0	-1		THPO
MSigDB Cancer Gene Co-expression Modules	msigdbcomp	FANCC	0.014953	0.79641	1	0	1		FANCC|RING1
