dataset	abbreviation	feature	test_statistic	pvalue	pvalue_corrected	is_significant	correlation_sign	preferred_rowstat	similar_features
NURSA Protein Complexes	nursa	mean	-0.018519	0.46757	1	0	-1	mean	mean|stdv
NURSA Protein Complexes	nursa	BL2150 (TPR)	-0.01072	1	1	0	-1		BL2150 (TPR)
NURSA Protein Complexes	nursa	BL462 (RBM39)	-0.01072	1	1	0	-1		BL462 (RBM39)
NURSA Protein Complexes	nursa	BL1804 (MTA1)	-0.040132	0.24525	1	0	-1		BL1804 (MTA1)
NURSA Protein Complexes	nursa	BL1115 (CENPJ)	-0.01072	1	1	0	-1		BL1115 (CENPJ)
NURSA Protein Complexes	nursa	BL3195 (CDX2)	-0.049478	0.14528	1	0	-1		BL3195 (CDX2)
NURSA Protein Complexes	nursa	BL5480 (BRD3)	-0.01072	1	1	0	-1		BL5480 (BRD3)
NURSA Protein Complexes	nursa	BL2751 (SNW1)	-0.01072	1	1	0	-1		BL2751 (SNW1)
NURSA Protein Complexes	nursa	BL8921 (RPS6KA1)	0.028037	0.57782	1	0	1		BL8921 (RPS6KA1)
NURSA Protein Complexes	nursa	BL2370 (SYK)	-0.01072	1	1	0	-1		BL2370 (SYK)
NURSA Protein Complexes	nursa	BL7008 (ZNF768)	0.028037	0.57558	1	0	1		BL7008 (ZNF768)
NURSA Protein Complexes	nursa	BL4146 (USP36)	-0.040132	0.2465	1	0	-1		BL4146 (USP36)
NURSA Protein Complexes	nursa	BL6059 (WDR91)	-0.01072	1	1	0	-1		BL6059 (WDR91)
NURSA Protein Complexes	nursa	a-SKI (SKI)	-0.01072	1	1	0	-1		a-SKI (SKI)
NURSA Protein Complexes	nursa	BL1664 ()	-0.01072	1	1	0	-1		BL1664 ()
NURSA Protein Complexes	nursa	BL4677 (DBF4)	0.028037	0.57371	1	0	1		BL4677 (DBF4)
NURSA Protein Complexes	nursa	BL969 (TRPM2)	-0.01072	1	1	0	-1		BL969 (TRPM2)
NURSA Protein Complexes	nursa	BL698 (DIDO1)	-0.01072	1	1	0	-1		BL698 (DIDO1)
NURSA Protein Complexes	nursa	BL1546 (DYRK2)	-0.0013744	1	1	0	-1		BL1546 (DYRK2)
NURSA Protein Complexes	nursa	BL1239 (MAML1)	-0.098955	0.02929	1	0	-1		BL1239 (MAML1)
NURSA Protein Complexes	nursa	BL2000 (RIF1)	-0.069544	0.090779	1	0	-1		BL2000 (RIF1)
NURSA Protein Complexes	nursa	BL1738 (CARM1)	-0.069544	0.091469	1	0	-1		BL1738 (CARM1)
NURSA Protein Complexes	nursa	BL2133 (SSBP3)	-0.012095	1	1	0	-1		BL2133 (SSBP3)
NURSA Protein Complexes	nursa	BL2794 (TRIM24)	-0.040132	0.2465	1	0	-1		BL2794 (TRIM24)
NURSA Protein Complexes	nursa	BL1707 (PHB2)	-0.069544	0.091469	1	0	-1		BL1707 (PHB2)
NURSA Protein Complexes	nursa	BL1025 (INTS7)	-0.0013744	1	1	0	-1		BL1025 (INTS7)
NURSA Protein Complexes	nursa	a-BARD1 (BARD1)	-0.050852	0.35684	1	0	-1		a-BARD1 (BARD1)
NURSA Protein Complexes	nursa	BL1794 (BCL11A)	-0.040132	0.24525	1	0	-1		BL1794 (BCL11A)
NURSA Protein Complexes	nursa	BL8110 (RAD54L2)	-0.11902	0.0197	1	0	-1		BL8110 (RAD54L2)
NURSA Protein Complexes	nursa	BL2451 (TGFB1I1)	-0.069544	0.091469	1	0	-1		BL2451 (TGFB1I1)
NURSA Protein Complexes	nursa	BL2378 (RFWD3)	-0.060198	0.15105	1	0	-1		BL2378 (RFWD3)
NURSA Protein Complexes	nursa	SC-25359 (FOXO4)	-0.01072	1	1	0	-1		SC-25359 (FOXO4)
NURSA Protein Complexes	nursa	BL8995 (CASC3)	0.028037	0.57782	1	0	1		BL8995 (CASC3)
NURSA Protein Complexes	nursa	BL1734 (TBL1XR1)	-0.069544	0.091469	1	0	-1		BL1734 (TBL1XR1)
NURSA Protein Complexes	nursa	BL892 (BLM)	-0.049478	0.14523	1	0	-1		BL892 (BLM)
NURSA Protein Complexes	nursa	BL1020 (FAM184B)	-0.01072	1	1	0	-1		BL1020 (FAM184B)
NURSA Protein Complexes	nursa	BL5895 (MAP4K4)	-0.060198	0.151	1	0	-1		BL5895 (MAP4K4)
NURSA Protein Complexes	nursa	BL6524 (BRAF)	-0.030786	0.59353	1	0	-1		BL6524 (BRAF)
NURSA Protein Complexes	nursa	BL2466 (NCOA7)	0.0079714	1	1	0	1		BL2466 (NCOA7)
NURSA Protein Complexes	nursa	BL169 (TP53)	-0.049478	0.14477	1	0	-1		BL169 (TP53)
NURSA Protein Complexes	nursa	UHRF1 (UHRF2)	-0.049478	0.14528	1	0	-1		UHRF1 (UHRF2)
NURSA Protein Complexes	nursa	BL6443 (CCNT2)	-0.060198	0.15041	1	0	-1		BL6443 (CCNT2)
NURSA Protein Complexes	nursa	BL1327 (FOXO3)	-0.069544	0.091469	1	0	-1		BL1327 (FOXO3)
NURSA Protein Complexes	nursa	BL759 (BANP)	-0.069544	0.091469	1	0	-1		BL759 (BANP)
NURSA Protein Complexes	nursa	BL5966 (RANBP3)	-0.08961	0.058169	1	0	-1		BL5966 (RANBP3)
NURSA Protein Complexes	nursa	BL5826 (ORC6L)	-0.040132	0.24525	1	0	-1		BL5826 (ORC6L)
NURSA Protein Complexes	nursa	BL3961 (PES1)	-0.01072	1	1	0	-1		BL3961 (PES1)
NURSA Protein Complexes	nursa	BL1601 (TSC1)	-0.08961	0.059229	1	0	-1		BL1601 (TSC1)
NURSA Protein Complexes	nursa	BL2155 (USP34)	-0.01072	1	1	0	-1		BL2155 (USP34)
NURSA Protein Complexes	nursa	BL437 (NCOA2)	-0.02144	0.63044	1	0	-1		BL437 (NCOA2)
NURSA Protein Complexes	nursa	BL2507 (TLK1)	-0.050852	0.36105	1	0	-1		BL2507 (TLK1)
NURSA Protein Complexes	nursa	BL2640 (TERF2)	-0.040132	0.2465	1	0	-1		BL2640 (TERF2)
NURSA Protein Complexes	nursa	BL508 (BRE)	-0.060198	0.1516	1	0	-1		BL508 (BRE)
NURSA Protein Complexes	nursa	BL8472 (MADD)	-0.040132	0.2465	1	0	-1		BL8472 (MADD)
NURSA Protein Complexes	nursa	CBC171 (AGAP3)	-0.069544	0.091469	1	0	-1		CBC171 (AGAP3)
NURSA Protein Complexes	nursa	BL9277 (PIK3R4)	-0.040132	0.24525	1	0	-1		BL9277 (PIK3R4)
NURSA Protein Complexes	nursa	BL1098 (DYRK3)	-0.01072	1	1	0	-1		BL1098 (DYRK3)
NURSA Protein Complexes	nursa	BL6417 (BCR)	-0.01072	1	1	0	-1		BL6417 (BCR)
NURSA Protein Complexes	nursa	BL3172 (MAVS)	-0.01072	1	1	0	-1		BL3172 (MAVS)
NURSA Protein Complexes	nursa	BRD4-N (BRD4)	-0.01072	1	1	0	-1		BRD4-N (BRD4)
NURSA Protein Complexes	nursa	BL6869 (CEP192)	-0.0013744	1	1	0	-1		BL6869 (CEP192)
NURSA Protein Complexes	nursa	BL906 (TP73)	0.0079714	1	1	0	1		BL906 (TP73)
NURSA Protein Complexes	nursa	BL4934 (TRIM47)	-0.01072	1	1	0	-1		BL4934 (TRIM47)
NURSA Protein Complexes	nursa	BL2016 (AGAP3)	-0.040132	0.24679	1	0	-1		BL2016 (AGAP3)
NURSA Protein Complexes	nursa	BL1100 (HIPK2)	-0.01072	1	1	0	-1		BL1100 (HIPK2)
NURSA Protein Complexes	nursa	BL2594 (PIAS2)	-0.040132	0.24531	1	0	-1		BL2594 (PIAS2)
NURSA Protein Complexes	nursa	BL7129 (CCDC124)	-0.040132	0.2465	1	0	-1		BL7129 (CCDC124)
NURSA Protein Complexes	nursa	CBC552 (TACC3)	0.0079714	1	1	0	1		CBC552 (TACC3)
NURSA Protein Complexes	nursa	BL328 (RFXANK)	-0.040132	0.2465	1	0	-1		BL328 (RFXANK)
NURSA Protein Complexes	nursa	BL1801 (BCL11B)	-0.040132	0.2465	1	0	-1		BL1801 (BCL11B)
NURSA Protein Complexes	nursa	BL1789 (PAXIP1)	-0.060198	0.15203	1	0	-1		BL1789 (PAXIP1)
NURSA Protein Complexes	nursa	BL2881 (CHEK2)	-0.01072	1	1	0	-1		BL2881 (CHEK2)
NURSA Protein Complexes	nursa	BL2928 (BHLHE40)	-0.040132	0.24525	1	0	-1		BL2928 (BHLHE40)
NURSA Protein Complexes	nursa	SC-67285 (PPARGC1B)	-0.040132	0.2465	1	0	-1		SC-67285 (PPARGC1B)
NURSA Protein Complexes	nursa	BL6425 (CCNH)	-0.030786	0.59353	1	0	-1		BL6425 (CCNH)
NURSA Protein Complexes	nursa	BL2118 (MYST1)	-0.0013744	1	1	0	-1		BL2118 (MYST1)
NURSA Protein Complexes	nursa	BL5963 (RAF1)	-0.069544	0.091469	1	0	-1		BL5963 (RAF1)
NURSA Protein Complexes	nursa	SC-48788 (FOXG1)	-0.098955	0.0293	1	0	-1		SC-48788 (FOXG1)
NURSA Protein Complexes	nursa	BL1870 (TRIP4)	-0.069544	0.091869	1	0	-1		BL1870 (TRIP4)
NURSA Protein Complexes	nursa	BL436 (NCOA2)	-0.14843	0.0060899	1	0	-1		BL436 (NCOA2)
NURSA Protein Complexes	nursa	BL4607 (SAFB2)	-0.078889	0.04371	1	0	-1		BL4607 (SAFB2)
NURSA Protein Complexes	nursa	BL5619 (DAXX)	-0.08961	0.058139	1	0	-1		BL5619 (DAXX)
NURSA Protein Complexes	nursa	BL1111 (CENPF)	-0.040132	0.2465	1	0	-1		BL1111 (CENPF)
NURSA Protein Complexes	nursa	BL2255 (PRKRIR)	-0.060198	0.1519	1	0	-1		BL2255 (PRKRIR)
