dataset	abbreviation	feature	test_statistic	pvalue	pvalue_corrected	is_significant	correlation_sign	preferred_rowstat	similar_features
Reactome Pathways	reactome	Integrin cell surface interactions	-0.08542	0.00053999	0.24432	0	-1		Integrin cell surface interactions
Reactome Pathways	reactome	Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell	-0.074627	0.00032	0.24432	0	-1		Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell
Reactome Pathways	reactome	FRS-mediated FGFR2 signaling	-0.00092274	0.50056	1	0	-1	mean	FRS-mediated FGFR2 signaling|FRS-mediated FGFR4 signaling|FRS-mediated FGFR3 signaling|FRS-mediated FGFR1 signaling|GRB2 events in EGFR signaling|SHC1 events in EGFR signaling|SHC1 events in ERBB4 signaling|SOS-mediated signalling|RAF/MAP kinase cascade|ARMS-mediated activation|Frs2-mediated activation|Interleukin receptor SHC signaling|Signalling to p38 via RIT and RIN|MAPK1/MAPK3 signaling|Prolonged ERK activation events|Signaling by Leptin|VEGFR2 mediated cell proliferation|Interleukin-2 signaling|Signalling to RAS|Interleukin-3, 5 and GM-CSF signaling|Signalling to ERKs|Signaling by SCF-KIT|Signaling by ERBB4|Downstream signaling of activated FGFR2|Downstream signaling of activated FGFR4|Downstream signaling of activated FGFR3|Signaling by FGFR4|Downstream signaling of activated FGFR1|Signaling by FGFR3|Signaling by FGFR1|Downstream signal transduction|IRS-mediated signalling|Insulin receptor signalling cascade|DAP12 signaling|NCAM signaling for neurite out-growth|Signaling by EGFR|DAP12 interactions|Signaling by FGFR2|Signaling by PDGF|Signaling by FGFR|NGF signalling via TRKA from the plasma membrane|Fc epsilon receptor (FCERI) signaling|IRS-related events triggered by IGF1R|Signaling by Type 1 Insulin-like Growth Factor 1 Receptor (IGF1R)|IGF1R signaling cascade|MAPK family signaling cascades|FCERI mediated MAPK activation|VEGFA-VEGFR2 Pathway|Signaling by VEGF|Signaling by Insulin receptor|mean|Signalling by NGF|Signaling by Interleukins|Gastrin-CREB signalling pathway via PKC and MAPK
Reactome Pathways	reactome	GPVI-mediated activation cascade	-0.013322	0.61383	1	0	-1		GPVI-mediated activation cascade
Reactome Pathways	reactome	TNFs bind their physiological receptors	-0.0066609	1	1	0	-1		TNFs bind their physiological receptors
Reactome Pathways	reactome	Activation of NMDA receptor upon glutamate binding and postsynaptic events	-0.0066609	1	1	0	-1		Activation of NMDA receptor upon glutamate binding and postsynaptic events
Reactome Pathways	reactome	Unblocking of NMDA receptor, glutamate binding and activation	-0.0066609	1	1	0	-1		Unblocking of NMDA receptor, glutamate binding and activation
Reactome Pathways	reactome	SALM protein interactions at the synapse	-0.0066609	1	1	0	-1		SALM protein interactions at the synapse
Reactome Pathways	reactome	Potassium Channels	-0.017454	0.59176	1	0	-1		Potassium Channels
Reactome Pathways	reactome	FCERI mediated Ca+2 mobilization	-0.0066609	1	1	0	-1		FCERI mediated Ca+2 mobilization
Reactome Pathways	reactome	Amyloid fiber formation	-0.021586	0.20553	1	0	-1		Amyloid fiber formation
Reactome Pathways	reactome	Ligand-gated ion channel transport	-0.0066609	1	1	0	-1		Ligand-gated ion channel transport
Reactome Pathways	reactome	Glucose metabolism	-0.025719	0.11911	1	0	-1		Glucose metabolism
