dataset	abbreviation	feature	test_statistic	pvalue	pvalue_corrected	is_significant	correlation_sign	preferred_rowstat	similar_features
BioGPS Human Cell Type and Tissue Gene Expression Profiles - Cleaned	biogpshuman_cleaned	mean	-0.41801	0.00048	0.00144	1	-1	mean	mean|FetalThyroid|Pituitary|AdrenalCortex|Spinalcord|ParietalLobe|UterusCorpus|Pons|Tonsil|Appendix|Adrenalgland|Thalamus|CerebellumPeduncles|Adipocyte|TemporalLobe|PancreaticIslet|Salivarygland|CingulateCortex|Hypothalamus|Tongue|TrigeminalGanglion|SubthalamicNucleus|Caudatenucleus|DorsalRootGanglion|Bonemarrow|MedullaOblongata|SmoothMuscle|OlfactoryBulb|Trachea|Lymphnode|colon|OccipitalLobe|Prostate|Skin|Fetalbrain|Pancreas|Uterus|TestisLeydigCell|Amygdala|Leukemia_chronicMyelogenousK-562|Colorectaladenocarcinoma|Kidney|Thyroid|AtrioventricularNode|small_intestine|Cerebellum|retina|BronchialEpithelialCells|SuperiorCervicalGanglion|Lymphoma_burkitts(Daudi)|Fetalliver|SkeletalMuscle|Leukemia_promyelocytic-HL-60|Fetallung|PrefrontalCortex|TestisSeminiferousTubule|Thymus|Placenta|Lung|CD105+_Endothelial|pineal_night|pineal_day|Wholebrain|Leukemialymphoblastic(MOLT-4)|WholeBlood|CardiacMyocytes|CD19+_BCells(neg._sel.)|Lymphoma_burkitts(Raji)|Heart|TestisIntersitial|CD71+_EarlyErythroid|CD14+_Monocytes|CD4+_Tcells|Testis|TestisGermCell|CD34+|CD33+_Myeloid|Liver|CD8+_Tcells|CD56+_NKCells|BDCA4+_DentriticCells|CiliaryGanglion|GlobusPallidus|Ovary|721_B_lymphoblasts
BioGPS Human Cell Type and Tissue Gene Expression Profiles - Cleaned	biogpshuman_cleaned	stdv	-0.12763	0.0069699	0.010455	1	-1	stdv	stdv
BioGPS Mouse Cell Type and Tissue Gene Expression Profiles - Cleaned	biogpsmouse_cleaned	mean	-0.2858	0.01432	0.04296	1	-1	mean	mean|mammarygland.lact.|adrenalgland|uterus|bladder|pituitary|prostate|embryoday8.5|ovary|heart|salivarygland|stomach|embryoday10.5|embryoday7.5|adiposetissue|embryoday9.5|embryoday6.5|placenta|trigeminal|septal organ|brownfat|epidermis|septum (resp epith)|lymphnode|vomeralnasalorgan.VMO.|spinalcordupper|umbilicalcord|retina|thyroid|skeletalmuscle|bone|nih 3T3|lung|thymus|dorsalrootganglion|spleen|largeintestine|cd8.Tcell|osteoblasts|bonemarrow|neuro2a|cd4.Tcell|blastocysts|kidney|hypothalamus|digits|hippocampus|tongueepidermis|embryonic stem no feeder|osteoclasts|dorsalstriatum|cerebellum|embryonic stem feeder layer|mainolfactoryepithelium.MOE.|mast cells|b220.bcell|c2c12|smallintestine|macrophage|liver|M-1|pancreas|spinalcordlower|substantianigra|trachea|cerebralcortex|olfactorybulb|frontalcortex|cortex|amygdala|snoutepidermis|preoptic|oocyte|fertilizedegg|testis
BioGPS Mouse Cell Type and Tissue Gene Expression Profiles - Cleaned	biogpsmouse_cleaned	stdv	-0.04259	0.31854	0.47781	0	-1	stdv	stdv
BioGRID Protein-Protein Interactions	biogrid	ITGA4	-0.11098	4e-05	0.3549	0	-1		ITGA4|VCAM1
BioGRID Protein-Protein Interactions	biogrid	DDX17	-0.10029	0.00012	0.53234	0	-1		DDX17
BioGRID Protein-Protein Interactions	biogrid	NPM1	-0.10685	0.00029	0.75416	0	-1		NPM1
BioGRID Protein-Protein Interactions	biogrid	RPS19	-0.074627	0.00050999	0.75416	0	-1		RPS19
BioGRID Protein-Protein Interactions	biogrid	stdv	-0.01727	0.00038	0.75416	0	-1	stdv	stdv|UBC
BioGRID Protein-Protein Interactions	biogrid	HNRNPA2B1	-0.096109	0.00046	0.75416	0	-1		HNRNPA2B1
