dataset	abbreviation	feature	test_statistic	pvalue	pvalue_corrected	is_significant	correlation_sign	preferred_rowstat	similar_features
TargetScan Predicted Conserved microRNA Targets - Cleaned	targetscan_cleaned	hsa-miR-548w	0.023479	0.27301	1	0	1		hsa-miR-548w|hsa-miR-548c-5p|hsa-miR-548ak|hsa-miR-548d-5p|hsa-miR-548b-5p|hsa-miR-548h|hsa-miR-548y|hsa-miR-548a-5p|hsa-miR-548j|hsa-miR-548ab|hsa-miR-548i|hsa-miR-559
TargetScan Predicted Conserved microRNA Targets - Cleaned	targetscan_cleaned	hsa-miR-633	-0.026873	0.083499	1	0	-1		hsa-miR-633
TargetScan Predicted Conserved microRNA Targets - Cleaned	targetscan_cleaned	hsa-miR-3166	0.010448	0.60397	1	0	1		hsa-miR-3166
TargetScan Predicted Conserved microRNA Targets - Cleaned	targetscan_cleaned	hsa-miR-3124-3p	-0.0026166	0.83348	1	0	-1		hsa-miR-3124-3p
TargetScan Predicted Conserved microRNA Targets - Cleaned	targetscan_cleaned	hsa-miR-4793-3p	0.015471	0.58255	1	0	1		hsa-miR-4793-3p
TargetScan Predicted Conserved microRNA Targets - Cleaned	targetscan_cleaned	hsa-miR-4717-3p	0.019013	0.3787	1	0	1		hsa-miR-4717-3p
TargetScan Predicted Conserved microRNA Targets - Cleaned	targetscan_cleaned	hsa-miR-3185	0.0045516	0.86773	1	0	1		hsa-miR-3185
TargetScan Predicted Conserved microRNA Targets - Cleaned	targetscan_cleaned	hsa-miR-1256	-0.01848	0.19771	1	0	-1		hsa-miR-1256
TargetScan Predicted Conserved microRNA Targets - Cleaned	targetscan_cleaned	hsa-miR-3126-3p	-0.028489	0.04439	1	0	-1		hsa-miR-3126-3p
TargetScan Predicted Conserved microRNA Targets - Cleaned	targetscan_cleaned	hsa-miR-4679	0.011298	0.58123	1	0	1		hsa-miR-4679
TargetScan Predicted Conserved microRNA Targets - Cleaned	targetscan_cleaned	hsa-miR-3121-5p	0.0023288	0.83839	1	0	1		hsa-miR-3121-5p
TargetScan Predicted Conserved microRNA Targets - Cleaned	targetscan_cleaned	hsa-miR-4717-5p	-0.02565	0.11449	1	0	-1		hsa-miR-4717-5p
TargetScan Predicted Conserved microRNA Targets - Cleaned	targetscan_cleaned	hsa-miR-4521	-0.014442	0.33755	1	0	-1		hsa-miR-4521
TargetScan Predicted Conserved microRNA Targets - Cleaned	targetscan_cleaned	hsa-miR-4645-3p	0.0079776	0.6471	1	0	1		hsa-miR-4645-3p
TargetScan Predicted Conserved microRNA Targets - Cleaned	targetscan_cleaned	hsa-miR-892b	-0.009633	0.49273	1	0	-1		hsa-miR-892b
TargetScan Predicted Conserved microRNA Targets - Cleaned	targetscan_cleaned	hsa-miR-4327	0.0028423	0.75264	1	0	1		hsa-miR-4327
TargetScan Predicted Conserved microRNA Targets - Cleaned	targetscan_cleaned	hsa-miR-501-5p	0.015605	0.38339	1	0	1		hsa-miR-501-5p
TargetScan Predicted Conserved microRNA Targets - Cleaned	targetscan_cleaned	hsa-miR-4689	-0.0056196	0.86964	1	0	-1		hsa-miR-4689
TargetScan Predicted Conserved microRNA Targets - Cleaned	targetscan_cleaned	hsa-miR-4299	0.00044768	1	1	0	1		hsa-miR-4299
TargetScan Predicted Conserved microRNA Targets - Cleaned	targetscan_cleaned	hsa-miR-4456	0.0092646	0.61871	1	0	1		hsa-miR-4456
TargetScan Predicted Conserved microRNA Targets - Cleaned	targetscan_cleaned	hsa-miR-3668	-0.0072414	0.86807	1	0	-1		hsa-miR-3668
TargetScan Predicted Conserved microRNA Targets - Cleaned	targetscan_cleaned	hsa-miR-4753-5p	-0.025671	0.04331	1	0	-1		hsa-miR-4753-5p
TargetScan Predicted Conserved microRNA Targets - Cleaned	targetscan_cleaned	hsa-miR-4766-3p	-0.00038714	0.98222	1	0	-1		hsa-miR-4766-3p
TargetScan Predicted Conserved microRNA Targets - Cleaned	targetscan_cleaned	hsa-miR-4733-3p	-0.018078	0.38965	1	0	-1		hsa-miR-4733-3p
TargetScan Predicted Conserved microRNA Targets - Cleaned	targetscan_cleaned	hsa-miR-4769-3p	0.002355	0.80447	1	0	1		hsa-miR-4769-3p
TargetScan Predicted Conserved microRNA Targets - Cleaned	targetscan_cleaned	hsa-miR-3152-5p	0.00010164	1	1	0	1		hsa-miR-3152-5p
TargetScan Predicted Conserved microRNA Targets - Cleaned	targetscan_cleaned	hsa-miR-361-3p	0.0074888	0.7353	1	0	1		hsa-miR-361-3p
TargetScan Predicted Conserved microRNA Targets - Cleaned	targetscan_cleaned	hsa-miR-3152-3p	-0.019149	0.11368	1	0	-1		hsa-miR-3152-3p
TargetScan Predicted Conserved microRNA Targets - Cleaned	targetscan_cleaned	hsa-miR-1305	0.023347	0.26079	1	0	1		hsa-miR-1305
TargetScan Predicted Conserved microRNA Targets - Cleaned	targetscan_cleaned	hsa-miR-659	-0.021811	0.03692	1	0	-1		hsa-miR-659
TargetScan Predicted Conserved microRNA Targets - Cleaned	targetscan_cleaned	hsa-miR-548k	0.02167	0.3495	1	0	1		hsa-miR-548k
TargetScan Predicted Conserved microRNA Targets - Cleaned	targetscan_cleaned	hsa-miR-4528	-0.012067	0.45797	1	0	-1		hsa-miR-4528
TargetScan Predicted Conserved microRNA Targets - Cleaned	targetscan_cleaned	hsa-miR-4261	0.025131	0.24473	1	0	1		hsa-miR-4261
TargetScan Predicted Conserved microRNA Targets - Cleaned	targetscan_cleaned	hsa-miR-4666-5p	0.016943	0.39291	1	0	1		hsa-miR-4666-5p
TargetScan Predicted Conserved microRNA Targets - Cleaned	targetscan_cleaned	hsa-miR-889	0.0066562	0.80372	1	0	1		hsa-miR-889
TargetScan Predicted Conserved microRNA Targets - Cleaned	targetscan_cleaned	hsa-miR-622	0.0078901	0.78646	1	0	1		hsa-miR-622
TargetScan Predicted Conserved microRNA Targets - Cleaned	targetscan_cleaned	hsa-miR-491-3p	0.0040635	0.78757	1	0	1		hsa-miR-491-3p
TargetScan Predicted Conserved microRNA Targets - Cleaned	targetscan_cleaned	hsa-miR-4316	-0.0034223	0.8722	1	0	-1		hsa-miR-4316
TargetScan Predicted Conserved microRNA Targets - Cleaned	targetscan_cleaned	hsa-miR-4660	-0.013951	0.092299	1	0	-1		hsa-miR-4660
TargetScan Predicted Conserved microRNA Targets - Cleaned	targetscan_cleaned	hsa-miR-942	-0.011756	0.50315	1	0	-1		hsa-miR-942
TargetScan Predicted Conserved microRNA Targets - Cleaned	targetscan_cleaned	hsa-miR-217	0.015919	0.58124	1	0	1		hsa-miR-217
TargetScan Predicted Conserved microRNA Targets - Cleaned	targetscan_cleaned	hsa-miR-298	-0.014188	0.43969	1	0	-1		hsa-miR-298
TargetScan Predicted Conserved microRNA Targets - Cleaned	targetscan_cleaned	hsa-miR-583	0.0081166	0.73413	1	0	1		hsa-miR-583
TargetScan Predicted Conserved microRNA Targets - Cleaned	targetscan_cleaned	hsa-miR-595	0.015112	0.58442	1	0	1		hsa-miR-595
TargetScan Predicted Conserved microRNA Targets - Cleaned	targetscan_cleaned	hsa-miR-1284	0.0089851	0.60206	1	0	1		hsa-miR-1284
TargetScan Predicted Conserved microRNA Targets - Cleaned	targetscan_cleaned	hsa-miR-556-3p	-0.0015867	0.85405	1	0	-1		hsa-miR-556-3p
TargetScan Predicted Conserved microRNA Targets - Cleaned	targetscan_cleaned	hsa-miR-3935	0.0060538	0.73419	1	0	1		hsa-miR-3935
TargetScan Predicted Conserved microRNA Targets - Cleaned	targetscan_cleaned	hsa-miR-1245	-0.020837	0.086469	1	0	-1		hsa-miR-1245
TargetScan Predicted Conserved microRNA Targets - Cleaned	targetscan_cleaned	hsa-miR-4461	0.014439	0.4723	1	0	1		hsa-miR-4461
TargetScan Predicted Conserved microRNA Targets - Cleaned	targetscan_cleaned	hsa-miR-2115	-0.0034238	0.8958	1	0	-1		hsa-miR-2115
TargetScan Predicted Conserved microRNA Targets - Cleaned	targetscan_cleaned	hsa-miR-1276	-0.027557	0.056869	1	0	-1		hsa-miR-1276
TargetScan Predicted Conserved microRNA Targets - Cleaned	targetscan_cleaned	hsa-miR-4761-5p	-0.018631	0.11528	1	0	-1		hsa-miR-4761-5p
TargetScan Predicted Conserved microRNA Targets - Cleaned	targetscan_cleaned	hsa-miR-1206	-0.0090673	0.37962	1	0	-1		hsa-miR-1206
TargetScan Predicted Conserved microRNA Targets - Cleaned	targetscan_cleaned	hsa-miR-4786-3p	0.01	0.52522	1	0	1		hsa-miR-4786-3p
TargetScan Predicted Conserved microRNA Targets - Cleaned	targetscan_cleaned	hsa-miR-2278	0.0002571	1	1	0	1		hsa-miR-2278
TargetScan Predicted Conserved microRNA Targets - Cleaned	targetscan_cleaned	hsa-miR-2116	0.0049327	0.5966	1	0	1		hsa-miR-2116
TargetScan Predicted Conserved microRNA Targets - Cleaned	targetscan_cleaned	hsa-miR-616	0.017937	0.49689	1	0	1		hsa-miR-616
TargetScan Predicted Conserved microRNA Targets - Cleaned	targetscan_cleaned	hsa-miR-138	0.0041218	0.81348	1	0	1		hsa-miR-138
TargetScan Predicted Conserved microRNA Targets - Cleaned	targetscan_cleaned	hsa-miR-129-3p	-0.007006	0.68602	1	0	-1		hsa-miR-129-3p
TargetScan Predicted Conserved microRNA Targets - Cleaned	targetscan_cleaned	hsa-miR-4687-5p	-0.023362	0.0465	1	0	-1		hsa-miR-4687-5p
