dataset	abbreviation	feature	test_statistic	pvalue	pvalue_corrected	is_significant	correlation_sign	preferred_rowstat	similar_features
TargetScan Predicted Nonconserved microRNA Targets - Cleaned	targetscannonconserved_cleaned	hsa-miR-548w	-0.003027	0.92712	1	0	-1		hsa-miR-548w|hsa-miR-548c-5p|hsa-miR-548ak|hsa-miR-548d-5p|hsa-miR-548b-5p|hsa-miR-548h|hsa-miR-548y|hsa-miR-548a-5p|hsa-miR-548j|hsa-miR-548ab|hsa-miR-548i|hsa-miR-559
TargetScan Predicted Nonconserved microRNA Targets - Cleaned	targetscannonconserved_cleaned	hsa-miR-375	-0.037976	0.2168	1	0	-1		hsa-miR-375
TargetScan Predicted Nonconserved microRNA Targets - Cleaned	targetscannonconserved_cleaned	hsa-miR-526b	0.025328	0.42197	1	0	1		hsa-miR-526b
TargetScan Predicted Nonconserved microRNA Targets - Cleaned	targetscannonconserved_cleaned	hsa-miR-569	-0.013968	0.61865	1	0	-1		hsa-miR-569
TargetScan Predicted Nonconserved microRNA Targets - Cleaned	targetscannonconserved_cleaned	hsa-miR-337-3p	0.0087903	0.76388	1	0	1		hsa-miR-337-3p
TargetScan Predicted Nonconserved microRNA Targets - Cleaned	targetscannonconserved_cleaned	hsa-miR-3143	0.012589	0.70709	1	0	1		hsa-miR-3143
TargetScan Predicted Nonconserved microRNA Targets - Cleaned	targetscannonconserved_cleaned	hsa-miR-4666-3p	-0.032439	0.33479	1	0	-1		hsa-miR-4666-3p
TargetScan Predicted Nonconserved microRNA Targets - Cleaned	targetscannonconserved_cleaned	hsa-miR-548aa	0.052732	0.12689	1	0	1		hsa-miR-548aa
TargetScan Predicted Nonconserved microRNA Targets - Cleaned	targetscannonconserved_cleaned	hsa-miR-744	0.014527	0.47135	1	0	1		hsa-miR-744
TargetScan Predicted Nonconserved microRNA Targets - Cleaned	targetscannonconserved_cleaned	hsa-miR-3940-3p	0.026008	0.17635	1	0	1		hsa-miR-3940-3p
TargetScan Predicted Nonconserved microRNA Targets - Cleaned	targetscannonconserved_cleaned	hsa-miR-4798-3p	-0.0003368	0.98757	1	0	-1		hsa-miR-4798-3p
TargetScan Predicted Nonconserved microRNA Targets - Cleaned	targetscannonconserved_cleaned	hsa-miR-3200-3p	0.0059517	0.78666	1	0	1		hsa-miR-3200-3p
TargetScan Predicted Nonconserved microRNA Targets - Cleaned	targetscannonconserved_cleaned	hsa-miR-4727-3p	0.050438	0.050569	1	0	1		hsa-miR-4727-3p
TargetScan Predicted Nonconserved microRNA Targets - Cleaned	targetscannonconserved_cleaned	hsa-miR-4687-5p	-0.04099	0.19487	1	0	-1		hsa-miR-4687-5p
TargetScan Predicted Nonconserved microRNA Targets - Cleaned	targetscannonconserved_cleaned	hsa-miR-4777-3p	-0.0083561	0.73137	1	0	-1		hsa-miR-4777-3p
TargetScan Predicted Nonconserved microRNA Targets - Cleaned	targetscannonconserved_cleaned	hsa-miR-3065-3p	0.031728	0.31782	1	0	1		hsa-miR-3065-3p
TargetScan Predicted Nonconserved microRNA Targets - Cleaned	targetscannonconserved_cleaned	hsa-miR-4691-5p	-0.0043233	0.9185	1	0	-1		hsa-miR-4691-5p
