dataset	abbreviation	feature	test_statistic	pvalue	pvalue_corrected	is_significant	correlation_sign	preferred_rowstat	similar_features
Wikipathways Pathways	wikipathways	mean	-0.00037664	0.88713	1	0	-1	mean	mean|stdv
Wikipathways Pathways	wikipathways	Oxidation by Cytochrome P450	-0.032252	0.10634	1	0	-1		Oxidation by Cytochrome P450
Wikipathways Pathways	wikipathways	Type II diabetes mellitus	0.014354	0.60694	1	0	1		Type II diabetes mellitus
Wikipathways Pathways	wikipathways	Composition of Lipid Particles	-0.0089491	1	1	0	-1		Composition of Lipid Particles
Wikipathways Pathways	wikipathways	Biogenic Amine Synthesis	0.00062024	1	1	0	1		Biogenic Amine Synthesis
Wikipathways Pathways	wikipathways	Monoamine Transport	0.034113	0.46718	1	0	1		Monoamine Transport
Wikipathways Pathways	wikipathways	Nicotine Activity on Dopaminergic Neurons	0.019139	0.58534	1	0	1		Nicotine Activity on Dopaminergic Neurons
Wikipathways Pathways	wikipathways	Dopaminergic Neurogenesis	0.00062024	1	1	0	1		Dopaminergic Neurogenesis
Wikipathways Pathways	wikipathways	Interleukin-11 Signaling Pathway	-0.0089491	1	1	0	-1		Interleukin-11 Signaling Pathway
Wikipathways Pathways	wikipathways	Mesodermal Commitment Pathway	-0.0089491	1	1	0	-1		Mesodermal Commitment Pathway
Wikipathways Pathways	wikipathways	Integrated Breast Cancer Pathway	0.019759	0.69052	1	0	1		Integrated Breast Cancer Pathway
Wikipathways Pathways	wikipathways	Hematopoietic Stem Cell Differentiation	0.033493	0.3498	1	0	1		Hematopoietic Stem Cell Differentiation
Wikipathways Pathways	wikipathways	Hypothetical Network for Drug Addiction	-0.013114	0.63728	1	0	-1		Hypothetical Network for Drug Addiction
Wikipathways Pathways	wikipathways	Secretion of Hydrochloric Acid in Parietal Cells	0.023923	0.37474	1	0	1		Secretion of Hydrochloric Acid in Parietal Cells
Wikipathways Pathways	wikipathways	GPCRs, Class B Secretin-like	0.019759	0.69173	1	0	1		GPCRs, Class B Secretin-like
Wikipathways Pathways	wikipathways	Metapathway biotransformation	-0.022683	0.58758	1	0	-1		Metapathway biotransformation
Wikipathways Pathways	wikipathways	Aryl Hydrocarbon Receptor	0.033493	0.35333	1	0	1		Aryl Hydrocarbon Receptor
Wikipathways Pathways	wikipathways	Selenium Micronutrient Network	-0.025607	0.55515	1	0	-1		Selenium Micronutrient Network
Wikipathways Pathways	wikipathways	Trans-sulfuration and one carbon metabolism	-0.0089491	1	1	0	-1		Trans-sulfuration and one carbon metabolism
Wikipathways Pathways	wikipathways	Nuclear Receptors in Lipid Metabolism and Toxicity	0.014974	0.70012	1	0	1		Nuclear Receptors in Lipid Metabolism and Toxicity
Wikipathways Pathways	wikipathways	Ovarian Infertility Genes	-0.013114	0.63576	1	0	-1		Ovarian Infertility Genes
Wikipathways Pathways	wikipathways	TNF alpha Signaling Pathway	-0.045986	0.061079	1	0	-1		TNF alpha Signaling Pathway
Wikipathways Pathways	wikipathways	Osteoblast Signaling	0.019139	0.58202	1	0	1		Osteoblast Signaling
Wikipathways Pathways	wikipathways	EGF/EGFR Signaling Pathway	-0.017898	0.60755	1	0	-1		EGF/EGFR Signaling Pathway
Wikipathways Pathways	wikipathways	Signaling Pathways in Glioblastoma	0.0054049	1	1	0	1		Signaling Pathways in Glioblastoma
Wikipathways Pathways	wikipathways	Apoptosis-related network due to altered Notch3 in ovarian cancer	-0.045986	0.060519	1	0	-1		Apoptosis-related network due to altered Notch3 in ovarian cancer
