validation_rep	validation_fold	rf_model_name	rf_num_features	rf_auroc_mean	rf_auroc_stdv	rf_auprc_mean	rf_auprc_stdv	lr_model_name	lr_num_features	lr_auroc_mean	lr_auroc_stdv	lr_auprc_mean	lr_auprc_stdv
0	0	M3_rf	6	0.651	0.0245	0.867	0.0139	M3_lr	6	0.65	0.0219	0.84	0.0155
0	1	M0_rf	1	0.558	0.0381	0.78	0.0173	M0_lr	1	0.577	0.0118	0.802	0.00742
0	2	M2_rf	3	0.715	0.0285	0.829	0.0221	M4_lr	1	0.697	0.00898	0.814	0.0116
0	3	M0_rf	2	0.465	0.0264	0.742	0.0151	M1_lr	1	0.562	0.00713	0.781	0.00877
0	4	M3_rf	2	0.6	0.026	0.804	0.0185	M4_lr	1	0.613	0.00808	0.774	0.00608
1	0	M2_rf	3	0.58	0.0178	0.832	0.0084	M2_lr	3	0.614	0.0152	0.824	0.00917
1	1	M0_rf	1	0.559	0.0264	0.78	0.013	M0_lr	1	0.583	0.0114	0.798	0.00631
1	2	M1_rf	2	0.66	0.0291	0.843	0.0191	M2_lr	1	0.611	0.00911	0.769	0.00457
1	3	M4_rf	1	0.604	0.0251	0.784	0.0101	M4_lr	1	0.604	0.00411	0.837	0.00443
1	4	M2_rf	5	0.586	0.0184	0.763	0.0122	M6_lr	1	0.621	0.0106	0.76	0.0127
2	0	M1_rf	2	0.606	0.0301	0.822	0.0164	M2_lr	1	0.609	0.00598	0.844	0.00435
2	1	M0_rf	2	0.594	0.0239	0.824	0.0176	M1_lr	1	0.62	0.00521	0.848	0.00646
2	2	M3_rf	2	0.63	0.0278	0.827	0.0158	M0_lr	5	0.623	0.0145	0.797	0.0142
2	3	M0_rf	2	0.616	0.026	0.848	0.0151	M1_lr	1	0.601	0.00513	0.847	0.00378
2	4	M2_rf	2	0.695	0.0219	0.815	0.01	M3_lr	1	0.675	0.00828	0.811	0.00721
3	0	M0_rf	2	0.562	0.0259	0.783	0.0175	M1_lr	1	0.628	0.0078	0.812	0.00757
3	1	M0_rf	2	0.594	0.0173	0.832	0.0112	M1_lr	1	0.57	0.00811	0.831	0.00668
3	2	M6_rf	3	0.738	0.0223	0.846	0.013	M2_lr	7	0.704	0.0246	0.819	0.021
3	3	M2_rf	3	0.684	0.0218	0.867	0.0151	M0_lr	5	0.652	0.0153	0.834	0.0139
3	4	M1_rf	4	0.737	0.021	0.872	0.0142	M2_lr	3	0.696	0.0111	0.871	0.0117
4	0	M0_rf	2	0.73	0.0319	0.841	0.0225	M1_lr	1	0.73	0.00503	0.858	0.00791
4	1	M0_rf	2	0.586	0.025	0.808	0.0169	M1_lr	1	0.559	0.00819	0.797	0.00797
4	2	M0_rf	3	0.533	0.0319	0.714	0.02	M1_lr	2	0.708	0.0205	0.834	0.0203
4	3	M1_rf	1	0.605	0.029	0.79	0.0126	M1_lr	1	0.615	0.00532	0.844	0.0046
4	4	M1_rf	3	0.578	0.0274	0.786	0.0205	M3_lr	1	0.595	0.00705	0.779	0.0101
5	0	M0_rf	2	0.514	0.0315	0.792	0.0188	M1_lr	1	0.562	0.00913	0.826	0.00665
5	1	M2_rf	3	0.626	0.0265	0.814	0.0176	M2_lr	3	0.637	0.0133	0.811	0.0105
5	2	M0_rf	3	0.712	0.0221	0.88	0.0172	M1_lr	2	0.636	0.0162	0.838	0.0102
5	3	M0_rf	2	0.628	0.0242	0.858	0.0134	M1_lr	1	0.59	0.00713	0.845	0.00531
5	4	M3_rf	5	0.76	0.0221	0.898	0.0188	M1_lr	7	0.723	0.0153	0.87	0.0143
6	0	M0_rf	2	0.611	0.0287	0.837	0.0158	M1_lr	1	0.574	0.0077	0.83	0.00643
6	1	M0_rf	3	0.724	0.0283	0.797	0.0192	M2_lr	1	0.776	0.00771	0.846	0.0115
6	2	M0_rf	2	0.617	0.0165	0.853	0.0118	M1_lr	1	0.585	0.00585	0.84	0.00642
