Gene_Sym	Gene_ID
APP	351
FFAR1	2864
CHRM4	1132
GABRD	2563
BSG	682
FCER2	2208
GRIN2B	2904
ITGB2	3689
BACE1	23621
KCNN4	3783
FNTA	2339
ALDH1A1	216
HMOX1	3162
CNTFR	1271
TACR2	6865
KCNMB1	3779
NTRK2	4915
CETP	1071
IL10RA	3587
COL2A1	1280
CYP26A1	1592
SIGMAR1	10280
PNP	4860
SYK	6850
IL3RA	3563
TNFRSF1A	7132
GRM5	2915
PYGL	5836
HSPD1	3329
ITGA4	3676
CLEC7A	64581
CD4	920
CAT	847
PTGDR2	11251
SLC6A9	6536
VKORC1	79001
METAP2	10988
CHAT	1103
CHRNA7	1139
PRKCB	5579
CD2	914
TOP1	7150
CYP19A1	1588
ALOX5AP	241
BPI	671
TSHR	7253
A2M	2
GABRA3	2556
IFNA1	3439
FN1	2335
TYMS	7298
CRHR1	1394
LTB4R	1241
ANXA5	308
BMP7	655
THRB	7068
PARP1	142
TGFB2	7042
CSNK2B	1460
CCL2	6347
DPP8	54878
MAPK14	1432
CD33	945
ITGAL	3683
ESR2	2100
PLA2G7	7941
FGF1	2246
ICAM1	3383
SOD1	6647
GCK	2645
FDFT1	2222
FIGF	2277
