Gene_Sym	Gene_ID
CTLA4	1493
PPIA	5478
TUBB	203068
CRAT	1384
NGFR	4804
PROC	5624
BMP2	650
CACNA1G	8913
GHRHR	2692
NR3C1	2908
CFTR	1080
DNMT1	1786
GLP1R	2740
LIPA	3988
ARSB	411
MME	4311
TPO	7173
HRH2	3274
SOAT1	6646
IFNAR1	3454
RXFP1	59350
CSF2RA	1438
HPD	3242
F9	2158
MTOR	2475
CHRM3	1131
FOLH1	2346
ATP1A1	476
IFNAR2	3455
IL1RN	3557
ADA	100
TOP2A	7153
PTAFR	5724
HMGCR	3156
HTR1D	3352
SERPINC1	462
PTGS1	5742
TLR9	54106
POLA1	5422
DRD1	1812
TLR3	7098
CLCA1	1179
APOB	338
ADORA1	134
DHODH	1723
AKR1B1	231
ANTXR1	84168
NPR1	4881
MS4A1	931
CACNA2D1	781
NFE2L2	4780
HEXA	3073
IL5	3567
RYR1	6261
RHD	6007
MMP1	4312
SLC5A2	6524
SCTR	6344
CSF3R	1441
NPC1L1	29881
CASR	846
IDS	3423
IFNGR1	3459
OXTR	5021
CALCR	799
SERPINA1	5265
GABBR1	2550
EPOR	2057
NOS2	4843
SLC6A1	6529
NOS3	4846
PTGER1	5731
TRPV1	7442
IDUA	3425
CD44	960
TBXAS1	6916
VWF	7450
DHFR	1719
IMPDH1	3614
ODC1	4953
SCN9A	6335
CCR5	1234
GLP2R	9340
GNRH1	2796
HTR3A	3359
TNF	7124
CALCA	796
IL17A	3605
TACR1	6869
CA2	760
SLC6A3	6531
ALOX5	240
PTH	5741
ROCK1	6093
DNASE1	1773
LPL	4023
AVPR2	554
HPGD	3248
KCNMA1	3778
PTMA	5757
RARA	5914
ADORA2A	135
FKBP1A	2280
PTH1R	5745
GUCY2C	2984
TBXA2R	6915
GALNS	2588
ESR1	2099
MAOA	4128
CACNA1C	775
HTR2A	3356
LHCGR	3973
DRD3	1814
MAOB	4129
PTGFR	5737
CNR1	1268
GCG	2641
FGFR1	2260
CXCL8	3576
KIT	3815
UGCG	7357
SI	6476
MC2R	4158
CUBN	8029
CYSLTR1	10800
F7	2155
SLC6A2	6530
TLR4	7099
CXCR4	7852
FSHR	2492
GABRA1	2554
PLAT	5327
ADRA2A	150
TNFSF13B	10673
TTR	7276
OPRM1	4988
IL11RA	3590
FGFR2	2263
ADRB3	155
PPARA	5465
DPP4	1803
PDGFRB	5159
CD52	1043
IL2	3558
PTGIR	5739
COMT	1312
KLKB1	3818
P2RY12	64805
TYR	7299
BBOX1	8424
AGT	183
VDR	7421
GHSR	2693
MBP	4155
PLG	5340
OPRK1	4986
EDNRA	1909
BTK	695
MMP8	4317
F2R	2149
DDC	1644
HTR4	3360
CSF3	1440
ACHE	43
GRIA1	2890
HTR1A	3350
IL12B	3593
ADRB1	153
CPS1	1373
GBA	2629
EGFR	1956
TGFB1	7040
DRD2	1813
PTGER2	5732
IL17RA	23765
GHR	2690
GAA	2548
CR1	1378
PTGS2	5743
KCNH2	3757
PDE4A	5141
F8	2157
PNLIP	5406
MPL	4352
REN	5972
PLAU	5328
VIPR1	7433
TNFSF11	8600
F2	2147
XDH	7498
NR3C2	4306
GCGR	2642
RARB	5915
ACE	1636
CHRM1	1128
CYP3A4	1576
NR1H4	9971
PCSK9	255738
ATP4A	495
F13A1	2162
F10	2159
VEGFA	7422
LEPR	3953
SCNN1A	6337
CCKBR	887
CACNA1B	774
AGTR1	185
GLA	2717
NISCH	11188
HCAR2	338442
ALPL	249
INSR	3643
SV2A	9900
IL1B	3553
ADRA1A	148
IFNA2	3440
SLC6A4	6532
SLC12A3	6559
SRD5A2	6716
CLCN2	1181
HRH1	3269
CCKAR	886
P2RY2	5029
TRHR	7201
GAST	2520
ADRB2	154
DMD	1756
BDKRB2	624
GUSB	2990
GRIN1	2902
IGF1R	3480
SLC22A12	116085
IGHE	3497
IL1R1	3554
MC1R	4157
SERPING1	710
PDE3A	5139
IL2RA	3559
MTTP	4547
SCN5A	6331
FGFR3	2261
SLC18A2	6571
IL6	3569
AR	367
C5	727
PDE1A	5136
IFNG	3458
ELANE	1991
TNNC1	7134
HTR2C	3358
HYAL1	3373
HRH3	11255
IL6R	3570
CD6	923
THBD	7056
PGR	5241
GNRHR	2798
PPARG	5468
PDE5A	8654
