Gene_Symbol	Gene_ID
CRHR2	1395
KLRC4	8302
SPATA4	132851
TFF2	7032
RPL23AP69	100271623
UGP2	7360
KPNB1	3837
GMNN	51053
MLIP	90523
ARHGAP40	343578
YIF1A	10897
NPSR1-AS1	404744
MAPKAPK3	7867
GPR89B	51463
VRK2	7444
TRIM47	91107
SCAND3P1	100873886
MIR3941	100500866
AAA4	100859927
C8G	733
TMEM116	89894
MIR3977	100616297
DAPK1-IT1	100506897
FGF19	9965
ADRA2B	151
SPACA6P	147650
MOB1AP1	100873874
MIR4795	100616161
C4ORF51	646603
MIR4720	100616150
SH3BP5-AS1	100505696
SNORD115-10	100033447
SNORD67	692108
OR7H2P	403301
LOC643630	643630
CXCR2	3579
HSPB7	27129
PRR23D2	100133251
SNAR-C1	100170225
ST20	400410
MRPL35P1	359742
GAGE2A	729447
SNORA29	677812
LINC00989	100506035
MIR1304	100302240
SNORA40	677822
BET1L	51272
OR5D16	390144
PRDX2	7001
PIK3R1	5295
SNORD18A	595098
MIR4265	100422863
RPL21P106	643264
KSR1	8844
LOC727799	727799
MORC2-AS1	150291
CYP4V2	285440
SMC1A	8243
JUND	3727
SPARCL1	8404
SLC22A25	387601
RBAKDN	389458
RNU6-59P	100873767
C6ORF48	50854
DBA2	114086
CNNM2	54805
ARF1	375
LL0XNC01-116E7.2	100128594
LOC286359	286359
NBPF7	343505
RPS2P12	650901
MIR520C	574476
PAX7	5081
PNPLA8	50640
MIR545	664614
MIR4772	100616157
CA7	766
VTI1A	143187
MRPS23P1	352290
BNIPL	149428
STRM	337940
PKIB	5570
CHUK	1147
GSX2	170825
MRPS6	64968
RPL21P65	100271178
RCHTS	100462676
MIR5687	100847019
ZNF470	388566
YPEL4	219539
GZF1	64412
GSTA4	2941
IMMP1LP2	100506734
LINC00519	161342
LOC400558	400558
ATP6V1G2-DDX39B	100532737
ZNF3	7551
CDPF1	150383
LINC00028	140875
STK17B	9262
C19ORF66	55337
CLQTL1	54501
IP6K1	9807
SNX18P5	100418977
RNU6-56P	100873764
SCARNA20	677681
USH1G	124590
XKR3	150165
B3GNT3	10331
HPCA	3208
FLJ40536	399819
RPS26P21	100271105
OR2W2P	81694
LOC100128076	100128076
FLJ45482	645566
IRF5	3663
HID1	283987
KIAA0195	9772
LOC441887	441887
ZNF731P	729806
RANP9	100874193
PTMS	5763
LRRC8A	56262
FOXD3	27022
SLC5A8	160728
BPIFA3	128861
GTF2A2	2958
BCCIP	56647
TOMM22P3	122038
ATFB8	100306979
E2F7	144455
ZNF529	57711
NYNRIN	57523
ABHD15	116236
SFTA2	389376
LOC729080	729080
ISOC1	51015
ACTB	60
IGHVIII-76-1	28339
PRPS1P2	100421295
ARHGEF11	9826
HNRNPRP1	100125387
TMPRSS11D	9407
SRSF4	6429
PLCZ1	89869
MAP2K7	5609
SLC7A5	8140
SPIN3	169981
LOC101927960	101927960
PTP4A1P7	100421681
TNFRSF10C	8794
LOC100128993	100128993
TJP3	27134
NDUFAF3	25915
ATG16L2	89849
TNRC17	27321
PON2	5445
USP17L25	728373
UNC13A	23025
CTC-558O2.1	101927969
RPGRIP1	57096
CELF4	56853
